owner,nftmint
GDYFF686wDW5kvJoh8gdhJqesY5JoTNGoRVnf3GpQ3GY,JE5375Gaw1rcksKNePLYrp2ih1dZz13csyJAiTgjtAce
8bHFJEf5hw5wVnpxq6AicYLNtFsbJmmnDSn5jiUqdofL,JDfKip3iyyDoQYfxmXcgpMJ2dhWT2tARrjq52V2tfJpE
51pephUCRvf2vGZPqwHLPkFBFsWWuwZ5P8exLetTbtMd,JDNiTK7UNKMGU9gjDLTZYLSSE8uo6ukHzh7ADpbvqENz
9JhU1qXuBrcNfP379ka5Pj5HhVGgsT7TRK6LJ6sVoGyr,JCxTh8HEZbgwb8W9BpUP5N2JnkausaUiVGX7iJSFQPFY
AB8kwNjHguRAnWYW9fNBEafagPaC4pqxAiNbH2aqJcRG,JCJktA48V6hDHprsQAAG4ysbEX9FKk19R16KMgvMVSTU
51pephUCRvf2vGZPqwHLPkFBFsWWuwZ5P8exLetTbtMd,JBvKmBZbmAmtUYpkRww9BF484RYDH22QP99yfjWxNAuS
8eLrH4RGg74yMrZVUPhHYX1VKSEGeruEJ5q4VAkwg9Qx,JAt5e7Rxtt1bAxhsAh44ccGi1HuB6Hso6xyDeozKUxL5
2T1uFCiTAwTuhnh7YpwpfGmrvQZT5PP9DDjUHd2HpMce,JAodEVGyeD4GnbdrNG6XezQqJoFP7MxFjkAaTDS9QSiR
FmhFpNt5k7sTtRhKxQ9Rtrm2FoZ8r3qc1tQmcHAb3UJH,JAhd8Xw9W7gAyTz3xtPSmkVvM8nJAaaQtHXZZ72gCKxs
EuFAhVueYi9y4r6TXihcrAvDFZJQu1yDEDbX6ttXmmej,JADVBePLv9aYYCev8yJrswYL6yVe8kJfTYP55soLmowo
DtbhHxx2PKRywrS9tgMpyJ6JhpAYupTyVcp7q2vadX5o,J9bdipuqbmqNBTJJxiDmd6fMxK7czrUNCLiuc2P2AeaY
D7Wp2RGWgC8fVy9GCcbZDy1msnttAQiUv1Rysbi4TWQc,J8qW76ZdXDndLsYDhDLixUSQVbEF5XicFxqHEa7BSh1P
AAPgpRMAi1ie1VUKtafvEmGqSBhsGe4jY1XsVM9LJRaC,J7XKBFn2rW3dJGv2j5HCBdG8hjE4J95QHP2zEFCPpNY7
9nRWQ4ArsZeC6zqRXtkX5XJB2BsBa8UYzjpBbYF1YP85,J7URA3jwhP3cHMpQM7FrcjhAgcH6JaU9ug4HCgau8BvQ
51pephUCRvf2vGZPqwHLPkFBFsWWuwZ5P8exLetTbtMd,J6QDrzvAzntJa1LFtLw648vLkdyWRmeMAkbFG2npMpDJ
7fGkeeuBcx3uH3bo6RaM4Hgjga2DVgoHVJ1g8SRsQtJn,J6AazrMaMS1mrCJseP49gyjxwRPCp573dvuBPbLZGR5H
8X3wbqDnSNmHRRf1Mzw17ypsJpUV9kopmsRWKXwEfS57,J65vAjheBUqocZqcNpnTJP7gDGBZTEoa4Qdb9c6v3Aip
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,J5kN52ssdXhxqKQ5YiyxL77KqV9dhHM6pT3aEoULEhNR
DYigyB7P7Bd7jWKAQPpTofJgjGS8hBn1XQCrH6RR57Yg,J59yU2GKf8ZWoco5LtKzGQWrHEEVBcqWyWuT8EhsygXB
EBxSQFhwgHKSio7H7rfg7id1pK7USVbgj6seQrCUDM8X,J4pV9oP2jiCsGjyM6zdHyJ467zXJ3dqAxFHchW7KU8pG
9JhU1qXuBrcNfP379ka5Pj5HhVGgsT7TRK6LJ6sVoGyr,J4hLRdxpawBa1XRLpH1dasXGJ4GHnyqMAnnzRiHSMcqo
5XjDnQTsccX5XiAAMit76wDYafdMXzoJSqAxr9KnjSHC,J4Ck5quFMGCFn7rVRuJnWnLRccZjs8oWRJWv5y1uCqU2
51pephUCRvf2vGZPqwHLPkFBFsWWuwZ5P8exLetTbtMd,J34PZjzhy4VncNVHmA3BS2p4pj26tkJssbxaHZXHPKfK
mG8q68EgRX3NAELUQTjTTKE1takpSaGfz96K4raATsx,J2zUmdL9FgzZ6dakxMki9LRLcNELXYFaE6h5F9mcLEUB
C1BZDH2emTKGSYczotjKyEkhzvnrvrKXJLn35WE8j3Fs,J28qkcnZMKWSNcqukdo4FAzYtsRXBgc2fga2RueR9WAD
6bq3iweq5r7wk3jTbZ2hmRfE9K4nyQCjccdnncF3yBwy,J1Q22dGwtivKrwoi9A9qFMcFBvCVna5752GzrR5VvtDj
FaxTLX3Y1kkEzmpY4td8oXFoZdCW6NcXNSP7jFKo5kFa,Hz2dPDUMzTQw4BU5vQDqQjft1L5rs8VcAcYY9gR3Uqwz
51pephUCRvf2vGZPqwHLPkFBFsWWuwZ5P8exLetTbtMd,Hy1oZ8yntAfQohPZJjM5nW9FkdzqY3rVSeVxSmYjnFah
CVGSWTgdNmoeUsBZpWkyomKzG61VNQLm26QrVMVeunit,HvHsGa8ZwJhdQhzjkajrBqyyEDyEdmDTzAPUN2Db9yJT
HxfeAUBSopqkCyNJ8mYxakQNMEfU9tJbmhq1fYkVN5bn,HuumfF9Ackz9tE7QoELM2gJtUcF9igpGQbxhcNxbJu3d
B6KrXXjumfywdQG9cbrrkwZnwyA1ADHT6FNTRAmXTNpG,HupfLX5ymMUbQyJd9Nxyw5Co1rrvveeSmBh52PdB6MYn
51pephUCRvf2vGZPqwHLPkFBFsWWuwZ5P8exLetTbtMd,HuLKAXPHFSbC3aqDwLv6j2Z3ExdmZMqK6RPbbTpoFpYw
CKJaw2pab3B12vUWHASmZXA89q57as5th1UtMPVm7Man,Htf8f7SMHWzs9CaoaNirA1bBshqQGDctThYYj1PSv4zi
3KYBPNUp5Yv3KG5pKC39K4EGuQ4FBCd1TCLxLMg2E9mD,HrToG6ZwrgnQtzAJt6MZRurnxC7ntfceLfyEPsnQMsGx
C6QeKN1u467uYatsSGAGQdn9YGiZJwh5Q8b1mUYbk2bi,HqtyFzS1SkqkfT3zCHqfcZ5PtpC9LvMyzWdMwT3SdmTQ
51pephUCRvf2vGZPqwHLPkFBFsWWuwZ5P8exLetTbtMd,HqD75smyVod88aPM5C8sUZfHTN6DwobeWqSJ3KVjeAok
B6KrXXjumfywdQG9cbrrkwZnwyA1ADHT6FNTRAmXTNpG,Hpb7hrEgZmMFVUjCWYakLU2jAB2C4PYfg8tMyNuQJibY
8bHFJEf5hw5wVnpxq6AicYLNtFsbJmmnDSn5jiUqdofL,HpJ2s1Y821bfhak6GumtkQuhtUNhg3fro8B9DGNdsTzH
ZjfHNPQtdNeVjcFiFAzswsZjunfxTC2DrMLMGfgTjmH,HopsTYzoJYxho63oBYJqstS98Ea4EzqN3PjGioc3GdBj
6jrg8ZRA3YwYHoLE26qQ67r4U8zQ9Vuv6SEJoEYwTyjq,HomXNjE1Kc1rhqGgh2h82uniwY2ipf29ZCjkDATDTGNm
51pephUCRvf2vGZPqwHLPkFBFsWWuwZ5P8exLetTbtMd,HnqJwFjSaXx7bvMUbi7S5soaMXvq6mVm5at4hPgKove5
3WAUGYz11yTvRFvSrMUvjbDVVA1DK7vXmfZWsbwaGvWr,Hn7wM4kzdunernBa7bx13gStiH7GLKVsBXAmL7GqMjPd
GrSXtJHD6YCgcU7Ve8BVSoMsJ6fvuhEyQxE5aYrCM2Fg,HmiEkNZtg7YQY4uA37E3ed69ushQsnZXRy8FCp3nCnJJ
4hxG2guLCosgVEmMwj6fKett5Vb9635F7cQn5rwkdmsT,HmUjvazDM7FPiBjY86kBEVWB4ANwyRt6XNpYRh57sGwE
93qH4G5sJmDvZHGBpeVL4zEGQbJfTFParDPf7J6a47Xf,HmLAexgwXPZJePimzCU5c7XRycECuFrWnPrR5Y1D4fPW
GJByqN4zXEmJCAPjeLfNbFsNgV5P7PXfw9rGP4oW4Ay2,HkCakR9STEuxt2D2g9QR6jp2is8fwuMKDwcyV5KeGaTb
51pephUCRvf2vGZPqwHLPkFBFsWWuwZ5P8exLetTbtMd,HjsnnGR1gSgQQjpjzPmqVCcFNjRmRDuGEdtSYUvNqbaM
GaKznYDQp6bXaqreDYKFeXF4yyVuLLpYvFU6QPa4X8Ur,Hjk72hAh4s2M9xqZA3hDhM5fXLL8Q15R3aeMC6u2m24z
51pephUCRvf2vGZPqwHLPkFBFsWWuwZ5P8exLetTbtMd,HjZauwAPyuESqp1NsQmsEUjStjyFEB4VuuDFaP6ESHXR
FEQajBTgu4zbsjknyfJJ73cNuhYsTZ15RTCgVa9exwzD,HjFfyykHkDJFJw3QdiYPj2HpZbR5Vmv4YzWmQMXmbBxG
HxfeAUBSopqkCyNJ8mYxakQNMEfU9tJbmhq1fYkVN5bn,HiyxHVC9GgBCggUmY3swNhZwT8JGbv92iPvKJwdT5FEw
9rcnM6EP16SzRwBiKPPcvtMkYRQga4nHV95Kif7ebx8R,Hhyg87saQ77wf2Q19SgRTNJUAT5kZ8C4EmcmX6kkR4Lr
Dsq8ZfE56d9LhdDLJQBFoQL6GkZdu3m9iGC5wc2smXyC,HhyNcKE8h2E12QXPFc4LJS2CNTRTx6PDkPDp79EU27ab
8bHFJEf5hw5wVnpxq6AicYLNtFsbJmmnDSn5jiUqdofL,HhvhSwHGdFGTxk1vb9zCyoRsCuqnJVRJEmf7UTcySsKg
5cfY96uNDpWGjH8YmWB2JbsyviNPDAZAUUyqXGrDH2CX,HhdQRGay345XK5bGSBPiHk7CzBSrTAbHsyM4Jm13LBCw
51pephUCRvf2vGZPqwHLPkFBFsWWuwZ5P8exLetTbtMd,HhCtpFsgN5UKX4zK4dk8KCRBjmnqgEPLiRtbsxMbnDKY
6bq3iweq5r7wk3jTbZ2hmRfE9K4nyQCjccdnncF3yBwy,HgTSyV8Jq6nThUC663Z74nAaodE7BJimDqKtGi4A8SNw
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,HgNjTogaRjSVYnSqbZYNfZnJTRznsWfyYLJW8eECBpSY
mG8q68EgRX3NAELUQTjTTKE1takpSaGfz96K4raATsx,HfUuAn8Ej4rejanWDKfFtmYgzCuvnWesuuyTgFN7UFyf
8dmampXPK6uiGwTvY5YZzAg3ez93ggPw41ufsTwc7rdg,HfH7V8oHq2etBozZumNrarwcjLynetQVeFkUrKFvPNgJ
GaKznYDQp6bXaqreDYKFeXF4yyVuLLpYvFU6QPa4X8Ur,HeSXhUGZFsTVqHjgDUprry3VywzqZoXsKTNe7QoRUz3x
9nTwqCqMUQWp1q7cZfMJ9WVvBGt1r2RMqn6tCxB2vnSC,Hd2t6sqefS4Koktn6n43CwV7dT3wm7zdbf1kXbENTVbw
mG8q68EgRX3NAELUQTjTTKE1takpSaGfz96K4raATsx,Hd1xNhQzSPt2t1mQB4ACi9G5MW6MTztSUTB4E32k88Jf
5XjDnQTsccX5XiAAMit76wDYafdMXzoJSqAxr9KnjSHC,HcucQchSPcP9pB6G4tAoKEUSzj4rT86FuMAd7g6RACfm
FEQajBTgu4zbsjknyfJJ73cNuhYsTZ15RTCgVa9exwzD,HcYKxjaWt3GDDAXCf3sgqEoFskycJedF8wkqotdHLD6L
zm1cGVxSDArivYsJg9fHg2gCPsL63LFdez43e5R5Poy,HavEUYVanacYRrSNnTbwt8H3drdbjYMFNqTZTLZywrEU
GaKznYDQp6bXaqreDYKFeXF4yyVuLLpYvFU6QPa4X8Ur,Han5sCh1XzzTFQazki74SgD18zZ26pG3HGiBe7jnfJey
6WVQYh6aRRuvQG8EBpQ3UmSr9AgvCoGBo9pXpH8QHVMc,HaA3HMvT5agWJzVXtfzDDA9kED9gUda3FZ2E5jrUyjZk
C6QeKN1u467uYatsSGAGQdn9YGiZJwh5Q8b1mUYbk2bi,HZZ8GVjFiDQQk3udkiKYhakTUNYM2Yjg57qhAi8Gvmhq
4GNzoTWq3Q1bnDy2JPi7hMFR1oDEGgaSQLFY1Mzv5mTk,HYwh8CCun7Eq4ds4c5Zt7nZ7K2BQ2SzjKEEwUDipwvh6
