owner,count
51pephUCRvf2vGZPqwHLPkFBFsWWuwZ5P8exLetTbtMd,295
GaKznYDQp6bXaqreDYKFeXF4yyVuLLpYvFU6QPa4X8Ur,100
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,92
HxfeAUBSopqkCyNJ8mYxakQNMEfU9tJbmhq1fYkVN5bn,61
2T1uFCiTAwTuhnh7YpwpfGmrvQZT5PP9DDjUHd2HpMce,56
6bq3iweq5r7wk3jTbZ2hmRfE9K4nyQCjccdnncF3yBwy,50
Bo4nGugF3usS4N797H4LEm2r2d794kvht6HruwNCVe7Z,40
7fGkeeuBcx3uH3bo6RaM4Hgjga2DVgoHVJ1g8SRsQtJn,34
FEQajBTgu4zbsjknyfJJ73cNuhYsTZ15RTCgVa9exwzD,33
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,25
mG8q68EgRX3NAELUQTjTTKE1takpSaGfz96K4raATsx,22
5XjDnQTsccX5XiAAMit76wDYafdMXzoJSqAxr9KnjSHC,20
FaxTLX3Y1kkEzmpY4td8oXFoZdCW6NcXNSP7jFKo5kFa,20
8o5o9od5VpLDFMc8JqT3CDtqgw11oeUiAvquLQRKu8R2,20
FmhFpNt5k7sTtRhKxQ9Rtrm2FoZ8r3qc1tQmcHAb3UJH,19
C6QeKN1u467uYatsSGAGQdn9YGiZJwh5Q8b1mUYbk2bi,19
8bHFJEf5hw5wVnpxq6AicYLNtFsbJmmnDSn5jiUqdofL,18
CCroU5MmPk73qac4VWaMY1gr4bDRkp4NM76GCsRcBcsS,17
DYigyB7P7Bd7jWKAQPpTofJgjGS8hBn1XQCrH6RR57Yg,14
CKJaw2pab3B12vUWHASmZXA89q57as5th1UtMPVm7Man,14
3WAUGYz11yTvRFvSrMUvjbDVVA1DK7vXmfZWsbwaGvWr,14
9rcnM6EP16SzRwBiKPPcvtMkYRQga4nHV95Kif7ebx8R,13
HnP8ZepMP1C2GhwRoDUQZPw2h13kUdfqHHyhMdZaQBeG,13
45a6jRcsnC9yXF1zzvu2KbqFSDxdtGA3hFigoC8NZHSz,13
4uJJMCatx1oAjLQqU1dpMB2aq3pMkq27qTAQkvyHZCzU,12
4HvzBZTcmdVwpeQijgzUTcuCTLgYqyzZQVUEUgT8iCMw,12
ZE4LyYi6TyjoEs4yPvGfCfXYAbmkptN19J7o5wPP8KY,12
CdVBhKJ74GaFHkahSHXbZ4NyvHYc6aYCYCi3sTiPaWBg,12
8X3wbqDnSNmHRRf1Mzw17ypsJpUV9kopmsRWKXwEfS57,11
89jz1Jdy4eQC4tft4zgnU686NJtYbjTKnj3roxQHddPh,11
6jrg8ZRA3YwYHoLE26qQ67r4U8zQ9Vuv6SEJoEYwTyjq,10
GrSXtJHD6YCgcU7Ve8BVSoMsJ6fvuhEyQxE5aYrCM2Fg,10
6WVQYh6aRRuvQG8EBpQ3UmSr9AgvCoGBo9pXpH8QHVMc,10
HxU85Vqw1tB5y7vytHRRS5vEdpZM6e6drHVvfXLXuNQX,10
CxGhzxdnUQBHE81Z3fR5d3gPWhVh6t6mHnGqWgP8QiuX,10
ESkaNjMUsfeNrPWTZDpcQ51p4ecqb2ks9uqwZx5dYHjB,10
3YpVfrEDNL44cezwuz52WHXA2XiDpLeWbaNGYgnuW7KQ,10
BTPvp64433RR5GdeKLtLXd1ANYP6gymwjQtFugcMnLQX,9
ALxomU9qnfWHEtxdDGNUqAJ3Scey11bVmFUvQovaSm82,9
GDYFF686wDW5kvJoh8gdhJqesY5JoTNGoRVnf3GpQ3GY,8
GPfHLwTTgfjYxGnu1i9HNrKeLeyHRj7mHHut69W5t21m,8
2fpSm8TSDGxNvYC3ds2cG3dD5tGzFgw7uyyN63pczPYR,8
5vuN7Baej5C4e7YbdmBqyamAUZmBqTqK8kc9JwcmxbgM,8
BYohk2i55WHJ728cBvgviGuYzykkm2FZU5AX3swDj9zq,8
2wai1ATteKL5x56t5SgGoxS83g5fZ7UT8vnqzjYiqEuG,8
HrkHiFrqpKZGxhPi1F7ZnZW1vbMTpALguvryEZiooUPW,8
8xjHAQZs9dxGmbLQmaoVr6Um39AEnBFxKpGdEukfweFo,8
J5W7WTcVoESzPV9QSumUF3hW3gzuWcfdTgqW9UCVRTQu,8
Bcjb4Bc4LetqxtoqK3FqrEp68xK4m7Bs7MCMN14spsNS,8
4JDWGsX24diWuDaCEyezFmJ9yR7T4cxpKffxKQZ5WiEJ,8
9JhU1qXuBrcNfP379ka5Pj5HhVGgsT7TRK6LJ6sVoGyr,7
9nRWQ4ArsZeC6zqRXtkX5XJB2BsBa8UYzjpBbYF1YP85,7
AWyUGDeAx1zvP8ZRVudrJggefdSBbzpEoi6EUX8BA1sd,7
5rKFJ1rsBB9ddcQuWaZeobhpEoBBXA5egTNEFVtYiaEf,7
8GZ5srYtQEPB3feurYCYdCmnqng63x5ad3Rzyk85Tw9p,7
AAPgpRMAi1ie1VUKtafvEmGqSBhsGe4jY1XsVM9LJRaC,6
