owner,count
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,663
GeNBRcPTDP4iiwzWwySnKKaRS7XpxmdHaRN3UyaB9m6K,324
6gsr2ZSQswkGCp1pGRuKdN8gauLyinbW9ESXVQpZzvgM,141
8i1cFapvPbmBXz7crbQALg4VAbLJ1X9MYWETJNSKwdtx,113
Fykji8RF3Tm1LC8WS7Yvr4Fae6T3zfqMNjmCcAtug1RG,104
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,101
7hQyfXBXauoUNqWs9R7NQnj35CWiWnNEvtqyxUgeR74F,100
BNuL3ikQCMJUVamRHK9kT8PVN7sejQy5bCworyu6aqSB,96
4nBcV6Cq2SRVGULQAgUzEvd8CVzcK3wWAn1b4nwnGUp5,92
BdsQXivJEVw2SjFxWKTZHfMDPDnS1n2LLB6xs9ZEynFQ,76
92t6mX77KtLmXSWy522uEWTijmkxDhTsBZaZ2ELV2b8m,66
Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf,62
HfAzevJPAaB7tpKq7HoKK9Etr6obJ6QUM3T7ffnDDhdM,56
8LaUZQHpxiUbWbSh2oBzqJ3yfEC66QHBbq8R4WbahUAR,55
DnTmZV4kx2ZPMryZY7dcyA3PSuaZygCUoQDXkb2UQU1J,53
AczSKX4sb4XwVJMjTYnx9YCZbF4BToj2cDBwq2BU8XVr,52
Bo4nGugF3usS4N797H4LEm2r2d794kvht6HruwNCVe7Z,51
4ngX6apexuBW2LRyF7DkWBRd7nH23U7BpuaRTodxZvSt,50
2bFzh1rN9WdnWRXR2vDCvVH9VBrrDe8r9vjid8FFEmWG,47
GzEKZPY6sZ6DJ4kEjMSda8KzX95ZR92nL1qVjFgP3Dib,47
AdysiY4HaKxPSsnBuNNAtLJnCE9jvtbyvYmdAtFSuJua,46
7CfKCLC9kJfMDPh1g6gBjfLQJyPepFLSqZUJTAjBChtA,46
AmfHByStT5EoxVHYbnoZn4hYabxfJBRqMWR9yihBHLNj,43
EjxjjdPzDfNvieQcicKXSc7KBSR5xVywai58e5CFMHtd,42
EFcXzbNWHs6iLE1ehjaM1vJGHWfVf7dLFBTUYoq6Jwde,42
ESM2Ajm27iiSTupZH8jouiWVHbE5X23RU2mKpcuwcRSh,42
3irh8T6rYc8yrwn5YVd3vKYTLaXHsLFJah9zp8GJT7gB,41
89zwpYsHDbE2G9arUqeAw5UjDxBkZXBVVV3bdkkaBv8d,41
EGaGRVSAfK1pwgpRbvoW4Dyuxvqt4brDb4Sv5yziPyGT,41
8791pvMySTHQ14EEmdM8YxYSpbhufctiGxk9LJr21FF8,40
HXkAU2kvvLdu9zpR8mQSiEpiN26f8NAPpGGD8KcqWL2q,39
GHaovRRC7KQexsTk2EekVLTCaiaPcpTDimmjfKSZEDB6,38
GrHbJv3SxpC4WsN7S5X6NtPwVvdQTQ2JCpEgu6tgYPUW,37
33Ysb37XTgNGc2363AVsGs528xbFjymxdktohmFakV2v,36
BzxhAQCfVmbH8393kXqAtYaQvZoReJomTTy9WSAwRQWh,35
AqyWTcf98Yd3HquQuBjeYYh1Lqehj1pcHyxedwDaJUvX,34
PtuoFEgoxuzJ6rczQjVYNTUABiBDAW3vYJyvw7CMEvN,33
ALjnKTUGGg439bcasQQMpTA7s1WsU43Y52ospUs9TFrF,32
3YR5jmDHGsvVruJ6YceuGog5oB1SorB4pPu2a9VMiHzz,31
DA1NDhPoyiXE9W4ePNUXWqY9UokMeGJTFszJr5V4v6yU,31
Hew6XJcEjQAx2Pi4GWogr68dmbST24g9xtumKBqvhkdL,31
3kG3SWNXvb9RhoXj3iu8PMHjZVtnrGb2hYSGoLGyzAsQ,30
2cT7jDWDCbTHpKk4kkmANumzDYZL25uGHH3AMPxwhRMV,30
E645TckHQnDcavVv92Etc6xSWQaq8zzPtPRGBheviRAk,29
3BSRxNG7WYaJ1dGTWHf28RR5Bav864KLs441UxBtecSg,28
5cYwUanpMy6jJRQWTND6hQWRqrEQFUxj2LTcW2EBrrCQ,27
F4ghBzHFNgJxV4wEQDchU5i7n4XWWMBSaq7CuswGiVsr,27
ch7HEiEExMeFHFMJWbsZSDU6wzDUgPuidpF8ioomC65,27
4PLrKcayc7scsTs1BqDnD9TWMWHUUKZ9VEmyHRBckjo4,26
3BxNutNeWzSa8UgaF6HBaY2sm3ENJZUKon4yiDQibWLW,26
DqzwnLgcHdZvTif3wk9wEQGnQToJbd7RYRHWhXpGH74j,25
ANrGWML9DuaK1LocjLrZutcfCcNVf89QS1a89fwQ4pGM,25
J6fqrhxZ7nQxwQgWiKV82LKt5RDGKmfe6nRsoeJETx8q,24
GuoxDuR6Cjjr4EPuLjFs3ibPVvMynzwJiSCxCFRQFrew,24
EJ212DqEnwZin8TsQXDwFsj4Zci99fL8kDHabYmK5cwZ,24
7Uvt6HT1msbVCXgfMz3QBw1E9vJ63AFjxAntMVDD6qQq,23
J4v4Zoqz6rXDo6uCSW2fyMApZqe1WuLE8Hj4UMxenpKk,23
7uKohAkBN8CHVMHezjRdi2URSJvhYo52Gzzknn5VjJvX,23
8oYkNQ6LzZvzXqAqgjb5bzeD3ycJ4SzEFouf614qxJkA,22
FCe1QsCGAa9i5w9SuPabrazVic4VpiQdgZZxo6nyBPqG,22
GwpMMV4ceypKFqTxVBpTA5TBEoPdtPug1J2fRWo3YZDn,21
GPJEzVSVHBVeW3v362YyhFvHqR6FQYFXG83rj9cZggr,21
56Wakpa8N8Q2rkQyBSgMjH7rE8SKRvSX8YAV6XRbHZjW,21
3a2qX2NRF6LwY6eXa4BhzKTgi7sqgt1Sh1z7ezfNJ2V6,21
B1d5pNJT8PbgxLo5nZo6Xo4sFhJCyWnZzZVR2ucPcoG5,21
6rU3vKhfAff47VYAXqEAmStCn76eFuPScTcnwJMtnJqx,21
EM2D5Zx31oo3XFF5kxodCqLnThztHVQGDkFCNa5xdgxH,21
GD4zrnb6nDdMyahnB3tTBrcHe636QW3Jx3MXQWuzpbpW,20
6EAaPqnwT54YnYfCRyupN8rK25i2hbguBFcbfVQ8hGWj,20
8pokajoPyErxQmDNMK8BAbkYWpQ1GMsowjoG2NkNDyYC,20
DjXKETEYzkkG6YzegWgy78vpaPH1eBxaiGTVoQrkQNFP,20
FvGzQ9rYw2J5K3HUtC1yiQhdcyGVm3fNiLNo9VXSK76A,20
2kcG8xdKuZHbzoXz6truvT4MF88SUkyK8z9bcLLCTpV6,20
HMBTg1sY5FX48BkAaazZ5Rw9z9rVGYt1Tk5dQTf67Bfc,20
7iGCFYLUJczcHwpUnCCK5QFBCvYwznnj82RoYQQnWu6d,19
4LNj2woa5eLC7n1sAuJAj21fa8f3jX5fa5XcJdS69jqX,19
FzpnrCRvWckfe9NfVPbkLkShobob2s7NQmGdGtPmjnYf,19
Aw55CBWeMi6NvPqYJ4Xg3q1c3xGLbfvsX646bB71SAK8,19
8SbrkX4cCUdowPSS6DYu8S1ce7xZvrPbtMDaoKhvGq72,18
33QoV1xCh8udah3DSRn85hLdBJaWfgEMXef7NsM9Sc1E,18
BVKZsrR84a2wrVD3xu3e8hrTadKnFEYMweLW1Udqtu6K,18
F4jikiHHxxt9aoJTawZbxpXNwfjRyo3gphjLMFMEUHks,18
F4tGN8wUQKh6HBCxu7nVSVASgXKsbaCn7ofSmoy6DBsQ,18
C2Xv4wdsW9XEMGNaaUkZpRAQJRjJPngXXJjPdSTNaDiZ,18
J6Ex1azponAzN1QNvEL227aHu91bN8T37HNqW3wLSMrM,17
BVdtzRoADhr3AzfHqNRiYX1jFCfGhFjskCdtJLt1ghPk,17
2H8NqU2QamVvvnvzWGrMMe91aoUm1UcP5u2k67PUXpHb,17
2zsPduZoKivEqvftbzr4wPKXGuvp1Ji76Y68DHVpc7Ao,17
AeqgApsq3CoopttTpohuLiXj53EauJ78ophVvy8hrfkt,17
H4WwchbB1vHXdwui6BpyFdzvtbqjWezgL7e9Wv6kaghy,16
