owner,count
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,244
FaYfg3Wf7XpVNVDdGn5ypvKorr6B6287ou3A75QXGGjb,180
Fykji8RF3Tm1LC8WS7Yvr4Fae6T3zfqMNjmCcAtug1RG,46
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,39
BNuL3ikQCMJUVamRHK9kT8PVN7sejQy5bCworyu6aqSB,27
AqyWTcf98Yd3HquQuBjeYYh1Lqehj1pcHyxedwDaJUvX,26
GPvFtQjWi9UmxFQ8jW4NTD3ozgtPx33T8g8AEvuX9A2X,24
8YCX9o63bgmVgpd3QyotKGaiNKdduk6Kvc4LzdKZfv3p,23
8791pvMySTHQ14EEmdM8YxYSpbhufctiGxk9LJr21FF8,23
92t6mX77KtLmXSWy522uEWTijmkxDhTsBZaZ2ELV2b8m,22
HfAzevJPAaB7tpKq7HoKK9Etr6obJ6QUM3T7ffnDDhdM,21
2bFzh1rN9WdnWRXR2vDCvVH9VBrrDe8r9vjid8FFEmWG,20
5cYwUanpMy6jJRQWTND6hQWRqrEQFUxj2LTcW2EBrrCQ,20
68HJi6X3NgTBJmAcjU5d6HEJeN5rPzmpe26rx7qr4LL7,20
4cKqqwoADnQVUAapaq1CrCwpBwbvCSohZPzB8aHooJjk,19
G6HcA1MFvCgj3seZPEv8kLUntWykJ2jkFU7Fhzk4zs9H,18
2ds8Azc8EC1MNyUWKBQrTsTKutyxg1wSvVFB9tthmd1J,17
DyXLBVDrS8cAvChxrHa21Z7AF7Fi8UUcZ1aBKEegBdB6,17
AsxYivuyVu6znDgnwenpLSLvkZDua4mGKxTvM2JgoeDU,16
DA1NDhPoyiXE9W4ePNUXWqY9UokMeGJTFszJr5V4v6yU,16
6gsr2ZSQswkGCp1pGRuKdN8gauLyinbW9ESXVQpZzvgM,15
H4uosexv2PhbrQ53E8MyXGjBkdxePeAzcEfxtakkks4E,15
4ngX6apexuBW2LRyF7DkWBRd7nH23U7BpuaRTodxZvSt,15
Eg2DEYXfCmeWaXLcCXGS6MNRPFafG5NAwgVB9mrYPT5d,14
