owner,count
E3r316vXJGFgzB6666UE5hKz91WNHoFzS3bZt1HZK3kh,570
E4nirM5HCtCae27qAEZ4vujAj9zuwDpiBMXnovP15Kg1,315
EbB1BrhiUf1r9NG15254n4Yfgn4TX1aZEvi2FQ3vuMxc,302
5TbHCJAnggx17itW4ESjaNDk7pA4ovDBwJg11hekfN6J,247
SQUsUrcWdXSSczN9ofazxnGwphjZ4PbPjEBeRRizE4r,218
4S3VuDD9g66NBzWS3enQpki3UNHvAZo3PSvoXxD8W3JL,147
6RwS46YZ17mEgQEG6RXMufnisGcFhqeLbpEUzdgqBLFr,127
HKN4zACpPLhE6CBQtarSfk2Dn45NVVWTKU2RLrtCLdwA,113
8fN6UGo4bUmzM375BJjos8vD8MD2JUjEeAUqrorr82p1,107
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,106
EmWTQnextZrhogAvxF4JvPW6tuscJsbn7Lej282SNQJh,102
FD4RMa3MxCsfFp1CSSEUUmYdGoHKe4Brcv3zj5DW7fns,102
AxqQqW1gQnXQsDFgkmMUvdVv42QP87MknxJZKnjhG5zu,101
AKU88b2pDSNrw2n6LfTeU2FCAfVmhYwQmMpdMVcUXJ35,100
Eecnu8L8RGqNVGySFPxRDmt2eMGJFPSzDY5UFHT7n4CE,81
4XH9g6oYY299wZUYCEU2vQtk8D39KQWUHTmfSEQ55HXF,70
mjPPc2EGSs2P16PxRzsQtU222TjU356wRg3hKJseKwE,69
4rpJb5JqRhJiUEywnkpS3RZVtU8YgtSDGe4VJGLaYu96,61
E2N1uCR4kNZdy1Zys5v5hyXdYpU99uwYHN5YikKik6kr,60
CY6vLMNBaUxjUnEJQkv2XunFhFBFp13bijtukTRAYebE,56
7JvSqrvsu28gWYhX5ksPyxmZAsV66RB8vJZAqwDAxDiz,50
8MfPwDv7988Pw45KfWDtL2pcPEKdXeJYpeshBqNQizWe,50
Yw2Ff9qRbaqCFoW2Mmd4FyTNVKnqcT4YzmFAYq5zyAq,45
EX2C2xnrja3CFXRJ8YZyURRQcm5E1KAR9TTUQhCUDCya,45
4feRTd6n4aDLnALd9R3y5QyJtoxNUfef1wrLhCiV89Le,44
Ew7vw2yZ6bFTay1gDqRn1n6A7ZwmRfZL4w1iiLZ1VMLZ,43
8WVr3NhTzDv8X8tgqewjef41tjH5P2XeLhL7tGNd6WJG,43
3y2FEeqYnykpE2hu3LGdWbDrRYbTx3DEFvxAhFcSTReU,40
3r6Q2u16vDR5te9RdCP6DDUm43rqA6gs4d6iqwb2eCQX,37
5urwbfkbNy2hHGNX29EDStMCJHxMcaq9doXhR3P9MzjV,35
AfVXtsmsbmeVDuYSTdEQdiJsYKsi8EKZEdzoTmRb8mQ,35
HEeYrd784HCWD93L4kws9ZV3bezd1y8A8rxcF8hKMbFk,30
3E2qGK5VEgduaGQ59znNg4jLgzZZQmjFzx5mHFH96gPm,30
5aL7YUot97RNUxJzHxLJmM2UEgVBqjvoq3ivn3yitnfE,30
EAVNQRiX25TCf2f5LPUZftCfMB2cnhcmnFDEQXx4qjqN,30
58Dgutjanj7gnpZydbH2vc4ED97uBoRHtD2tSAeqT21z,30
JAG7CCQp6nNBTAapMACTSsdm2cJk1TUsHj34Zf5fPLfo,30
4hkTvV1ugsxAVAgyggtJQJG5QfCGsNErRLoQAtgMBdqH,30
HeDzTQKFXkuy7dDX8q5JYWqMxKoba9sYrQmjJUMBMzs1,29
2aSJBUGpWWUZty3dafov1Z8Edw3YPA6Z1e2X3aqXu27i,25
HX4GqTkxQaUBemFfx5hq1ZBszyDjv3CTjeyfPRNtW9ax,25
98vJraBpTmT2hmFxfHchp1Bd7Wg5UN17ZKUuGQKfPi1r,25
8ZQSa3cbUh7pf1n6mMChzjxEdv6yGbEMr5FQawZrY4YA,24
6hALUrv6F88oMjeUer9KigsbSmVkPe9g3iXJLigGUsyx,23
rUwysfZdAz1Kk1E3ZpSypmaBtu6CrBko5J2joW6ctiG,22
Go5hpnB39dzjqSJXKncjTkfxuv3EmAKEqDEL2tLNDJio,21
GQFSF6rj3vBrSEaa9C5nhSnfqyh2MBMrdqkRATAoieV2,21
AyvdpwkeoQryZpDdXhQiGvx9UQqLCBW6LMLKX96P5CBJ,21
uY882Tt5M1YxBxdTry2bnC3hMqYEUdU1MQfv94VpEN8,20
GsuUygyTy2S73ycCa32iqYDNrN4SofpxeZe6Wc8zpfP,20
Gj6wrPzWfWfgiAD7AE5nEkXBrPNPTtq1FEm1BZRh4BsK,20
2WdLLURnXDnBAEPPVvtJf1jz4V58m7Q5Fgiyw4Gsyqxz,20
746LnUPNNVn2VZ8NabfoTFpV2ufLfiPDxwozmoGWM7Qj,20
FB21Ctg3EqdKap5i9B2cFiMxmPs8SxMvoWoMzENM4f3t,19
Uf7hY5t8T2HcqUxyqQ8ktMhfW7pNdidsYuAY4KsAthM,18
7azqm8HWqiqZPrcgWoBbtNc9HykxpzK5zGTuiJXkpzNZ,17
ASF3M9SXSmuobEFg1uk2P6agRdkMWSeoCYkZu17rtnMt,16
6hm4DHk4TzHuoJkDCijFfPfUFH3h7F6Zoq4N17pqukhB,15
vCGmz9PjfTrMh2uK23RkqToZ1Jn2yc44D5KiVNaMt9S,15
96KgsorCizpitKvEDz8vGKF56H21ZhV3tejro8ZypW1r,14
5ggWrcdjLsuCGP2wUbxEoTykQn2FxDF1YJT4jGuuHyQU,14
6M2tCgbLypYwWQx4sbC5ZvuABk44TYYbNiQNApMNP4tr,14
BTjcmifeEzuKz8PF65iKeAE2aVmXoe1S8VJNDQi7oUYv,13
35DaRgHbCK4C913yLFB4CQNs18wnke3yMaNekkPupRGi,12
AB5y65knbYA6ySpPQojqrPUR5KX42pF4zzVYsuAfasZo,12
69zCSiULLxQj8f8t656MU6XQm93cEH1ATZ5EYcMQJ4Ab,11
CxKWhsTKhyAWYdttDrxBEQLsvq5FYtbMZDmGb2EkSTkn,11
9BK9Kgeyr197K7Eye2YVqsk3xd9NLP2uwoUfc7mHEYva,11
4bY5HESGCbZ3pZbTs8aeAzc8EAjnkeAHLadLP3Vp3gP4,11
7xadG4cK6jBU7mCEWzCyeYkTwgpKbN2oQezXY5esbcq7,10
B3pKWBvY9dZrjTQv43PnfYHjtGoD7MoQ4MDLHg6zBUA1,10
6ppjvFBVWFfGTFSmVUb3wxHTxKEgYqQGaEik5VHuepW4,10
DPvEm3YB2D6UF1831cpMPd94CV1BKpbyKEZKstWxGHST,10
9QpNzpbYCDKxEph1PGa3Qp3fCJ9TK1EKQRX34j1kQE3K,10
BhFZYiw83c1gnix2GCzwztcDVUkmfHatbz2n7fm9fqhK,10
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,9
AdUucKvBz6fKga4riDcaN6zKcvQ4krPKKu8DyoUwvxey,9
4wTyZoyQcLWpX81udCqWxaoeuVQFj1yXWt1ePPxw36Xn,9
4jRX4iW2F5wBnfYMyB7RjS2PU5MjXrST3fB9DoV4BjHa,9
FYCyb6cJsHjMwqwpp4DNjjJS5jx9eT8pEjWpbo13uH6W,9
FMjUGmjzsmy3isX4rLfXLzXqtf6aUnk5fqHK5TWcrdYk,9
DQo7zLU4RSytC8DpwwAmqMxydPo61h29AQeoArbwnkDx,8
GrdKBSetYHpyztAp5KfqUt4JDxtMCqBtRZmaGv1m45Uo,8
5vPb3aEFBmWWS5Gbt31e6KomMi7ghPpyBqp7ZZ549LUT,8
BXdKzS91nR5HkX3nsYdrnALdtML1BfMhewYt5Q68WXxT,8
GuGEsPtoAgFfvKocPtEsUazYTpweD53u7umjn7khg5xo,7
A2NtR6B4ZCzoHfzHmvSrs73DrSAttHHkbdhwu3zqpRUk,7
Hkx3BhCW4HbKqiQjB2oN3XjMMc5pAD25KMnSF9y3uakF,7
82kwrMxe5c66gAY6YzxmvVjLQ1Yfs8F7cTmbFWNFG2pr,6
8feLJkJjTtNFyPQkGkgLMpD1wbDLiQCu87dYNrgUt3xp,6
DKnAtwhpYSZkvkJkPgUHbaMV7v9X3H2QerjhND4ZgLx4,6
DhJvzxeAyLa6fQJRHLysKzhv88KU1hmVYaUfqXxXwNxN,6
3Khy5CUC62vEaEVpffJZR7s9wspgofBP4KQa9wdaQKVp,6
J9oADBRgAuczBBfYyqTY9uS496BfeHJB446vWCuiqWrY,6
N3a3eki9rPYTJWZKd6n3YjX63nQt3xFj3F6GEAihbAM,6
2f4Tg3bCNq27CSDe5ZkPP5GLrb3YnSworUnvm9smTSjr,6
A9ps836TAXv7SpTmwWzqXAP5rVhpodFnFvRBSVSxwCMg,6
7vQ9qMmuWtaTYowMoLNPEHBZZWB8NjCXaKYU6bRrchdH,6
HTo75WF3UsiqesoDFUMvam4GussXwpBoZjDuHQpVXVza,6
B5ttQTtAosbzrg1kWb3myAhn7QrUWCq4yLvD61j61K41,6
dMdTAiMutv2BqdwxuQQauAKcBkq1P3oQd4v8Ntk3ekj,5
2o55q7T2qQRZz9SCi52baj13J1spvyrCnyVEW3FbFHrB,5
27h33LsmYSnXzdeBiCKURA1BVUGSkRTxELt8uBS8wQby,5
2CFgeSqAJw1GDn2mhwLU2CucAcve3w4rF2Sr7Eu3SfTm,5
5n68cGgcVQBHqqqgAX1774WewJHdjCY4n9wuHbtQy5k3,5
8hrFtdmf7zqKpzwC8sovCHGJ4D4dzsU47Gu8BmLfYGF1,5
5uo2tWoTTYjXon4us7rfZWutH5diGrkNiCqMZTc3tyCE,5
8ciEiFpyxU69TZEUDVfhYwpFuBQUbAkK8tAkXDKrSEy5,5
B5EPPriSLCz5uKwJuGWk7fWCPM48kDjKhH3nnhzXZnqc,5
6zZ6CNYErShPT1tsU31wRNHQpAuEitqpnZvpLk7SMejz,5
FrK7VWjaChTG8o9JifQRYgnBwFeA1WHMgBJtvG9NUHzD,5
HnantpkY5EQzcmDvtWvxpLPaVLeq4umdcBvMU2tUFdTt,5
HWx2r46CH99w2s7oyZrwQ3KKuLCB5crppn11REemsCRT,5
DTa29XgjVyxioKFHeFcFMHzx5vwDQrtKjT83cA4SXfoP,5
H7TYc9tpCS49wYNTsG2axfzBL2uoEHYcDoJmPwPQHJAZ,5
549gSri16Kt8LDotAAT3ojR4pyczijjEsTaDmUi7dVPd,5
