owner,count
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,167
DTFbPALFNfo1JYffVBqC7cBWxxWSo9gA2AhfrpZR99dy,105
86fukcsViBNC5nwjSvz3fP4p8KPwwu6FRsSyW64EDoTF,52
5yPG2JnbUYDRfTFmRqhFKKgwwbvFD6YTjdgpubbGg3ir,51
9C8vAdqSdz1SNGnRYNfZSU28VDnaAHg1HTJdUEAyCdow,50
6hJCYNMA6qYo8P1RzpMdkczREZpzHZixUB9qUEtoPwJA,44
A7C2kCCPQhwkdSJR3mHnfgCwn7NXMQBrvFHdkwg1EVqz,40
7FKNLAy93x8rGGAHJYwERBMPS85ChgaGMDSJP5cQn3L3,40
CrZHKynWqBsBidCxBxJwLvHaJbHWj6xt3qLEkiTYAven,40
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,36
E5C6oajsSPy9hH8FmR9iYccBHq2taDHU5pnAGtmiVA9A,31
CT4p9cdQ62iBAb8DQGJ1aF1kgE36mL9o9TabQKDLjNF5,31
EZdiosrtXpuRxiSTb5mmZL5wxbByyb5coJWXYscq6HEr,31
5QMbRJFmeeJiY9d4q1nmZbaBq6EaeCqZXcbvG4JFJykn,30
Fw5L459FEo5udcwfhbPUSHw11nEWK2mJR2XNKboGoTw6,28
47rESDoxvvAve8iyJPPX5NcE8451PNfTLB2fngfKdbxq,27
8BzzYoXWkt78YBV7UqCXZPysEnw5Z37K8y9ULmQhwW2N,25
717xvFZsjnb5h1QAbhabrjwP1DX9JGnEu9v5sTzsfkMD,20
A5rKJ2k3tVwxKQnS7mktHVdM8ep6Ww76HREc75t4T8iv,20
CMX73hbkYZc4qLkFsU29gEG7s8Y5ibmNx2Qxm1eRGxhx,18
DmDzr8pCUcVnUu1ySAERYk7Q9dz3gy62si89VAqxBWUR,17
G4aqEbwFSfvULZ2BZe4L2iRcw6Nqwkb4hyJEy7WpPM8E,16
H4SScuQfsMMnUawDJd8dKcSedzg8xCuvrRHnRUq9npfB,16
6knodFixxrKJxhYoUK4Bb56NUw3ZToVABVmEEdX8BKyq,16
HnP8ZepMP1C2GhwRoDUQZPw2h13kUdfqHHyhMdZaQBeG,16
DjYCz7zVkUZcpYvCRfjEa5AHN1oRvBwPbKxJoS3dJ6zM,15
719z6amjntcyceWtF1x1dJ7gGLpUR3niPuHY7WMweH3W,14
4L2RugiRLhj2NN5inxvkBEV8Xr46QhbG8PDKqZarvrGb,12
8tPZXD92QFeQWt3x54ge3hC79jgfXAygsUDk7XVv6KgL,12
EzTK5BEin8m8Gv85KHdAAEhvCrnWAa8ssMdKPjfNYMZt,12
EbSwH7C9m1iWr9oRBgk9brWQEB2noQbrtkMnKAaXkrP3,12
2sWednmLsJKMWiZi27cZ5RRj4di1ufMpaHJmRKiB186p,11
2YPgA6wuLf285jorSkhj5jzgmif3cLskpT21xfiDdcQT,11
81jTDQthtjkAmMZVhJVBdQENogAoArcufjXwVBCM4ePq,11
Fc8YReWn9KikLKHeUtUVRz1jeazM7E7t2jVuVq1T2CRe,11
PaPabNPMni14ijZTzqvgQ4fxtv9VoEoqWv7scUQqisi,11
EW3dNZNkcFXXz1PoGykE5bQR8J4PZbQbsauW2eD2x9bc,10
CFcp9YKydHSgLd7vCS8aVF5iJLwzMeBnbP1HLCXEmhEm,10
3MdHnZfrycGzR2RdTCxQP7m2YjnBE2AgjkSNFXNR1wMF,10
7sXDye92k7CDo4Yz3DQ2JhJrKxxk1avcszbD36KhwQ9S,10
CyzmN2L6zbjrDqkJ7CUAEk1FHNSHUeqRMKy4FeRuuXD9,10
