owner,count
BEmorf5P1NVyyfNZcniEGeeKimo4ie6GESpZwDwX9HRJ,96
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,28
Dgu7cbr2rB3F8RqRYEx5i8TgDv7M6AcjCGoB2txJqUQ3,26
EFnAHPX7wgFv2nZi2Zvy9a1Akb5xQGKvD1qQTo1XsC1f,25
Dt3UgdJ2kFag3Dmb1DgSeKgYSDXBjnhDkVoapPHRtbXc,22
HBjvu8uqanGRDXnBEw15cfgn3hZXeoovHPTJFsjE98PD,20
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,18
AoreNexECTGA3RJ6h8kjc3ZY9DRGzBW4oPBtu9FUNyim,17
D3MXkHJGJGWMDTwxsEjwEzygr7FYjikMUzWQFcewdDpm,15
B3pKWBvY9dZrjTQv43PnfYHjtGoD7MoQ4MDLHg6zBUA1,15
BkWJNvu4cB3StswWWLwDv2yoBKDw292qxyrLceicJkD7,15
BqAe2oQx9PMdawKAe1Jw8PPwWsFCfiLG71Gg3omU8u1e,15
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,12
H3MwQkpv8aA4TS2z2LMtUbgC2th7niZYqNxWEdK7VC9X,12
6jKoMo97ify51J2ZdHNj8d8vBvU9VdQvNfBCyEUaqagC,11
3K3q5eTDfJSUBzmnuFUSyNZGanWPtY75DEubQ2TbcUp6,10
vGXmWxQ7NiDNymd6DvRQizoaC71NDS1XfPTkBvtRThb,10
GuYtBMQxSoLmMC7cMSZ341F9958k7oGGkv5ztsU985SX,9
4KZ6eDb5xLRaXxBeMj4RaM6SjYvmtkcJ3tcvd6VuS5ua,9
BeEMuaaQCQPodQdaA7W6Rmsu7761vCabN4Tth6jA4VCP,9
AtGuTwYkrZnUPsKvgqAF2nbQ5iEXyzo5M667EzAqhVyA,8
3oSZuVtSGqZb5j2EuB1BSDypPUQdMwm1nBU3CTs3F8zn,8
