owner,nftmint
CYb8cxPhHSiPLvSUTxqrFdMkxsRrw8do6vuFQ3CWDBK3,JEFWpgdGphMukgJ48Um787TQBfHwe4LXxzKRfhGterb9
8kKQshmbbeVwCJ6VWD2XuqLz6WhVrVXZQhcDAZ3dKyYw,JE8wh6jF5dupq6GmNTEfEFT91QAVRULwpb3aDyQqjwqj
3i31EGhVmEU3ZxGvX1oaccCKd5fbazVFixLuLe124HCU,JE5L9xMzhWhQKig94HeubhSwdq5NZhWk2oqkpMZksBwF
FeFWUM6mgn3enGcLo6r937AFMsn9FjKHNYvCRkBanSsH,JE2cSWW8b172aGCqp9qaPuFB3JNuNa7rDpW3SwzzfE7s
8YY5LrwE1dyUwohuusNNJbqEXg9vGdUFXTqyQu7gZ6vn,JDrUUDJwcYLYFs5pXxEU89A3GxGo1MMS7aHfqJ84kwVt
5sT5z91eXrj4yprqJkiq2GrWhSj82oDHvYgaxhFX3QkL,JDjMZj8Qx1CKqvX67TAhrgFAdXqf5CYRtX7dPucKRcrG
2rCdZxSK9pNDMp5WTWG7xHXF8wVwguKWQLPieG5snM3J,JDdtubvMC5k3UBLttT6dA5Mmv5M5DE7oS67rvY69S8km
8YY5LrwE1dyUwohuusNNJbqEXg9vGdUFXTqyQu7gZ6vn,JDVSACePsh4BoAskpCDbc4es8BKqAUNkFbch93QPUveF
A9DsyEuQP5J4fizYuWXKwgGebThNkFm9NEXFzBbeaEdr,JDPhtdd9H49r33K7MBqEzHVTgxvoBH1iq58etLLbe4we
EPVMgTyny8LE3Th6xx2USCVeCyw8GsM5pRwQ78QnJ3Yt,JDJnVQGckv2rFYaTJGNNwfNhCVi43t1bN777WehiiWdt
Dr2rLYBQ8X86mAbkJyJ5X1mPzXeYxchHuqPsvGjwKhEQ,JD9gKagQEhWzRPubwxdGpMzAjgiV6xtcYA6fbecgXv7a
EQQFvTFS3Y3CTJuLyc929ZWbaEoWQdS5dmCHcqZD5yYC,JD2bNyMsjKexsyh7Tv2Q95QVybe71bjkDLS9RAgEoY4L
5E2d6Z5FRe4584RTmJpyjg8yRtHG1YeorKbFSA1BpkPq,JCrZYPZjAxbMsNBMP67Ws8zbU43R1jHp81xhECqvP7zd
ASpsuJzfdvGSxX72MG3tFqGyNPtmdfkrMRsNokNrDGdn,JCik7N6t3FroHJ7rNqaZYTDQrc84J5MGMMQ2oGn9mFH3
G7ug3c8chviEEiFbgTBimmt83smAtihzRggViukKRo3s,JChJQpnQ15Mcy2dTvWgQv2Rb5L1aQD9oDKvMRm4e3UUd
A9DsyEuQP5J4fizYuWXKwgGebThNkFm9NEXFzBbeaEdr,JCbX5Hj1jAYdcpxGEeDc1FZz5jZ9a7g6m6qQUkn92pz2
35d9B63PtEvozBTARLV23TsdcMAC7ZHsUYKtAJwS2cTJ,JCUB4jbfWBMzBuoVbnsWs1MWN4qPHXnFRXpFe3nczX1s
8YY5LrwE1dyUwohuusNNJbqEXg9vGdUFXTqyQu7gZ6vn,JCTmsKDTEQX7v5xW1XsXMUjaT63RZMgGjadjFFxQ8SR1
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,JC8yLJybCwsDoQBtkztppzTK3PTZWCBEnQUGouw2Ab9B
A9DsyEuQP5J4fizYuWXKwgGebThNkFm9NEXFzBbeaEdr,JC6XiEUXiHsyRipkzfWN4dGeQNajqv3sZNBUgG6FA3t8
A9DsyEuQP5J4fizYuWXKwgGebThNkFm9NEXFzBbeaEdr,JBxSxunuTkRKDp8qyvBsX4m1ShdJkJkb8znfs8J6vFhi
A9DsyEuQP5J4fizYuWXKwgGebThNkFm9NEXFzBbeaEdr,JBn2NfGdNmq5Qaf91L2WT6LPte8PLdsUyCccR55eUgKv
2K6kC5hrLcRR62EhHGmTRY3G8ifQde32PDkaip1DYJFM,JBk8aSa1LKS6ZWniPn4PaMZTrMmWPW5rbndg2qJfZtaT
2oWfBWv37pmvtoGHcPwdWMHUcjN4QyCWAT7Dh4WffvCc,JBfGwAhxo1nG6eVs9J2VAmSQyJKdV7ZNPnaar8PrKqXM
8261CeSMuo29M8f5V43N8FtSP1vp4FNoMGkxJpKNRTqF,JBeXkfqNsJbe9FypGaenpSTjiFg599zr1pJCLbm4i1s5
A9DsyEuQP5J4fizYuWXKwgGebThNkFm9NEXFzBbeaEdr,JBcHqUdzdRQZgeEUmFnadWCEvxTwU5Qr1xNWEcTpxvJm
sBNdDBxzoG7cYejvVmjSkxvTTBkueQSjbUyYCdcSNWY,JBbM9XfSMTsNp2G231iHSK8vmP4soytCF2kf6KTxue43
8YY5LrwE1dyUwohuusNNJbqEXg9vGdUFXTqyQu7gZ6vn,JBSh2GsUtbjoWHbh6hx9VapwpodwUdxeeXJuDTke3vf9
J72ezFKDWeidsBuAKpVd2gjmudNH5Ln2sURrd15pkznc,JBGZAYQAsKieSvrzziSCRJXu7qBWDUXqLRMK8bHQeDaF
9md6sj7EtFMNWUbKEgABMKJLiin5ZEzuDxR6PCcPUBqV,JBCr2JZF3fkLtd5Hdt1wRpBrxyQtJZv3uK4LuE6f5WE3
5qsxJtUY7Q1816QKVpFS1wrJ7p4LD3cGrhmP31EkWFNG,JBAZ4SWkwbXf9pwxBxdTr1TLTjx7TF6RUMswSA9Lbfit
GGTBhEGd68RpKa2mneJ1LReQgsat35XKr9k6cuSjqFMM,JB5dEPzgN4ZNX3xKwz26mQzuS1q5GT5KLvdYQwLu4T2D
A9DsyEuQP5J4fizYuWXKwgGebThNkFm9NEXFzBbeaEdr,JAvw8mGMqLvm2XKmmZdE5NWcZGJXerh18ULVbYNbhJNt
8YY5LrwE1dyUwohuusNNJbqEXg9vGdUFXTqyQu7gZ6vn,JAsPtmm81cegFDaYKf8o7iwpJSCP8vu9AuD9WJqyUtmM
5ttehpdwTeaCT2HCAKwvL6KcGUWaJBwAsh4NWkDAvMv7,JAr6xJs2du9rQqmioM47r2z7eAyox7dcnHzVNRisRm5N
