owner,nftmint
AXXRH6NVXjUNxi6GvVWV4Pp6q7k9xkqeqHhRx8sW41TX,HJqkQ2d7L5PY7ECkM98kwpXorCTnBqGDUrh8jfwEJWmh
H5RJoNy3ArtHWY5WSDdoJR7TX1KoLacqpotAbFB7ViEi,HJCC67sJ2shn6rfyMKfKUFgVqetBWUujNpUKxiRivs2z
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,H9NCtxUTVPsaajVEuNjRMzH3MmEdyPqRFBWo14Jgyy5Q
2Zcdag8h9DRqLNLZXAGY6uA64bia4KSfvCKWksD4HaA3,GmCAcPz4N4zRCQdTbPwADU3FVdiU4YgMy4w2af19CEVD
6pDXWs2ZwA51UESv2iFRnjLezbJdoiKnnNmK5syMrGkk,GVGQEGe1jDua8LvA2fmWtpgzLtbDVR92mEUtLfB8GSBi
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,GHmU4RvWXoj7gDeroByiSENoYnbPCJj7wAPAz2u8RiYg
2JfsirF9fAfn61RaqhDKc7R6w36RhX6cv1Pmwwbhmst3,GCxGjfkkVjJ1baqukQTruCtNZnpE3iEARJiBpkDjgX1z
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,G8UUidSfi4EV7Kskf5mXQMKoaSHofgiL7nUoegnTy8zE
99d9AKDA4kMSTQ1UXfXv5YYwP4ezv2L2K5uq1BvNhZmB,FkrfLWxK5hPgvQonxPhtrU4n6XjePizszRJKTFv46tAj
Gt6HHU3vYnwLpVyhdaNGKygJAEEdHjk54vMerdhdBg42,FFj1qMLWozn3wviVFUjnrBDz7ruuaotgbQADoU2eDzRP
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,FCNTm6faCzdKXL88VvT9ss5FpJUkf5aKvnUzXLsvSPrw
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,EtwgoDQcRvLKpys73pzSoBkiVoDEJeCGr5VEW7BTfC1Z
9Fio2QyvE5QvBe4JPmhV4fsHNr8HZmLdbxqGi3Z8DArz,EoTuFbbDqXcxV2fjEUZXvj3ymPLeeJinUTYTXQ8TJzha
2JfsirF9fAfn61RaqhDKc7R6w36RhX6cv1Pmwwbhmst3,EmJ3z61UzsGEeQ3xBS45J1iPpN4gH1HSiggcLTea7e3x
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,EkyRHCevvUfeuqzP937RLC5satfYCfpTr4Bh2J3E9qmN
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,EfmPJMe87CYpyQdkiUaryBfKHKgCuNYYVGXwgpuofyJq
DNPKGAvdH5FuxVxMRsKMigy13nfEiiWSoz3khVjrSeh1,EBdxXHZKHuVH9wfz9gSvtw7vNkCbWpFBTfcSmQ2qYfhb
