owner,count
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,45
5CSkcL2wmiQ45XuLfnykU1Zu7E3A6RvbS11xg2y5ykcr,28
Gtscc1YjCqrfRTZNTiCdqQn2tYygAY2a8LtyWgWGxbyt,26
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,22
4ZfGdyUcrGxQXFdYyzbTujFhh7FnXQqhZkxuyGDh3AcB,16
46E9zm2NGCDzQ965BtfCHzEsViUmG4LifszPo1mhC3MR,15
143f5YtRiUJGfei9g2voDQawdkzZFCpBqavsgNmUJQGx,13
75RBXjD16yfbkLcddVKEyUB6ngFyvBBi62wPAgXC2x89,13
132DD3KiiMyLzovfFWDg8pVzEogbNzhzT1Y1UdnxQ2QF,11
HNLzZRt2fXD6hdSxRYQ8VMRGmdmdSB6GHMnhEJBCZyMk,11
3ugVdu1FVvVj3FAY8SGPVHM52ZzcafcwbY9QLXezNFt7,10
HeRrfxkQvrg3whUfQZvhwAntquYomy91mLxwk9MSQiHJ,10
DcZFfEUBEBwUZQRN5zGWXYCHi1nPNY2hMSt3NoMtkPbC,8
AEQ4qTvKkV8BKgpYv2pRhwHHHNbKP34isp3bHZGSXUAq,8
8bRrTTc1vCR3fuEBhU2Vo5ga5KjLSfrmjpC9JojcEugV,7
9xtA3FoqjWX3gyR41UjNSv5GffZJA2fwJ7ejse6EnbEB,7
74NeVyt4jNiuosmkFS6CdhqX8H7bLQoHMmsPFwtcr5wd,6
6BK4SLapiLdyc8h6i4Boxd1dwhk7SJpsTWJGMVBB5z6A,6
7TztE1ZhnbnWUUZ5DY5WMiYwqbs2nX6VfddLvTtnWYnC,6
HwDfQszEcLRPcTuVXcnUWgQKUfPUgZrbUEKtrX31DnmJ,6
H8Xzbon82NEJ5gLwouWXtL4rYFjSaF2sU3B8P23JmxK7,6
4jqiWGANpTgLUEVunhi169tKoNB6e6mGrnkBPg7jDnv1,6
7Wasd16EUUP2cjo5VHhGVbTiWsASJc8dXgjhitLFh52u,6
AjTJ1u9sjTKpASfTB295hJjKENFCxiBZp2fpAhZtb15M,5
3LqBQM4B4c9Ge8PCCJe6Utk8HuT15ypSahCr5HimJVh9,5
Evx5iPL7UsPi7UT9XDnuvo8567sP1AE6MF7P8vRaoDpT,5
2mmyUJiRHQrY7WN6UxfhVbqXZJfb3SxKJz6Ms4Fc62gk,5
BzhmfLKy6HMtW1G88d4FDy4GTSETntYeG9nHmEc4jFDm,5
7B2XcuoYzN2jMkaiGj6gaUrs8SbQPrNfZu264ptbvevs,5
DvkWZTZgEnPrybxtTM6ENKEK7o2wtgBGxBmKP7NrpVHt,4
7C2VBt9GXTyWyKLrrg8w4ebFHuNMNgPN5MQHD13bLMbb,4
d71t7ZCWai53kHGzULmjzwnUbigMkGkL3GHqga9tnui,4
27naSc7TTNMzniZu4hnPAkSQk4JShubXtqTuJv7VXycT,4
24ufyLS4jMkAxoUk8pPgWnournhPVfoM2Vm5PdpVJS4r,4
7Am1qdTrum8xYeJBZivwXwCG4dDtic5iWk7hLinmfses,4
BwgpxJAFX9wtZSWxp3JUd65aky6a6N8F5xMqBfA39ohL,4
EsL1Lsh3ACjynYkwUY2tMAmv45DR4GvCBtyhVTqEsWWt,4
63rdxFgb6CsVuzYVaMQgwVhUArF84WWzBrdWdCv4Awq2,4
6yt45QTvsK3t973FCcqbJgbxT7nVa9n78QdLx2mPtKX6,4
CMshtiAUKLCVcRD3WC1YPEJU5NgJF8g2SHmZ8YhNQDa9,3
DUsbPH5WApq2ReSXSduiNm2EowqogEfz56QeHNHe6RQW,3
3EJVWwEoSJfED6DnN9N9mSfuqkLftpGKrmvDMxdGEU5P,3
3hjBCR62ee6KtrMiWXBp8wdt1A2A1Y9E9SpZ8Dbq11nV,3
B1oYNBAk9BSAskMVtmA9i96csxYP7BNJZUVj3iqFHoZN,3
FQq33AG8m2P6DXX6CjGj9gm74kWA8STpmGG98c3wvPLA,3
9Pc2XBtTq3tQy69iCLoxDC3MwKmtxFcAv3zmLpspvHoE,3
GP6wdEHmf9EvcVQRWb7XeaDWhijGT2d83qrzbpuwX8Ue,3
8g1XdPrBPHBhfncR1u3vExEgPc4PYLM9DhTJRaAvudcp,3
G8ko5u7XEQqiyKH3LLwJDv53vDakPTucQrTgBHBaGWRE,3
C9hC2CBiDEhSUbNZLehdt77h1XTTuAed3qhzPHCkcbFz,3
2Umyvbh1ricfZEnvv87ugccZNbvyXUhXoUdz1LQ2ouva,3
7dv9MFTTY7t7bcWV94uDgcPiKLCnQzfPSh1PaGqNhwQ3,3
EkAwGSPVadGHYJut4g38donAk9LoLvNw1pAPKvXELeuc,3
EeP3jHX94KFXEE6EiZz1Y24Q6mjeHfWWkSs6fNWXMPDo,3
GdCQjKX7R2qy1NqPGCe6W3XdBzXPtUAR3F2ZurtSRTbV,3
2r2CEcTpocerKDpoMP5py19ZnUcmUMRPg1WMugw2Wzjc,3
4uG3RqEFDEkwigjWXtZCrfqpJCwRRLgomhG8V4tHqo7f,3
EWcGqjMbyC6r9fWc5DdXYrdhCG6kaiUt2r2RPjBPKzJE,3
5KrLikZiv39RNuz66azZqtHSoEiUHCa6oDWyMq64XSmh,3
3xfgDCWerAmRSusfBZEqvmiZVhekGF6dhheZGzEA9wwi,3
8ySwiPvsS3wJ5symw5jXs71LjGj5bhVV82fonhW4hse1,3
4AP8HgV267AS1GsGUatK8BXcKMwqRUTizSuJZX9epmuJ,3
HCZc7Hm1xiDstdk1SEMaCFAPaB8tAe1GbzxTmF67PbPZ,3
5SQ9U2XNkumDajx9hREvarrg36AdVBPjy6BmPR1NNZoU,3
2xwTH2DUhvXNvN6JwwTioyzWNTbyArZr7KNw7ViYybxR,3
DqnufxxA9hgcmrqWdhUG4JRPqaZXrXsXdqUQro2jaf9K,2
9FgLuJJiR3ainBxrSYoARzW2TsReovCKieLjE73EcoKo,2
9L1BkUns7ydLJDbQsADrStf2pcVV27gVNxU5kXTBxBkN,2
2DRrVZ1Bjvme4yZyGLFymPG3jsyKrEby2AsYeWKU4TZQ,2
DNvTXx4YzJHwcMik2oSs61wykftenydYxVnmRCdqiPAd,2
