owner,nftmint
DqnufxxA9hgcmrqWdhUG4JRPqaZXrXsXdqUQro2jaf9K,JD2snh7wy1ePTk1uwyuj9i7sRFuMKGQKYjtqGmJL4Y46
9FgLuJJiR3ainBxrSYoARzW2TsReovCKieLjE73EcoKo,JCk1FssovAw5MCyAZ6R3VUtxkEMqyoemkP3Y35eNzjHS
HE9HTKPYr65sjix96FJMxTPf9KtTjCNhcEYAW1HxmMuH,JCcQhoibJPrXwdHBtCsToFF1pUfFEmqU57Z4PyurTbYK
9L1BkUns7ydLJDbQsADrStf2pcVV27gVNxU5kXTBxBkN,JAGVLhMdmuTrLUHWqChXZQJKLkMLxX8zXSiWjNENCxnu
CEMXdLsTp1SybzHS5Z47rn7EQ1CiVCSRELHDnshPDpqe,J7TJAmaNoqCyaznANGDHsnrXh6P3w6yX95JCjnsqjAae
DvkWZTZgEnPrybxtTM6ENKEK7o2wtgBGxBmKP7NrpVHt,J7DtmDbbaJfRaYTzbWvf67Md8qq3b1bVUn89KxshzA4U
4J8DJKh6VVpM5q1dMmTp67cNBcccNBw2SR5zPrZTmWnC,J65uquRKKtWFJaFHMoMcSttFqiNvi5ZGvZbyr8MLS9we
4ZfGdyUcrGxQXFdYyzbTujFhh7FnXQqhZkxuyGDh3AcB,J51iTEQ7VnTbJae71M2zZ63K8R7fM4ooEP2pycJEPeGf
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,J4uctWeqcd1mUEtSrjCuUwXUgXbZmXjBoFbuV97aG5aA
2DRrVZ1Bjvme4yZyGLFymPG3jsyKrEby2AsYeWKU4TZQ,J4qHbaMJvpfN4izG986eKAT81eZqtwZEVeSqbtSb54nP
8bRrTTc1vCR3fuEBhU2Vo5ga5KjLSfrmjpC9JojcEugV,J4H1wBzPmmJLTyYmJDk23YxwSFezo3pYz6vXWfVkwRWU
GaP6QZ3Q4PNStyFbrAyNNibgiTgd3e4GU5TTHbMokH9n,J3eKPPsBWdLTShMQ2tpqzAUHMNHLrdrcnfD5JKi4fpeX
DgXgmqGmSnwC3QyZByVeigMdRWjwc7etsssbaaofXBg3,J3GTJxq7tSbjKRRYitgtARGeM8jxvz1TXE7dP7Py2fuY
GKWBRyxJrsU7LuTPSQn8srb45REAM8KxesT28EdVLQ6q,J1CCdysyXJGXpkoHVAtgJKzeC1K93rpReXL1q7YYzj2p
6dwmSQ5UaV44hBQ7xGosYaMRChF7Mvqg9g3jHHg1Rx9U,HyH758Q3YAFB3k6qNY2knzAsWgJeGiRsgQ7yGfxeSN8F
39XjZcTY8zMz3KQY6W6SXDfCsbX5qyju7mMcRG5SAxG4,HyFZNFaDXUh3FHSFmmfpJj3pgcQ4RrrYbjBH9xeev9iT
3td62KyoHGGrzCHVe6rk6hFQtgDmiWkv4EJUGNa8Qv86,Hx6cRFa9rEo7ErPxRZwAEF2uWVghFG2VRxt5BeWLd4ss
3ugVdu1FVvVj3FAY8SGPVHM52ZzcafcwbY9QLXezNFt7,HwvmRqutMBRKJmJGevbWyPDszAKfvjFHDcawjs8KJjFg
62Z3DLNhNUUrGtwN4B4PFw3JJyoqJ1PhAxb9y5gog5LV,HvpHxjFwSzSu6Mt2vdqUo4PjaujerEYrbby4dVpcqH9V
143f5YtRiUJGfei9g2voDQawdkzZFCpBqavsgNmUJQGx,HvMqZ9FUaBxPmEXmT4ABr5djLSudU3iAFgAZckYZuDk3
8DE6rhv2Kg9K7swnirXu3vGVEZ8FqrrDE7HSU8ngx69q,Hv9n2yLpWkX5xpYqZKByAiynZE1EobLUbvVCCnXubMvp
74NeVyt4jNiuosmkFS6CdhqX8H7bLQoHMmsPFwtcr5wd,HtdxHoryEqMFHz2wyzKGo65jznVtS2jFnuJ2BQQYfgdx
D776DkuX57Zr6QmZm3M5yf7P7CPhkFNNYACKjfVjvkTA,HsGiumgkHHARAEvZVfjkrtk7g8huurNmRWvTr4jw87HF
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,HrYSDQAu8hAvSQVr6pQi6yBLqz7KbbHvgzzYyuUF2wEm
43VuPmbAcytrCjtVHcySpcPZKYDgWfC4P5qrGACHsaEj,HrRCKUE4CHZK2moD22hH24aUcohmDGRNXoJrKmbApTB7
21xxCKdLc6jzV9xDxEJU9u9jcTjS1rebnTF7TE7J4xtd,HqLYz5ieZhHzYE81MUC8BKhyvu3SUkn52egL97rnWDwN
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,HpgNtUYQRnq3EPDGgeFJbPRdVGsXHbR3jJToEkP9cCxM
5CSkcL2wmiQ45XuLfnykU1Zu7E3A6RvbS11xg2y5ykcr,HpVLK8vsqPQWKVhxn1A5Y84JFZWUEwZBLELCg8BK76D4
DihQEkFnZNL7acpoqu7vwT8wNp4i5sbXRjw1peBPdBqT,HmnryphVDFZqWrMeWS5bQTgzsUknHVSUt4eKBmp9nd1d
BRSc9ZqXKZc1MGCZfghJfQvRNJG4nSS2JsccerEUy4n,HmEUhW4qZXyQ9hivktwrPnL84jZzCGGhWmsnWcHNHSGc
HegUNQJbHoReBr7BbDbCHiS77dT5waPvNe2Yrg45Ze2r,HkL3LV5Q4XuPHuBEFtHhUwTkkW6yTHBH6JJvkaHYs9mL
6NChZFNfGoHZnvnCHPFQ6THTtPmLtnb8UaMG6PeGGUMD,HjukdvDQ5JE7LeNcyh6mHEALeaPwdHzjfHQAZ8m8E95j
Gtscc1YjCqrfRTZNTiCdqQn2tYygAY2a8LtyWgWGxbyt,HjbUmRQuRoFcxpbv1UMF5ZMyfcQVSk3zCCfkLoQnYC8U
4wQhPJzvK8SdcbBWMyTM1s4SL2ZaPBFkFo9NNxfop9Sw,HiBktpee5irLyAAjSEuvDSPaToKfFfDhy1HscCLdmV91
2C9GjLRfnfLEGtQLvosSiz12dGcejaWKqLqaBhfjsVHK,Hi3aa24ANnNqH2ZPYE62e5mdhc2AEy88BasF46bbEtpM
Cst6UN6i5u8Sjn8QrxCfHzVV9bABDforpfw1dyRnJJbm,HhdQxU1BBdyuCHUUGQRhmzACiGQn7NVoktR6msNQ8kwv
9QftBjRbrRQJH1Ate2xaMru5dkPWmDK2h7w7QuJvQ3Xj,HgcFyy4bUZCtHd2E7hAuNoVAqNFe3duMFojmwJaLykJs
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,Hg7YKbifZX9bNcADXERf3MqgKpFLBADyewmPNbovnkXH
132DD3KiiMyLzovfFWDg8pVzEogbNzhzT1Y1UdnxQ2QF,HehQDnYtxzgUVGcrdCU8bCPEQQrU4xn6zXwJc4d2pTDf
3ugVdu1FVvVj3FAY8SGPVHM52ZzcafcwbY9QLXezNFt7,HdbWZZUuJeafZD61VAZ1RH7yi5LHjyuTja7spDvYnarT
DvkWZTZgEnPrybxtTM6ENKEK7o2wtgBGxBmKP7NrpVHt,Hbq9DPVxsJgP59oBc7FcskJ2xPsUQpLM2ba3LPZmk3Pj
5KrtwYi9BC3hhp7ADFM8XWoPmFkfXVnNUeRMFcjSXgqZ,HZEp3eYJJa7NwRqhWkWKcTc2BLgovi8ExLayCnMU61DL
7TztE1ZhnbnWUUZ5DY5WMiYwqbs2nX6VfddLvTtnWYnC,HZDYaLgH6FVS5tE7QY72wVtaQbzjbHwDvHocXsZMRmL6
3EJVWwEoSJfED6DnN9N9mSfuqkLftpGKrmvDMxdGEU5P,HYiaGpyV8LKCM9ktEk9f2z5rdhC6vPentiH8tMz7Qnbw
C6tYwQ9fE9Q1qTkcySgMN46mrFmDcfM5MUdcSFfZ6iEx,HYMUdD751mYH7DpaNWcS7bM36YGCWNoEAiFppi1buw3q
5VC4QLvYqKrsLdBsZSdEfSwNQiRCbXSUnmd5xosShXkk,HWZvk8FK35GCtAfhWRZnXBKVknHUSsmnKzW94stGoQ8G
2PoC7hqo52rhRSLCcTYjWB13MQbYWqBpaHqiBfwLGrX9,HVZGqvs6Wsfn62YLmTm5P4AM6GrmikVSLHxtjzeTRm1x
Gtscc1YjCqrfRTZNTiCdqQn2tYygAY2a8LtyWgWGxbyt,HUMwYWbU1p8LScivhEubBMKtgahQz9LZ4S92eRaYRX6s
8bYe54wqeHgBGUfwCQoQBgKGUbA3P68zGp2Cjm7DsvQa,HTuzoZJ7agUqeaAngLecW96m3J7ipoy8mTJz2xHBprSS
2aEVC18YnoRxp1gVxhH78nP2dacsrsDx9MbyhafzPyM5,HS7HJyXPfv4cYHfse7gbxXTFY9P4fS7xRfF6wzBXSLff
GmTvLSvoHs9HgTBouyM2zC8HZHqYSE1gBWqFui2HwDHk,HRPWsmL29xvPsFWYLaZQVozE8iNdUUzy59AvUH2Dp5gn
FXuGFC4FKV2TXpJyyB2kLg183gACczCiqgXQqz4U2Bg8,HRB7o8nbDKQbm52aDx12VxSaZR5EeUz97rsoj2wrwmJs
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,HNPj9MhYo5W3mKMiGq8My7jPfNeRyBjDmBRnrkvGann1
6RscwM1tgrK6M3o1Apacr49upaTQLZ7biG9Be3D1gzda,HN5fHqEA1vVBqnbvkTTGz5WLZRVv4cEuWtHR2vmDTosU
AGzDj8bcTP3ZhuUPmv45Y9FaxUAS2zDdhXW7DattipW7,HMngW897BGxGv47xzuEf1uFtvWAAEdopybFf6UBVuPzD
2ceL5EGgbs81WMvZJwAZCdSMLnnvJCZqz7CKVgLFFrFi,HMV9RpCoLeY53FgZBEdQaHXhEb2E4qrK5vRFZ55jmkHh
A1dN39oNt1vBZT5btVWzpUS6BmHdmSwc74BNYxbbcQGf,HLgayrnpk6ofWf45iLmZBPSj7p416EMDtsEuo4c8fzCW
7bURdrJrYyPFZbFkJZwXZGn2HqdW4YuzpEdZgLjB87Ev,HG8D9cnKAYJUtQtoGkZR9p2VFgsgZh75sQu2PgcbAn42
FMYNzCAR9mmxcXLkyz8vDxneNKbPzPjPm5mYc1N6GZac,HFqMQXUoQXboo62Qc4ttyV4Txqw2E5rMfiNF4fo6mccE
DcZFfEUBEBwUZQRN5zGWXYCHi1nPNY2hMSt3NoMtkPbC,HFkbT1hxtVGZNYWNjGHxYBa8EH2DjrKs2eAHPzDC1pDQ
5CSkcL2wmiQ45XuLfnykU1Zu7E3A6RvbS11xg2y5ykcr,HEMWwRaS1LxMHMxL6HRbtz1niWAWAFjo2KRgjnSmdJ8S
DcZFfEUBEBwUZQRN5zGWXYCHi1nPNY2hMSt3NoMtkPbC,HDGqymRw66AiYk5YbVH4rdLCZ3vX3KkaBUUTP7RVqPFq
FTyoPxq1QTgLTMBT1DMR2W1WX6Nur938843C4z13scp2,HB4citJ9fYX5T6d6aZ3SoABUR1ibuTAXM1RN2PLsDALk
GvKrhy2bXbLmsvYr132K84m4df6ot44tFBdPJF9V1LZG,H9WXpNWDkSKKU5PUHpiPkWk97k8KREEAXGVgbciaqEK3
5CSkcL2wmiQ45XuLfnykU1Zu7E3A6RvbS11xg2y5ykcr,H9Mt5oafFxEJkBRHrVW15n1JVHfWkjvSGrgwUz62w3Qk
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,H8zCYwEHL3hKCdWbRdAPJRyVqFsoWwjjB5rraaSVD4G6
3t3frhWZEuNkZYpQmtzKJzudUM7D1cWYqB4wbTohtMxM,H4k1C3ErrgiXQ7T1V9Myr9s5DxqqhNwn1agLvg5roKEj
3UbZRhqaHWwTC8k5RYJSF9dXQvRjVw5MKGCvd9w6qtCL,H26eWZ925pqktNWm9bcuJBpnQ43FeKfxtr2UzcBD8Xik
8Q2LyvqZEVAKQ3e62FetL2JcsBFB4hjSFMSWEQx71BMq,H21YEhB6cVndq7P6GFaHachd6EgfzivBRwsR5d6bY9wc
ARzseaB7Hr7B2VSwVUz1vH1YBkPKDRcansBRH9shvLUt,H1E8uqW8tWTSA8JZkYbtwfmLuitfNLCpaNiWn2H7Mpwf
2ZBwpTNXBDtDiRUbWdQnxt6EjnfoHCAPwz1WEt8p4vjq,GzbprLmjcJ49LzboSsrVXGipGnMiji9xp7gh4ALQcQ9q
FQq33AG8m2P6DXX6CjGj9gm74kWA8STpmGG98c3wvPLA,Gyjm4zJyL6HHqEXDYnh2JWbpYzBc7zLFCCRXtuyj8H9d
64jBB7mrTpBg51iNYzhYSTAn1vY8ykD2hmVK7UK2XHPW,GyPjbBC5kmE18kNQp3DcqkrBpuLz4np3ZciGT16wYuow
