owner,count
GRowGA1cq9abztLhXJykXoD7sAnxUARQap2sRX2CZgpv,21
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,15
3x1EW7CozCjrcdWF1o8xHz45Ucm4twk7JSWSsywxXL1M,13
9CMnpG5MVmR6rkJ7rGHuuKvkejN8iC7G3VeJFNs4KwdJ,9
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,6
4FtQbdyqc4kqwrc1TNxsf4oBxsDj3oWgzV25pCUZyfjG,5
5VtzaYfQC7V4qudejKHWpnsWsJrjPJ7vyJmyWAGhHZTr,5
Cd2K5AP5w9SPLjWK8KYbpd6PcPFUNJwrYRvr3W3TkrMs,5
6cptBVvc4zWpfj7vfcwcpufKwXnpFnW3VhEEL7t4tGAL,5
7T3VnF2DnB3D8cYJDWMHYLAyYBBfapHb85hGvtFx7A7s,4
5d3TqYuC2qitoPvZ8FCbQVwdrES5hAz1BbKmQnbSYTKb,4
Fh9c4e5gtvWJowUCQy2BwHrNZcvUgFbMa2e5ik6KXikR,4
FFAizpnj3We7CzRTopke7zsszVP7s2MavK3Mo2CA8eU5,4
5zCC7oGbRjZT6Kn8H8ZTLrckZoW77DKYVZRcT6ovKZXK,4
9Th77jPLZayUavQeJ66eHGmD6t5AWsAgUVCR2cRXfaFC,4
AG88dVyfRoytjBW5G4sfCCsnTa95bJCsvVtv44PhPz2G,3
4H5HVnT4DPmvcKEeNnAJgZfY2Q6PkMqYjS4u2WT3hMjM,3
3xdJA6rLpX1YreZzb2Q4vUfH4Et24LAKgNWUDroLDHbn,3
9cmiDWv1b5zRJqbJsFvbKk5k7EXENddT9nvVCxaRQ5Rs,3
AP4JAMXZoixPqCD5dRXsSdnqifHE3d7ieh2CaNv9EXPU,3
A4BGcSjPatFv19B66VngRCifSx2hcDx3SFPzAoSCeQBY,2
GJ9H5mRAnx6jzUxkWQK94sQvn2RAmnhcdXqjoJ4nbZFw,2
H1iMNhqwTbiq2ygkrDRVjBRZYf17ZhPqu3R6Z24XdeAv,2
HhNmJyW5Z3FJ2QfDo9YgVQPwp93KU6omHo7ogAGsc9uV,2
AAHStyg9Prnh1phn2dmY8oY2QEhVV2ypiNMWTEr9XwbH,2
HJ1Z14E2fV3yHBM2d8hnM8oJCXwmtNj9qfSUh7JyS5sj,2
DXosfrNVBLtWHdK4qdkHx6VciQmvdi2n1qfMUJBUiqYU,2
9yHxaH7N9VB4E2Xafo4pmJKwoPqtvFeyiXACLw4bY6fw,2
8GQMzBggyrczgbbYQcrVTpRqHfktKHCbvcjkggEJHm4x,2
AQ8Ahv2djzPiaVp9wdZVrJZcvZcRFLkQmKMiKeSM7TEM,2
2wDzHcqt9XqhqPtGGDn9Am4LsETkJhAu5WTUeHn6eSSV,2
Cq8sN2fCwqWTkwMM7RugFyewCpHyzJSzBADfb7zPQWP1,2
FfMm7fXYz3VyGbvcb4Qr3BuggVTqYgqRYEnq7tmhMYYp,2
3TokiGkwekhqVy1cD2HRTWLa8MB2YQsg7mepsowME7St,2
6CEtzPbWcCewMMCaNs9d7og1qERdeoQ1Fhepy419zhCH,2
J3PdfP91ZKRHpSarvoDd9Z9MCAr7yw1BLd77GLsBQGj1,2
4Mn2qwPmsUuhb8CYpYqwonQo1bTssxymwGC5kAv7GarD,2
CtyChBpZ7h2rsUzbQW4BXhrq5hatNuuTn5W8wkfmXsSa,2
BQaWpgPL9myAw43cagYiZcZEpjjR9CTkMmZqmsEeesPB,2
5rZPqqpmzEYEgQTj41jESrBPfxcmVh3k3M8s5Z7ZzibT,2
6CrtF8M8LGFdzjiUYcRWBDqmTqA6xFLeVvmTmVNRsbuc,2
H8dBXfjfFt4LzmmxWcu99SyTX8f6qemjwyhKi3V8YCvV,2
HEJQ6CXSJd2WnSuyPjbhWLqsFkPL2QCJHvrCzkYDSXdb,2
8YFqCwUTvPT2GYKHN2qUdEphRi6u5SoJGYy7VX3zdNRd,2
BVZa992V4hbixxoBApgR9ZLiMjgKT24SqCsDvYRmA87K,2
4KFnRX356NSakkjxyxwmSmxjDSVeFqZJtAaRW5DNW6xi,1
CUiMjourPV2cdKx9g7DKo7PPaFRydR9swSRBvjsbV2c3,1
6Xko7oi2Z6gmaAPaGTdtkPyUW8HxGpGiLcPi8SfkHmub,1
7N5ZxCL2etFyGE51eYRhEaWfBERXWW2NtWx7gQ2n2Z7K,1
12mokkCExsnck12ujiAEx6i3FgFLomcvJtSTQEMvZrEg,1
9mqYXGxpmpuiHP88NmFmryAHxBUV4mNoG4Q4CSKJZxHn,1
2eSXNhK4nYSSA2d1arDK26yJqkzUAXF1Kmv419FSiEHg,1
417WjZC7ameW9E7uAX1gnBY4pX7s3SxujXBBPpEQ3u2f,1
4icdAB2nHe1ZjP1swumccjckYMvV7Nu2179Fe7Lvqrc1,1
3K3q5eTDfJSUBzmnuFUSyNZGanWPtY75DEubQ2TbcUp6,1
Ya5sQXu7Q6bjp8KWv2FfaBe6feRqmvCx92GDtcd2eMS,1
4ho2aJomMau8pqLRAZNF4HVYpcSZLrnaAFLvgFHZH7VG,1
HTmwdif75ny1uGEK5s28nmLyALQgUuHBZCkLq51mdhMs,1
y822Suse4UuKwRcC6ZmfiZbLqijjqQESJtEzgriEcrv,1
2jthGic7E5XEoWEXPUDmwhTdbGHX6FFUs3ZsxhvDrXzm,1
DKcG193bCfpk6SzjfiV9CzVUZjHK1k7yEmqfjJ1PV4jd,1
CHCKFtyPzeZwe1UqpXaBX91wEy5v8itevXZSjLf9AjCB,1
B7GyXqqDmQdBgzsofnyB1zVnX9J3cmBQ4REYWDyupcwT,1
5HgVtfozrJK3BZZJ5FpESVW8jUm5UvFXBvaWYH1hSLqM,1
DSh3MfAfbhWZZrcNmcbXiPyPjh3TwsNtMpU64BW8y6SN,1
D3wHtrQi35fQLAKd9VSqwemTikGPYYRtX1epHKtWNA5A,1
DMf4vcsw8cX5khU7vn2SJFv3UDVoN8DjfnbLXg6QLaVT,1
Gnsbz9w1u5ECnZL1X6KRq5TXHMW4dtAyDk5QHEmcXXaf,1
H278PekRws2BnBUBfqfjTUTaGVxTst2pt92Hv1Tkj2yM,1
ABD3YXPJcYKoikFebia9dtJ1rDpa9cEySckCFay27KP3,1
Hze1JSomp9FTDXtmV25n9QAzYQqakpS2BcZKLVs8NAAy,1
AxcswTmFFqCihtynq6c21MKzLRuHw1EvJFJA8nob7nQU,1
BDUhjizBVo1F5hJirXBYmAJPoWmY6QCz9z7eh3wpA4in,1
AnuFP3xM9MQNJFjoFHZ73hANPPSb8um9tWPuNTEKqysi,1
6vxtECSd17JUM7ybX6Eb88oGVDxh9hyqsJPXWNJ4bFLf,1
7QGQ1PzZ4Uj1PRzcwrnrDNye5v3CC8AdXfuvwYCujJFg,1
3z7Et8onqm7CBkYcVP3p47fn7hGFDBVzTJbMmA2n22LW,1
s8EZdFoi1BpyZMRhhXQUHx3vLyeJKFmVZGR5pkjL48D,1
AZDajJyRXTRu9gfCTFZgJTkqvQHBtA7W3ab4y5TdCbew,1
8ow3SpPDVVgchvpm15ynwW4Y8vGK1BhGvfF4eRca3k2A,1
BcjL5DztuX3kE6GyGaCcuCAMC4uacANPPqMGRZom2HyZ,1
4MiQjhgTJoPta1pCvANoad4siNfeum6EmtGWCRvZSx2o,1
NFBxGyBV7HCkXXvqxJQvYHirejr1vMC9EeCxn3u8gGP,1
5GSgyNd85JP4x9bP7eNtQc5d5m5eYuYr1BDY62LbuErE,1
ASr8PMPcnWkh9zi4DFXkzxPDKLphPC2dGJ26VpXviHy9,1
3UrEBoiwzqb2oUNJv6dEYNityTqitHnqfLqDpYxdHXL9,1
6CypiTphqfCTu9HpcNhjfKdQJqvtWZC8etLhtHG8KMDr,1
