owner,count
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,193
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,163
Dht7MqnC2bW76MNnPPHCemE5CXfeSwpXVhCMQh5D7SeJ,102
FzLkR7iyeY8AHMNF6S52Mh98tevboJjvBf9FzCJ9Yyef,69
BFEUWgiVVVPrJ4x6fNv5B7pTyc4ysdEZng3Vtx7EH2Ai,55
A4H9f41rngpzGE3ZUJTyBxLfB9LtH3q6WtGcwcyK544C,53
EyBSA6CWx4Fud7r1KaVmZytXMm2ad13FZ1YB185Bega3,50
EyMxR7ti6sZNhJVi2nb29WazrpUCN8UjNF4ewQmoQeCx,50
4ZjYSCH3Sib9iMSM3QN2sL2kwxNcXG2P4XCemSC2hsyb,48
Efx1LHEbVZQyqxxkibrZ11ehDP38nxPXCj38GoUn4i83,39
Ctujap5q7RKhUgkizR98cnG1X7zbyLyxQqZAkNFM3woG,39
Bo4nGugF3usS4N797H4LEm2r2d794kvht6HruwNCVe7Z,31
CGzj3jBJoxi4gJVs2xoD92oH1XdKiajpkeibDzHhBzc2,28
BiVyVyDDVwikxWa2B3CwHCncECwA6DUK8Dma1eiDCa2r,24
F1bJKcUkyeX33cfWhQ4gr8hQADMsnQqSLBRUsWZ6hD3i,24
7fa4uBTWJ47NPT3nwVaS4dv55g4ABgTSnQQzLvcNSwmy,21
FtViTWeDqgqAYQ7UxgvZLdWsCnV1Pa69wjEjBteePSxE,21
J3YnzrcYoH8Ly7zPSTF27tcnriGeZe7NJLYFkbtzDYtx,20
7bsGXNkKqJTtpohidd7J1ftzfibWw2jq63agWKVbF5pr,20
GCWr47oo3C71fKmfSYcXguqvcxeEizEPfStcNDy8BZjM,20
H5mB3XnQt6sdYvh43EUY41ANxGG7LBNScAPkYuFNQu9o,20
9AWdVYuXRSQVoRxDdyKAtkpqsLzRYoryhUp9fj78pPZP,20
3jG2EYyEXrWYMAM4r9bC8sSfyLaKVAnft5zKdriQsdAT,18
6LVwntR49mRbU62YbVMn6MKNTRCfiwcfabgbQxSdKQS4,17
cPGdMA7CvsW1J8KQKAk6uEp6LV62WaHeEj2FfkFSNb1,17
FzeQfg4G3Cz96wJXtavBLevaQqyJofNGnT35NPsQFqhs,16
E1NDRCQJEjYQitM1BZvLAiFeE7vjGSXvvRPY4mBo8gnN,16
4ngmHzCg6jNrGsEfUcrCuACNBqXbm2MDzaqzyCrgauGZ,15
GazTuZbs9ATANW3wAq2xg6Rc2cFDXmm3hweeuBKJzXrF,15
32u4Y11CKrMXBAZ8mJUxzZz7cL8PMxRpfj6d6qBSHBEv,15
G6XdUYyys6uP4LpDwUCfWhkzpe2jAskq95JBmNgGNjqX,14
DYzMsvZvAdSbd5CzAiezV8QvYF26Rt3ZWzH3y6CKyBrz,13
2QCdT8xwkiDtyEB23X2kdwTsSgU6aNaJX8LK89ZS9Wrp,13
ES3Rwy4ydEF2djPwtGQMFQTAoPxSh43REMQWc9Xm9xww,12
5yPGvUz6JWKjkViGwTCpygJii1rP2xv5yx146ULtBiYq,12
DW5d9d1uVQawFFbQKsykZGsx7LFnCJ3PBjqme8Ho59ek,12
FqhqEKLLbr9dLu8peBJNMfwafTzPFSd7zUM9Fdt2D3b1,12
C93Ma56XXTyTf6dwkJKc65hRm6TCga4Jiv5nFo7KnNZn,12
8e87shFh2KbCf64ZGraWcXoj5Xt8828Wsv1AezGnfyVP,12
62icC56KiqEAyPPcZKPvr9AFboDD7vzoezSvUZ6EQWSE,12
Hr61YhAQM4fG4x1vfAa3oUWaS2LttcA3K5QZmHqPDYvQ,12
6r8pxTYmSrBxLc1Akcf5VrfNRru6dtku25sKtNcmbhEX,11
F6FFadnRUmbKNQhsPGDHVGLC4nzVtk19jCJoyxDYg1Xp,11
FiZSfokXNfPMRqNPrGNcjGKMCbGu3Apj7UPobfsQetjb,10
J5ZNtaRRhz3Hviqdh3oHfCV9MQgcyEJcyuXHrzpcAULr,10
4VgXSVmMQ2W5NqCRC7yEN9aSfX6MaKu4ywehJUxw3btJ,10
3NoPerEGS1JpPA6FGYpPfKJ8QUkBjYPngST2pwpQt7ED,10
HiKRT6EuRqH43i6Qt3dTVTPjYDhJm44UiUtbAY95dwzq,10
CwP4aWg9WZMfPxqKjVfv5PfhRzAdG5xndXYXZo2m9JZB,10
4SN4w1iwfRsZuZbqqTeXkTiaYQiDPh2uEgDd2ZzkbYVu,10
8VPa4T8BsL9xP89eBrtnoGu6L47dxAK3mdH1fQ7h2d2V,10
2yN3sCJABdFKkFUUese3vDFe3Z5JvBRHR9vmjEb8xo7G,10
BRQ7ND4moSEai95aSv11GofRjGjZZyn9e2FLnXMLSfGU,10
AmLrYanRp9VLPUi7XnBP8KFeuX65XSX3T4uJuRzvwwdg,10
DY6KL9EAtnV12fqbXaxk3S2cieaRmuuYPQ5EE25AsFUH,10
AUpfkhwqJAoEcNq7ZskwPNCsfSmPPirBYNAi7QNhqj7n,10
3soRBGBjj4aJnQGvbma22y4dEiaKssiFMygcx6j2h6ap,9
Ba1TwUdSnX1MUz31SNKo5eSQQws9grDS8jC6VQ1YKvHE,9
ATStFyjqeNcPjTDhiTown4LLqofZAsLLju9tw5ZzCSXm,9
eaEBr3mW3rJAEsNDiPPNHcZT1EzMkVwermc678YmXYw,9
6YA1wcrnht3pEL4NkBLRzgSZndVYjUdiVVd2A7o2NwDZ,9
5Nr7sMud6y8F4rTR7Q8BUSUNoq9w2dcwNnxKuKyrV66J,9
2vW7o8cpWhV8pGCxfJtJncrdBXjaJHMivnoqXQHZ1xtg,9
Aacroe6pmVqJG24rTv7nJmCoRED8ATPmxbvVnsvYgs7,9
