owner,count
S9BkgSBosJoq2h7eg2cgdHuKVDcfjBGrDfnSaeFAU97,244
C5haaqkGbsN3WF3AkXnwuZatF7ocwSedwCRZhvjwELPz,95
Hb3bYozFJt3pKEhXEED526fr7ZuhuSWqqL1XuCjfhFsL,84
8VPMvwj5wFUAqgyL7eG7uvAYc1fHxEo2HQq4FYwWF4oo,71
Ecg37N2jjaf1gm2fUPfTVLEPob5w9KnswJnkCkJS15eR,66
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,55
AEQ4qTvKkV8BKgpYv2pRhwHHHNbKP34isp3bHZGSXUAq,47
FafYAW5xRN4qyBKBhAJccyUwrQzjK9wmUEREjkzunEZJ,40
DK8ybVotu4XKJ9E71pJ5q4HvCPAU8FrhCsTB8UW2nX8m,38
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,38
DjWGAa9YC9MuFddPFTriRYZ3Es4WTrvb7NasEFGYHG2R,32
HbBizMCuF6jghJFfiJf9Ui5LideuJuJ5BMs6vvVezCZG,28
7zRxZbVHrK1jYLufqahQv1oNj3f5DAU4JMrNSqYgPPSo,24
CR7gVYbv7vgggsmM1iLoQZYfMiCEsgKcK6Me5ymXX8NC,24
GY9vWAoJiLPhBVYxY7qAYsjyzzCumHy8sQ3FeVAfDcaw,22
AC55CfA652vB2mg67qwdKyQbnD1shuBCrS8qbDjZmKwr,21
JB8s16FqZRK4RcG6M6BmZWfCuUmh3tpjxogzaXFKYpeJ,21
HMUvwyyvKTUEV2eGvrZaEpmLYck5yPRzSyK2RZBeaos5,20
95TMyXSh87rrgKYjiPhpgmfQj9D2NbNWLkBjwBDUkYTJ,20
AAfiu21bcJBtPuPLLRuehtrTZtJDaEkDzzduftvbrevZ,17
ExvrsxTuUadEMGmc3yXRaMLLJat758rvE8pC46B4mwWw,16
FL6HU7FWeYwGxJwTZbyH8tASzQCgWZ4m6Q91bcJbAfA,14
UuGEwN9aeh676ufphbavfssWVxH7BJCqacq1RYhco8e,13
Aci6FAogYQt6cueGNmee2Fu2Xk9Q97yd25FavzwPt9Ge,13
4F8g6pCBAo3KWEBai8EZbrQ8bVcYG3kxRrAGsDCTDWFL,12
