owner,nftmint
FtHAWkET2L7mRRd6nFHZuMP5g4iFbHqmgLvG1ExFqEaU,Gz3HNv9mtzLhaCWtGC3uWQKx7QgaJsHBdkhcWaEodZgg
GW82RQBszpdrvRTuF3fHkBr7ncuoY9Jc5q8w8sGoaAUu,GSSWJq95J1ZAhpVqfFoFACctWgoS6EHMcycRbsn1MQdS
9aNssUbCD2sjAP6vWQdSQkKmSLNN7YGT5i7xts4H7x9X,G3sHZzq1B87tNpg6faCBX3jmau6iSYFHxFpFLK9ZGdSX
3owofypoRXRdo5uYKoNVQFHbfEZt8axAEwXcAZuZWXWt,FTDWLc5M8ZeERnFfW8PkKygs9od9QurU5bXMj3f9UBze
5ja4v63nunTRajS3J9bFun3Xc416QwGJADZuLmvJpw1v,DFdXqmRr45ipqFL4mJWsTNYbpngkQqJYF3THQtU7P28o
BBMRzqrFS3FQ7CDYesyjdKQV7mTLiBZwWJuj4wy3P68o,CzaBY1Wvhjnfeq3tNGTBzw6bEjFcdNFsaVpmC2XBLFZ3
AZhuTpkEPbtT4twi12Byxh9m9Tup6NZEwZudSAd9C2vb,CRQCPYhS2L7ugYhxCAVjAngZgcxKAF16GPTB3cgupB73
7tkDdh1wqxqxbmdPZzX9UziewbVhe4Zyw1mSqCZLCJpP,CAqTXb96tN9ng4jscNncURLkiz6KPUxXpSv6RWTFyQqB
9xSEmHdFQySyrQeVa2ro9stnC3fFYxzfvYPnYRshE5EW,BrCSiuuuyVxjFK9xWTfDRNmfAxji94qL1s1Qez9BY8js
FQaoWjaesdN45v3HrnFrxJpNLfkMeW4UQFe9P3Ccvt3V,B2CE5qFMKzWrAbTypej5GzSVeMe1nP9DSF3vSgJEnx37
4KTouMA2QcxfTaLn4FGqUQuAfb4CrEKLsuPpE4J7Poqx,AR4zVu1sZ1utpGrK7wrygF3yKb7dmvQvwHEh9EYZxeDH
2w9VC7oFwWtkQpHGBfhQRLeXuxed5gYhmw4uHH9SZCA8,9iJstcFg7Vw9Fuv6uvxjCFhvK8pHaAMidTMRBL8LC8vn
6e1mLQiuRgmNopWDcKZxaqRG25pP1ZWHe9sN9t3V5m8Q,8LhfT8cQXSPYbhQdxhJt27czTf3FwcnAnJrzHwzmzJ8t
AzLBCrn52Hx8QdYrDPDFJiKpW4N1zYmveh79RgwLX8Fd,8GmQn4Cbm7NVmkAMQPDGCEBJLZxXRxABTC5o62Y4eNzo
QodoMxMmNAZmuLCFaSFiYjYzc926J4HXAQ9fMRMGwHZ,7P9o1mbDZwdrmF3yvBVWg83dtVittfPCnaP3SNQ3L8Mq
BJJU6LRzURQJfjRSCY84L5CE12BiagpGoFZFQCdv1Ch2,6ttqasapNGkUD6m5BVMKjHGcCrfgndsPAJh9ptCY8wfV
3aPie3MhGHwmdgyPxds3jJUaqkiCpNinnD77w7suMpBE,6Qa9EzN7hTV2BVTEp3GeYpd4ra6VziRiVKQLBWrpeSv3
8nndn7CMwo2XxiYuYLhYFxiXfc1eWvcqL5WDtdfX5Bvn,5sksqTwxbKe4Cvo3NYh37kv7eoFxsFAs7YUrbuHk6bfr
E1Mz4HdS4R34iWXdyyS1yjZYJrbbmy5tT3PCn1tdJ6XC,4sCyztPkB841NXJMp8zeXcrxc1KLpFaLHjGNMz5zfQjR
FQmxqQcqDwujeUCWyPncyjf3zDKJwBJg5tn74CzTTDP8,4Cj8mwuZPFqCF2NJYiK5yEREoqWiG9cf9aovDQuGogEB
9XNM15JpPsrWEJY5khpkZVPpm5efV8xwP5dKJK1Kizng,2jadP9YzfWGVkmvbdtN4prXxbZjvdyKA2WSDcXiqcxQA
2bT7T7RNje8xCdmZ8uTpv1v9hQLtXF4TkfGjvtE2xfze,2gDNyXNoXRuXzuAZQtU4vv1Uz72e4zGUj5Z6NNF31kQX
GQyEcstnNmtRQBX4CBFi39NC4apY9QWCQddN9GUPEQt9,13965MWEiP8zoXfUzH48E9irEbUYrzBfMdMcqRA2sgwn
