owner,count
FtHAWkET2L7mRRd6nFHZuMP5g4iFbHqmgLvG1ExFqEaU,1
GW82RQBszpdrvRTuF3fHkBr7ncuoY9Jc5q8w8sGoaAUu,1
9aNssUbCD2sjAP6vWQdSQkKmSLNN7YGT5i7xts4H7x9X,1
3owofypoRXRdo5uYKoNVQFHbfEZt8axAEwXcAZuZWXWt,1
5ja4v63nunTRajS3J9bFun3Xc416QwGJADZuLmvJpw1v,1
BBMRzqrFS3FQ7CDYesyjdKQV7mTLiBZwWJuj4wy3P68o,1
AZhuTpkEPbtT4twi12Byxh9m9Tup6NZEwZudSAd9C2vb,1
7tkDdh1wqxqxbmdPZzX9UziewbVhe4Zyw1mSqCZLCJpP,1
9xSEmHdFQySyrQeVa2ro9stnC3fFYxzfvYPnYRshE5EW,1
FQaoWjaesdN45v3HrnFrxJpNLfkMeW4UQFe9P3Ccvt3V,1
4KTouMA2QcxfTaLn4FGqUQuAfb4CrEKLsuPpE4J7Poqx,1
2w9VC7oFwWtkQpHGBfhQRLeXuxed5gYhmw4uHH9SZCA8,1
6e1mLQiuRgmNopWDcKZxaqRG25pP1ZWHe9sN9t3V5m8Q,1
AzLBCrn52Hx8QdYrDPDFJiKpW4N1zYmveh79RgwLX8Fd,1
QodoMxMmNAZmuLCFaSFiYjYzc926J4HXAQ9fMRMGwHZ,1
BJJU6LRzURQJfjRSCY84L5CE12BiagpGoFZFQCdv1Ch2,1
3aPie3MhGHwmdgyPxds3jJUaqkiCpNinnD77w7suMpBE,1
8nndn7CMwo2XxiYuYLhYFxiXfc1eWvcqL5WDtdfX5Bvn,1
E1Mz4HdS4R34iWXdyyS1yjZYJrbbmy5tT3PCn1tdJ6XC,1
FQmxqQcqDwujeUCWyPncyjf3zDKJwBJg5tn74CzTTDP8,1
9XNM15JpPsrWEJY5khpkZVPpm5efV8xwP5dKJK1Kizng,1
2bT7T7RNje8xCdmZ8uTpv1v9hQLtXF4TkfGjvtE2xfze,1
GQyEcstnNmtRQBX4CBFi39NC4apY9QWCQddN9GUPEQt9,1
