owner,nftmint
AcQrg4QS4MhD3HnRvoa2c8P8fyopxnLkaHGsFENfB4Kp,J5V6Ak5nv7ioPHkCjoE9G3gfoGtezxTNWLT3xmPjkTCp
BSg3MB2xoVJRPoCMF5owVDLiKLFW7ErHmkFu8Lb7uEsj,HyQ2ffD77hLdZ5v839V8eWBAKRw7vo3teAxpxDD9csoe
78Tzd7WMeKrJSxV47TB5QxuChhG4jfo1VUc4cz76WuCp,Hph1KdNQ4AuqtWjWecwcQjhccD4c5RGFufJCiApiJ9dX
DgSTofKopjUzF9FDQq8a98FL18oyNjJonVTa2YZnBkxS,HmG8rpgnqaVFLLTSuiQQtG3xUG25pvZvRGdPH5R3k5xq
pMkBVsj1RLiZXFXmCin2vfMwsjbzkkTxVRLgnHdCDQA,HfkkpjQNpUtZcgFUeZBuyMRYR5FYdrgnFFrFz8oMgtUt
5UXYnK5XsrSVBYus55KG69ViNvna3YLW9DNqxUKfjVMT,He3Az2M57ydTP7Qe4QteD4evegJiDvUSPH3ixNaQ9nCE
3cnoodPwEhQUjriZcThZDN47R1bAEBEwk8y3Nuyzrm7o,Hcyjczrxg86Q5bY8s7NLNy9JbWnL3PEcNhttNohjXrf8
D7BbbrGvxqaURx6Kj1ZN4v8Vin2HPX1DtpXVuq6C7ce6,HYa7qCFYxZvYCfxaLxa7w6UHTKtMHYGaVt6JTU4HWAjM
8nndn7CMwo2XxiYuYLhYFxiXfc1eWvcqL5WDtdfX5Bvn,HX9Q1V5W4HUNs5jceKi9ENs2B286S3R1MHBGbzshNpkw
8XdJbCi1gVfD93oUPJxN8AypDnKJezZZfQG9HAZDE7Pv,HQ1P5bbSGv7vMz4uPFsi1i7kso77RTnCyATQEAaJQwy5
2Pi22LG2iqAD48hkmjSqSjktewHTsYDbC2DhcryRGrCs,HPoWtm1MQDuGkUDgmWr6rZzzDFDL5bdFFEAmpaMyibkM
DmX1JB7BrTmWgTFPR5fLw6U2kkEFi1CbTYx5iPxnGHR,HFWaZFy53qHqrHpPMpT1vBJLkk7LPZKWuyYxMqHgiJq5
2UoF9JPnWZNpM19EyKZx9qRzFCs5oDpdJk5oMBU5TPPr,H8BY9q8HL3dxUF7jW8kE6jX2ZybiR8cRkJHe79Kd238v
AvCj9G24Z7agv67u4GeAyw2srhHC71JXqAvZBZkbSjx7,GynaGwsBUwhTF3iuYBCkYFuWK7tXkPVEixR3Bb5M2sNc
DYMRqZAaStiGctFjBijrA6GKac6RNkDM7xPLtbq1nGzG,Gy9U5BfNKENzMgFDSveJp73REgo3kVNVM8Awh3B1s7p2
GF8pgN6zsRBnDcpMfvdSWqdsG354YMQDsR1ayVnXV4mQ,GxmgDZHA4DpReevCmpoQTmZPXFY3UPJLASbMZq7JMQTD
6u3Hs6okZ2i5tVRTkBEpEurVgsk3JG11oMVGLp62XoeJ,GvhPokZ4bxiabqA9s9393EbBaQEmCPmhpPs45a5uZD2a
73hQf1LAHZYFqu8Zia8H3Wnb5Sw7EN27A4cqDmkYphXN,GohKeA24wDcTf1djZjEed3qGLiV5AehPgwPiEbP2wjrS
3WunZ3pweR8NCqhum8h3aMTFwHNfTz3yhrrvEQoLM1Sk,GdwKXnukKJv1W16sW5sRquiU4bxBy2RPhSvEw4F2mxo4
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,GdesmeRC45HUV119zD3HhX8ssDhyb2KBLzzS3Zuvdyha
28A4xG85czjRCK2VCs7WTojeBuL8bqa9rtNy2fQsoSjx,GYkmuDaez11Ja5F3TqZwBg8z7kx245Z7XkptY1PB1SGQ
3g2TUkrZf86bfGQXcfJ7xMCFSmnssdpeTxe5V7y5GDpb,GTUbkzdZbTaHamRZKMgFgmFem8opmdu6Tc5jDAWXPTet
7eSvqcNvVkTJCJZn4Tf27D7NKj5a2En6tGY4HkiRHbxT,GRREeCEifH5kfFXVZJ6EfZEfRUj9x5PjXrwnk892prhB
