owner,count
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,9
3g2TUkrZf86bfGQXcfJ7xMCFSmnssdpeTxe5V7y5GDpb,7
BBMRzqrFS3FQ7CDYesyjdKQV7mTLiBZwWJuj4wy3P68o,5
6fvv4goMRQKJt5mobHwUeqw2heFtuB42U13SdNxg3FqL,4
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,3
GxCkro8rTUHWgwgFjduxMmMZq8HSnTDGPTbSC6BgX5rA,2
CpnNXbSs3NsMSiQymD37bqU71LKbik43Ui5GcL7UxVJ9,2
AcQrg4QS4MhD3HnRvoa2c8P8fyopxnLkaHGsFENfB4Kp,1
BSg3MB2xoVJRPoCMF5owVDLiKLFW7ErHmkFu8Lb7uEsj,1
78Tzd7WMeKrJSxV47TB5QxuChhG4jfo1VUc4cz76WuCp,1
DgSTofKopjUzF9FDQq8a98FL18oyNjJonVTa2YZnBkxS,1
pMkBVsj1RLiZXFXmCin2vfMwsjbzkkTxVRLgnHdCDQA,1
4Y16NnZdydd1FNuMBPyNTLPo89gUJPeEcGEcAgJRX7pa,1
3cnoodPwEhQUjriZcThZDN47R1bAEBEwk8y3Nuyzrm7o,1
D7BbbrGvxqaURx6Kj1ZN4v8Vin2HPX1DtpXVuq6C7ce6,1
8nndn7CMwo2XxiYuYLhYFxiXfc1eWvcqL5WDtdfX5Bvn,1
8XdJbCi1gVfD93oUPJxN8AypDnKJezZZfQG9HAZDE7Pv,1
6o9VcST56W8JT97p8mon1kxWyupj5wKadq1ZzbxDthwF,1
DmX1JB7BrTmWgTFPR5fLw6U2kkEFi1CbTYx5iPxnGHR,1
2UoF9JPnWZNpM19EyKZx9qRzFCs5oDpdJk5oMBU5TPPr,1
AvCj9G24Z7agv67u4GeAyw2srhHC71JXqAvZBZkbSjx7,1
DYMRqZAaStiGctFjBijrA6GKac6RNkDM7xPLtbq1nGzG,1
GF8pgN6zsRBnDcpMfvdSWqdsG354YMQDsR1ayVnXV4mQ,1
6u3Hs6okZ2i5tVRTkBEpEurVgsk3JG11oMVGLp62XoeJ,1
73hQf1LAHZYFqu8Zia8H3Wnb5Sw7EN27A4cqDmkYphXN,1
3WunZ3pweR8NCqhum8h3aMTFwHNfTz3yhrrvEQoLM1Sk,1
