owner,count
B2NiB14cQEThA8UG84B9sKb6LoFdRrTzLUt7NxmLjYzV,169
A7fCYoNu2jK4KMUtmP7j6skn6xgizJdYg9CAFFbZyugT,121
4Nt75eeeRbdYwKYU6cnZ4RxSEXGhrXT6kW2JaAbQ4WVG,104
FmXteYisUTSntCCjnivzAS7KdjFrtbAohz5qW3qShgkj,72
gc6TyRL12e33WWsUenPtcnZbK7gCvCUcsvttbenYagg,70
7G1k5Pa1L6F25eCyH3q4Q2MR2uvtjohxKtaNrGQn7Whm,64
6mEu6gZA1Jr7qbU6ZaM1q463MXLWz8jBBvCfvbKqj74s,60
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,60
GRowGA1cq9abztLhXJykXoD7sAnxUARQap2sRX2CZgpv,60
EqUyahJEu7jNAnRdZLRhkzwMjFU8f5w4ZSShpBimcE9k,53
Ceziid5Z1wsk8ZXkcgu6hYa9sKpYrvTydrVrHBakaQtd,50
BFsPvyYBZjD3JRvG5RQMn6TSwLBrmywyKxsX7huwyvcw,50
BS175uA81TNooVZHMSeVswr9cgtJThkubX9BSkoUgcEx,44
DiqTjtT9ujGfnBU8wR4gTJ96a1eVHPGdFGN6CS73Mt6m,44
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,42
EaFLjditD7WmUFEfnkcB778xTgpTemh5852Dwfi4fej9,40
3ya7XpC1GrLgN1tuuEdQegkY9CxTwvrPgS2TkMFmpEep,40
Gm3cQkLjD51KmTNswNv9xyVUTkDz4W7zpbYQE1AKQvkT,40
ES5hhbUeWgRMyQzuteVYo88Vf4m1H7mdDmAWVtKaZ4re,35
FxR1KHfFa5LrJ467HdziVRW2LUu6rrgHq78WMCZsF8dG,34
21LksnbXJDggGqf8H3EL22CHHuki4cgn85dH2AtD4qTG,34
8iHgcUik7YaUxpqtTjZjgJu4HvT7F28Ak5WuwUmBHSDR,31
CENHnzNMkbmi1d4nsV6zijWzGknbK9KTpTMzMYwBpXbY,30
CanwciJjkZcageaNULqmxtmbjZiMRN9NihrxyonykPeH,30
5M6GxTyxVeRBR2ngcW6kt41SuvJhFZ6LuYXdPyoDuA2g,29
7QVn639AYygGAm2wSg4raUQbw4hBYSkF7pevonR42iMn,28
5DtkQshLuX99aWYDyZ9whsMKvKAEvsrhFog4vosN1qtg,27
5MBQmxRiApmXowr6WbYHzTt4x44kWNYwxAAFgmNoDvb5,24
CJhp48LdxGeH9gassrZu8Wb2dExpSC1u68TgGvpqz25i,23
H6ZgczyAev9ix3gphHDSPWPRm4Tja1QMAbvRBMXQ18uo,23
BiVPSjtAmyvpKRQd3eXVZnB2aUMiwKjJw2b5meEncM25,21
314gMXzYy2AEHMwL2Xz5Cb27i6GEyrfHyCpUcitYJVGb,20
7ouPMArH5J6aQrNofodyeRDfTbtiyZuSijo668J35mgu,20
4JPmvqdRfYWW5foycgi8xyf4EtFsC5xyE9je3vjmCtZ8,20
6LMYmmkTTfkEvdTTQ2ncSuHvPi2akTYKz2XKEHd83FDr,20
Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf,19
BPWs8fxpvaNNknw2iyq6Fs2j233behhuzmrLL68ubqR9,17
