owner,nftmint
83VC6fgUyDRkR8Pt3Ft4kDFTjx6tgg8A3kZyn4LR99rH,JEGwDRLbjUEvP8jAhn7sa1bCSB3kxkvwG115GW36gXw6
9DFuwhh3LKYMSPD8SS2nfdohqnnr6A2s73w9WcGwgzbT,JEBmS5tzWbWG33tjkvrotcEufmdLy5tccgNx2QuVG7Gi
E89A7Y8LsGwNVKck11UJ8UKCph4iQj743nixTH5d1Vq4,JEACJ1B8e8bcvN5JG9t7jeUbDvkWeEhC61H2pwcjn2j1
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,JDw7r2WyiwnfEeF6qwuhL56j51h9p7CwKpMBxiAcbdrY
G7mV6nuU6mAUV1JpcGmaNEYVQNBLgsZKcenFsaM57n3i,JDqxeUwswD7gfcxzUXRHx84WmDsP2mDWZWpwgyCohC6e
AdM8oW2qETtgbFTFBvqdvgk7jhmh17x1MNooh1sa9H1X,JDqg1E5nEDziysYpt8ZG3yF2XKbSv6xFWpt53xSYG5yF
F53qs9KBcJCCbT1mnBrpTq8hpHnbprShN9Ztm9UygmEY,JDmRRyKamjyEYFnawJj8gFXqicjLtS8H6tMwVbTfh2mr
13djZKEP1f3Uw14EXGwYLD315kxRz1mr8EoqdRm6MksZ,JDipkwbbUXvU6j5ASGK1tZfFHDWvApqmVZyMrpBvB7Ed
98GvVrDa2JDLwVX1CQ6BisP9G7SszK72oA21fAcjvzFC,JDhwXiqukXbjDWbaLS2qk43xrGEpjPHEJKi7cLnaMjtH
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,JDJfc3QdiKxW5msE35bqAD4s8NMvGSRyeyMFsrVpCq1Y
3KGqA3pmfdWeNNYAhXRshuLdiNsKaVeGBVtem8HojBUe,JD8VhtDotC6PnsuzuZFFnGBtqbZsHtba6SEtRXkLpXoT
BMe4Aq2HyQSmRLEYJ6qrP4AC61CQQLqCmD4q4LtjaX2y,JD26tG3KFzoGL2qz31bGv2wk3mwk4HiM8CzW9QPyRofo
3ZhnSCFpPafkH1ehBZXgtTva65ynDdLXcsAb5EFLWe3F,JCyWtNFi346Zhz3Y2G32eDGsQzt3mz2Kn4tuFPYyHeQi
Guds9ge56ELgur7t54rbQcV1brRYT5khsB4HoxpTwsxg,JCy92FCQK1vB4eC6coHp7xPS2pubyhWUkyz2RVjAFzda
531u8Zjc5NVYEW9NQssmEMPAMY8ME2icoY2s8rhxAaDB,JCrGncdU1javqFJoXVM2qdpkK6nwX1J6k1K1UHKqe1Up
GdMZBAhi181dduNCPDqLb7GLcpyBqvKHPixRZiTj7iKW,JCoDq3kSGGaoRKdypHVSa1c2VfWN1oGiRXXqeoSSEpaY
E3H7jYBNKZmFqUmDbjnNyRiUtTNRfEf11JpPposJq2SP,JCn1PhPKaSmJas2FYmcmZX9ZzESfPpJ5pH6WPXMb8oVc
NootU4HA6fzDbU8XPTTBuPutgEvxpJhcc2kd8QN9akW,JCjHq8j7k2FBE3neAA6aHWpqsYkdwRXLkW2mFXp5rYtp
Erp7xyMgJAphfQ7hzC7JzjTn9vWNN58nbdVgYtczizUy,JCeJfqWWSTN7S8oDjZqk1zy32dX5KXhmUd4TSjhViT3v
