owner,count
pfp291TJxmHt6ZVV2P7DcbaDfdsUbVXiRjkWrZw3CsF,13266
2jdKPtxkyJXjNkFGHsFVQjLke86QzZLPe7CxohoBuyLZ,66
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,45
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,40
JEK6LJmvjsXyk5C526YixMJc97GPKZDaJaoCPo9wXrdf,27
7VG3wcyrYqnMSUtnqrm83qj41osVzhkFCyGocY26xwMw,26
DW5EyKB896vBmH2mQnDcadVvjhvmTNrSiXrUr9EM1pvt,21
CFzJ4MUMuvXdef7MDemHnmsvKR6aejARw65AP9Wp9Lxq,20
HmWeDt7pcmK3s5PUQqbtBWt7qhLbUjmMEbhteyfDzsfD,18
4wjNCr6NSKsob78RjFHMCitZ6WiYbWBDttyArQPogeSx,17
FQq8QzVtrQR7WqSTmDA1atJwbsQgmXpUaqX3cHVC3zaK,16
CFpdMJYsXkJGE4YcCS88dfRXsoFRctnQhSUC2tnqCtnM,14
FKgC4hhMReft6ociS9QRpYaBuu9Z3Ji3Xo8cmho7fNXE,14
8feL8r2Yw3AwB52QM8YwEdMDRPVtpKT59KE9msDd4KwX,13
Airw2oB6XtoqWEgJuiSBuF9MU2qBBgWQMjfHV5zGKGTN,13
AzSfcT5E4a5KKN43ugm9FttvGiCFs9wVsMTwLJBVZWSm,13
5ywQ77qPMFRkHrZd9oq2hxPGokmWP7CTyvyEustjUUhq,12
7yEoRB18R3eMNyLjenhcndUdSithVudRFLKLHaAY71th,12
MiANXs3QZ49STJta378awtcdmtXYnV3suNUXCPZurLd,12
B7PqKRi2JcSabxGoQxKKCAymc1igPFYT7AqnMrRFU8Pa,12
9nBpQGrACE1mBGnySbJ1s7VBNXtd2LqZ62k7LEWh4AGA,11
8hkyAbGmYCe8eNqgNXuLGFdYVP3VbTi8kVfTfeoAKrvN,11
4DA4nZq27ECLm5zC7kDCw7tURufYBzqdnnTbjQ8Fj1Hn,11
GM2nzRECWuYku5KDFFcNiG2RLcZLyXHAADKR9qxnop43,10
4VGf6iqMdLKeorgf36wEWUWzKtzcrc2tbhWrgZvgwZ2p,10
GGCRfsyaA2xif49REBvJQWJMyBvQWLT6xKHHQTv3zioM,9
4mXshdnWA3mzY1EKKczwgUNztFk767HEt3HTrd2EDzaZ,9
