owner,count
pfp291TJxmHt6ZVV2P7DcbaDfdsUbVXiRjkWrZw3CsF,4565
LUVPf57RvTd3h8ue1trYW6yUWxgFfbeAnecmE5ZfaWv,3858
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,65
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,47
2jdKPtxkyJXjNkFGHsFVQjLke86QzZLPe7CxohoBuyLZ,43
Airw2oB6XtoqWEgJuiSBuF9MU2qBBgWQMjfHV5zGKGTN,14
CFpdMJYsXkJGE4YcCS88dfRXsoFRctnQhSUC2tnqCtnM,14
4KgTHrtc1AopJ23Cs3dXmVj2ngFzewMGRuDxuyGhh1LF,12
JEK6LJmvjsXyk5C526YixMJc97GPKZDaJaoCPo9wXrdf,12
Eq76oqw2ihTA32dFU5NinHMUWHdAYwd2UXpuSVpJKddJ,12
7fhyG79EkqG4ar5BxT8BS3c4fydTRDZ8dFxNQYhsiuMJ,9
8feL8r2Yw3AwB52QM8YwEdMDRPVtpKT59KE9msDd4KwX,8
Av6RMnMxYjiyQei7TXhfwLLY9HhkxYdQYycxU5gztxKb,8
7yEoRB18R3eMNyLjenhcndUdSithVudRFLKLHaAY71th,8
DW5EyKB896vBmH2mQnDcadVvjhvmTNrSiXrUr9EM1pvt,8
4XPzVtY22jQ9xpQWKhXs1oo87pGnjEeG4a8oEisQP9Tk,8
4mXshdnWA3mzY1EKKczwgUNztFk767HEt3HTrd2EDzaZ,8
B7PqKRi2JcSabxGoQxKKCAymc1igPFYT7AqnMrRFU8Pa,8
5bwAmmnzyQhPcfn2iQwSvZcRJ46rdSyih8TsMLfqjuGm,8
GaYaQ5YymxFBtiQpGF2NYXWVQYFMjcER9zijRDHJJocc,8
9ZHXX6ybWj5Z1XmtkFVaQjzvUtGbsXFHjqnxiDAiqBgH,7
FQq8QzVtrQR7WqSTmDA1atJwbsQgmXpUaqX3cHVC3zaK,7
Epfcfe9iaDeLuKeqWrJQr76tcXxV9dR24xpSQFHUriWu,6
FZgbPq8mt5Y7QmuAjx1XEQdXqau7fK2bCbkinDgsRetX,6
9yLXKKfEGiTEcLsqRqKriC2eaEMRsDoy4CY3sFErpbR,6
FUYz9DSwA2euprXVwHHNgTMzni6E3YSVAuUrf5ZGHDsy,6
DD5h69WvjT9kG1dS8qLdWn7cAAgLxBG2ZygNidsPXeyJ,6
4JyG8UXc2GbQkapVDsJEgzCmA9sdw9Q5XLoms4x9i3EM,6
BpRqdwWt5nUnc78UZfJdWn21hAQ5SNyL7qg6x3WBSpaG,6
Ap3PQr7a3JD7AsaSyhucSQ6kWiR2gmkanrU3P9C8kqYh,6
MqX2G2ifPeKMsGPTPJsnr8dyAb39eC8WcAkYdRSUQMs,6
GhoydCYQs5H8FznoXVukKC8K8A66aSXhn1WCWtBkRLGY,5
4wjNCr6NSKsob78RjFHMCitZ6WiYbWBDttyArQPogeSx,5
4pEQStEdjGEyMbfMSgMWaaDi9r7LZfKzaHerMVhyFLYz,5
DJaSoHzqFrQASjdHjfV7c79hU19GyL7bPAN59vU4gTBz,5
8P7fhS4E59S5nLyVbbTzxpgGeYFP9ftZK35oTvjqojCQ,5
6KGmMM12cTNPkmk7mWPu5tzATxWT9zfethHzgtojghDD,4
CFzJ4MUMuvXdef7MDemHnmsvKR6aejARw65AP9Wp9Lxq,4
FpFd3d4cyzythvbjFnG9Lvri2jSLSmPhF4Hw5qFAb1zm,4
GX5RwoNCqaZY48qhCdYWJP9c2i2jouT24yw1dDtqZFmn,4
2eEXNeCGxnZKehFCmqtjCvRnYA2AJBh1vs3GXQ3UGG4Q,4
ANh5nARyGXzCW1eagyDe3rqxWU7UF5RsExH1nXYzcFAK,4
8hkyAbGmYCe8eNqgNXuLGFdYVP3VbTi8kVfTfeoAKrvN,4
4DA4nZq27ECLm5zC7kDCw7tURufYBzqdnnTbjQ8Fj1Hn,4
9QQXGnmsGN8PEpPwHNcUUBoHrqvK9QJjebznAqrha7C9,4
4odoLLmZ459xLXmVsCtk5cUdmcdvXeULyXtZWLEKREcq,4
AzZasLDboWKFj3n4zKq7LY5MCYnUipwZxXg5gpAmbi8E,4
7DbFdDuivtFKfCCoRGA5VocaoFw8X3PAQsXGkS6ePhWA,4
7bMvMMjJj13trGbhLuB1y36viUCRqfechUQKpUxGfznT,4
8uh8ngG8uXCFWfWW2smK8NZapd4Z3ENUakYVhJQWHkqz,4
5PC3kxh7cjonBZV38EmKjCDAWGYJrkCYtUiPUCtuMbvv,4
CoAu4XyR76gtMuNwbQAQh2Yqw7wuT3kM1gM3xLGzGt5m,4
J7aJcdvrsfjkHRU1Mv6AVJjDTuySGkE6sThstowD3ZSk,4
7u4efSW9afHmU4BVw3XAWeeCF1EQ9uqpm7wEahSkP6hU,3
CKMDD7Xp4pBztCG5G2utc3kXvFqPJ17HMDPUwhLiHzhM,3
ELQ8g3nR3d3a7n6qB81hVWtpmi9kieNnewLUEgZHYfwb,3
2jxSZdKzkEwmi2PeeuUv42KGgCTh13xCiVY5sMGC73Gs,3
4mEYrNREBxDWynMnTULsXWjrFCsXeFtaajjhAQkY5Z29,3
EqeCSZStW6CGT9H1muuB7fu37ezEKJGcEK1yFrpvJhYz,3
ApZt1vp3i6v8VDLc9WuDturN4njaBB3TR1bibregGCje,3
HnsumgtfN2ce1oJMjZWKqSQgHzazfNjMA6SzJtyHaZhF,3
C2CKHgVBPyA3n3HzHMLRCxakxEUMAzrWyLHAU9o1WgyY,3
BffyRDYCb3GyQbk5FwS9eGojLybxdDhon6h5KHtPgLfu,3
53sqp9SiDpqAvxcGhoYh7QRpjy2BhgSYkCYtsCEmbYa2,3
AzSfcT5E4a5KKN43ugm9FttvGiCFs9wVsMTwLJBVZWSm,3
MiANXs3QZ49STJta378awtcdmtXYnV3suNUXCPZurLd,3
F4bXfhBcyuNi15WdJ3nvBzEprry56MUrjQVniaJc7uZj,3
E8LFrKcqdUEJtTyPnRK6aqLvcueke8KhDCXWfR4WMwQY,3
2tqTxyQWbFLGyHQC7Eubppeuqr6cyDkVGtutuYCU2Je7,3
5ywQ77qPMFRkHrZd9oq2hxPGokmWP7CTyvyEustjUUhq,3
9KNvM9fXs9msGDqxVhftWvwakB3n1p5bXjGzz2fufjYf,3
HmWeDt7pcmK3s5PUQqbtBWt7qhLbUjmMEbhteyfDzsfD,3
Bp15ccVWrWR5HLD9bARaPZxtbUTEhLTiWb3xWcrUpQf4,3
9nBpQGrACE1mBGnySbJ1s7VBNXtd2LqZ62k7LEWh4AGA,3
5QZTWPkci7HSEuDUDsJLu5BJ4Vi7FMv5ikPwwvBGJ1JK,3
8zuvmNkM2VwfdQPZ5jZaaPRurNJFGP2zcWhNn3rgVGW,3
D2ZXjNNXv9x46pXSK8Ux333GRrWzCMihAmtJfVuRtnEz,2
4CTxku7r7a3Zxp7Qm9Cksr2zkYQo5iKHRJgoa16KvhZu,2
9h3ZuQB1yXmvJZuGUqqNTb8T4KaALyFDQkPHDQPxJdkC,2
EaAhmgsuE6akbGcZKhVwpyvUcCY1f4YQ5FuHGNYNDzyK,2
UJhD18QF83J4Py2529Qh1DQ5FyBeQYsDSzwe99Rq1ub,2
756Ln6GEpgoJGzNniSLCgEwBEDj1XzVLuPy2FUiuX994,2
74HpHcES3jCytCdgxjahgK7ejhaeCLNSp6QRvNVhLUhg,2
2qjTcvCwrq4dKJFMtAMELgt9FZG7zBdMCG36dYGoYCnQ,2
7ERTCLRLTQXSBtGaba6nvBStkvCoNVs9AC4JhAm5Eb9K,2
91wiGXQd8sSrATE2S3bYrXcwJNLoT66jnZMkykgoESAp,2
EgoTD3MuzTEcbMtXSQXGQ9yUqx4Vw5LwVhfrWQPbMTwG,2
C3SKL7uieShpjopSVwJLKJ3PJKh5AZP8ZBPUdXnXHDMq,2
5ZBPp45dtGosgtXHnyGDJwpRRJcAqs9uZyxmYYQNrkQM,2
CQF6e2R156EoNRoHMQ216YrhqCe2ojhYPdsuBpgkgi6T,2
25Moj8W9j1B6XXhbK9w3R2zKsBM7TaQ2VW45xmbRaHk1,2
3dqAicrinYvkmwpcZ33GtQssMv3M11qZ5wXvvToTfwkk,2
8ANP3oBsbF4c4iFv31pX6Qqhk52QphmBZg6GMhKC3v4W,2
HrgnSm9PpzFLrYeuyYeaJnifG4ameH6atymX9xQkdNc7,2
AZs5EwmBHzBTfjvz2XM1F8DdqnGvGNGNXVeJSyoEjigT,2
CCEWmaqViEBzcNYHH3Caqnwva5uq5GRcncxvAoAyH2sD,2
4VGf6iqMdLKeorgf36wEWUWzKtzcrc2tbhWrgZvgwZ2p,2
HSqMUDGdhr5JdgVPN2PSwow3est9ZeJH2joJRYsFvm7v,2
CbrCChMBR1wNeURaEghMiyK93cFizaoRaAMubNnNhJQP,2
HavwB5qjCFZYzvxjX5wfa5hMNNUNpGoz7h5LrZP82gCw,2
AniEoXj5Bd44Ee7VSTifFNANYLFaRnMY6WbsQ3F8d9wu,2
3dce4krt3aAUTk2vxMgYJNn7eqPJZeQPpRARUFviW4t5,2
79yiyZvaXkXbhoqbPGYgKx9eYik8RhTnKYmLMbG9QSLb,2
cyyhZv5Xdiv6JeAKEpm7e57Jazt1YPrEVxmigZKoDzY,2
3pZQXuyRzV8353HK7LMdBVRyDD4oWH1END3VL5kVi61Y,2
Fz7ws76pVcBRt8rtH7QtUHHkPhLhhcDpyxvgMrtVfVNY,2
7gCNis3WtZytmint961x5zVAJGCmCHhsCY52rpJvnTLv,2
EyxcWV8uy8yPJ2CE1hTDMBucPFTRT9Dv7Y4wL5uP8hgs,2
4UGNYPUbY3F7puTbjn6ZRF6L1zQFmtu5Aqd4WrDpxHEJ,2
7difpBsPRjAtBJgURz59VGBsQrSGoUo6Q5akUW3tjyjV,2
H6cWzLnnFw3MAKRWpRhBL3Hom44gZqtmnVpuj1vYWZM9,2
61bCLCxxKpCAdvD8bEZsTTN5gA19DYKUFaPSFY5jxxKR,2
D7SQCJWNttzF2v2qQWHYcW41x1dJdz5gWDxg5y98MfMi,2
2qjCZw816Fy9ddEvu3hFLiPE7Zekn1QoCgE7RxGLV5jq,2
DiHkZ3QB4qom6i4ibTKV8P636RzuVZSSwiVELQbaz4rU,2
56jqPAhdQLMpkv6vfGpvvDRpgwLiKonFG9W1FLAMc5Yo,2
GKEUegWLAFhqa6GHk96592kh4ijqUKxSYEurbWNgwnBv,2
DbYP1EvF6Lk1KZa8t6MzFsoew41wMyXm2DSiJG12x5SZ,2
29NmWescLo1y2R3pkUJxckLjhKLv5TTBDoLDLJiKkDhe,2
5GunJQ2yJgXJCB2RHC3CbG5PDinrMkQaR4jfErCiYCGA,2
7f3HGtfooraohFDCAeE7XHU12A49BvtPKzNABzCytsbS,2
6CEf2evcRPrGsePcgdazjxCAb16a7vSV3vg6KwKvpcjv,2
9LiSbfR3vyvtPdSufck7pz1zvPveAcXQQBrUov4aov5B,2
B7WWKtKVvH1kK36tkQBExLgofb3KyruDo8uJaXhLEioS,2
7zm2bzshrryYsJUpawyBC4A2jfXLoB8PLCHXcJ6nWv6,2
J9vRt7GPgJjQVxroKzr1tPitN2JVsyhpuDjiAsdoFxsD,2
ibmocnjQJzykQWGLMdxsdjZj3rKb7PAbJ4RWYdr4rJj,2
BekStorSqvPjgT3WbJ1j8ZDTF6nNaTYBK3zoPo7ApL6w,2
CqA42zXaf5zXk7EW7jtCLfL2uH1efuB9GtTfjfJ2hzoq,2
CEDvpNooWCBSMEbcXWZFydimxjWx3961xTmwaizQ2dE9,2
7FsGJvkXXss4kFk3G2pKbrNRXsHMHCchbtXUjsyV8zqV,2
Hx5Xxo27qMyMtZqzFBsF5jZ39Cdqk3Dsv2WYmmoqaRnS,2
HADxeStX5pWiJqtXwRP1XvEwtok6V7c7teeLvdprpVLp,2
BZcpMxMCkEFby4kvq6t8zWnsJygCZf1cktbd4Jwy2yLc,2
YVEdAF53GAQgAqfUxkGxwbkS7b5hJZZrjvJnhP7S6p6,2
7APHBVrHRvGkaYDbwMTfLNhBs4vcp8k8Kap87HpGu1mM,2
CeN2G75zcRCsw8eQXkop6WuxfmdPhwV7kaRPTSiFrZy9,2
8ANczHtj4hWqxqg2XfXivegBeDjnABzzs4yYzRoUV6YL,2
De5D1JJ5B9Uu5uD86VNfDU6gCpvaidBEXdUFLHfSKCGC,2
6U9qLgH8bxway2Xt7iTG7NBNY3aUH2J9NWEEDfiSroy8,2
8SFXUzJrWY7GPGXt6VXCuRtmxHVzhEiWgzAuG1GR7aS3,2
DCW45QPQfsedXmgRybY3iMa8uNKmr1KPtgQU8f3CX8Eo,2
