owner,nftmint
pzPwCerpPTAGtosBg7stHF7Abpr8g1rLnG75B2mrWMp,JE4RzkbQTHJqvY99AtjMJMAT4QkJSvykoAucZFFova3z
DDDq5xtdrHQKJLvGrWd4BDECah8GNn6Mfboc56PFNsmo,JDbLyoqzJdagTNoKNmia54Mg8pc1YccegJrowPbgsxqW
AVR1sJnwVeG9hozBtJWVReik1WgjvdgoVwC5zuMU6TBD,JDaSeZoqf5PTfoyS4498GBtGKbyu2VxRK3C4KYUsBGFh
Fb1J5iKCN2eifVezRggKgdSYJUDShRjNPpnwoD3p8Na6,JD9t26WL4D5ypiYJQLPUx3C3zDW6QcMaenYNokXFMHA3
A8UMoJxNebzmYqB2zogctLubpuZMYV8iKFcZXDxcpAgy,JD6HtKTHPUDJQuMaYB3pKjJJs1SDYgkH1dUZfSnmEVe9
8gVZDkK9bSgaKDePeApjWMbBx3KZrdzWBFL2gWYLL8bx,JD4uv3zV7X1YiZvv7mji8zz2hame4gHweQoBiUrzGZ6P
4nvrn5TpNche7hbBBGXWFstiJCSMLXAqc5ykFAc2EGfy,JCkTg8QjKWYwszQ2Zfay9bh4j2xzUzjLS2f4pFP3ZurZ
C8pV4bRDq5s9Mxn46kS2BD2vncSUzK2LtCBMj4R3E2iJ,JCf792q8FBcdwqFgqAcQyWk4Q4QP3YbQiqWLtMLsgVuP
oJwC36fuah4UyQyvurc9r4yniGsPUGX8eDo9WphZAia,JCMHzzmhvXZP1SXNoczVt3RXc6YyAxixjxbXVJVsCmFR
8gVZDkK9bSgaKDePeApjWMbBx3KZrdzWBFL2gWYLL8bx,JCFRNp4K7T8isdXcR2485FDNkm1k8PgwKZYfSRrNkAXV
CXrTse8jQePvUF7m8Faf3hrbJ4PovHzaS2V9rvEiGvL8,JBzhNcM7e9vwvjYTum8AhijjcKdyERv1sLYxdCfM8nd9
7c2NM5pSkGMGbNqrmbd2gs4f7QGZXsXoZ7SQnRSTZEVs,JBuAnSDf6zMv4wryc3brGD9CJNZYymKvozL3EpwPgm9G
ARJhXg6ixvQrehBBkBSkZJDWZr3zwoKY37Vt6gDxegZK,JBj9MSzsom1yK7XtBf4PjD2EcSPt3BTbn3ez8hfKdY5K
2qPLVK7C4W4yy5EVAn9EU97q8DuMqQRkZqtMdGefiiLA,JBauB8NztdHX9TWiQQE6UzwiEFdaSsNz77k8cwSJdeCk
9NTNKWo34A9B3ubAmhJZYPhnvb71eh5d1xr7KVPFXzoK,JBUcPWZXm8gFKJ7GyxvKnGqL4zWTJQcCvhUMfihKPWUp
73UXSZNc5YGTqWKeDhaepZzb89zgSbQaWifgNrTLL4x4,JB9KZtLTUqUgNgvFdhUAFWNGCRKjKhdjyfHag1AjvEPy
AEJhrEEZ98MnxN62WTKZW2Kt2GLu8A4KmyXWqT9jCiSE,JAxsX7CW7QyTQP5ygEHESpnia9awNCcYvF5TJRMb3ci7
5cMuyzG6zRarvs57f3Ufe5Et5GtW32ysfP9Ua7jFDh3k,JAd3f2m7uFSm1d9VoJXy7BJr3frv4zcJMnHhFKZsXWqP
7gDYML4rGi4qnGJnSZmuFdLzYFteVRX1kQvd9AS1TFTM,JA7UzS6S2HMv9MHBEbCVm7N4h8DFC1dLpGiq38QadAuH
5xZ1tTz3RfDM2zQciVKs53UyojMuHKBd9GAAj93GBHxU,JA3uaa6b8C6RE2dy6fDEuVSqHE7xRuz3oUGrVS78pRWK
CXrTse8jQePvUF7m8Faf3hrbJ4PovHzaS2V9rvEiGvL8,J9tMBiRYXFgBgQF1Ki89wzQW9yTMW6XWu3UYdvZmwdra
FjM5WPogS62YJG3cPH7KarhdKS7hB4DZ1iePYM1Eiexc,J9obVShDbv16uoUkz9PGvqiPGK7XtTWEtckd1rc5PHPn
pzPwCerpPTAGtosBg7stHF7Abpr8g1rLnG75B2mrWMp,J9epdqrxVQFDCnmVeBc9Dir6bREKx4wobXpYksGTJyUd
9TrN5mF37Bu5x9F5o8EEcymwsP5zCzbbXi6GBwGuFMFC,J8hjc8WM2341e6U18dvEeKPPkthuvdh1fJQUGXeUfo98
pzPwCerpPTAGtosBg7stHF7Abpr8g1rLnG75B2mrWMp,J8QfYGmFdmpPXcdC4bm4MiqXvNe9ux6hgGHA7qDeavdM
6NXDSJmiacyhEzpD7m4EvZP32XoqBDPTmrBGGEzRtBFM,J8Cu13t1hyAPZb6PeuFE6uJeFRJwzBrw52dM7VuhU1SR
8gVZDkK9bSgaKDePeApjWMbBx3KZrdzWBFL2gWYLL8bx,J774VN6uLytZTNNJcyfn3QyvYzqdNBkAH6E5tLkUzMpH
HNaFr2zCWXYzstmcNLFJgWqun2KLnryhaVuP9tzwwxbF,J72JGvZP6C6RjAXpuwRu2ydkvdbKUszbzug6MQC3YEmu
HNaFr2zCWXYzstmcNLFJgWqun2KLnryhaVuP9tzwwxbF,J6WetxuJExbP5RHmYurswWnwatMhxQKNbvefzpn4wE4c
CWMjFR2AXC3ie5uif4CoeNdaAEHxERZpFmJH7rV77LRN,J5jWiYAN4xYu2M8xdexhqPaR8zjaP8r71cd78cPQ7zdT
9TrN5mF37Bu5x9F5o8EEcymwsP5zCzbbXi6GBwGuFMFC,J5Ue3bbuBxKSXGFg3NE6jW9bZz2ndMPNKoLqKhfS16QD
DDDq5xtdrHQKJLvGrWd4BDECah8GNn6Mfboc56PFNsmo,J5PVzdpamrU3Kw5m3KACYK24WCeaksWdvFKCdZwLLpdf
Fb1J5iKCN2eifVezRggKgdSYJUDShRjNPpnwoD3p8Na6,J5A86aszQeP3GqZw7LeuMnzF1es5MBfgWg5fZKCcM8uu
A3dBJ4CsTbrHZCStBzTBzomPLMtCGKv8iNgkTY1VxgtV,J4WPauVzMv7BAKhdJgb69E4zNL5rxaiZFVmTLCr3XTcd
oJwC36fuah4UyQyvurc9r4yniGsPUGX8eDo9WphZAia,J49bJ5fPb7sqswrHgyj98UnsQ9SVw3SXFY2RWKvbvNiU
B1zAiuxNrv8RTc7dDBoAihXEsu59R7KNywkRkw27J53x,J3z2bHeXYST1Z7f4nhzmmuQF124mehb2SxBzwgvUxAxS
4nvrn5TpNche7hbBBGXWFstiJCSMLXAqc5ykFAc2EGfy,J3cCShnzHydqq124DHcdUX9Gpk88dd6h9dho8fyVGz7n
GSG3dvwLEYceoCLJvGd4yEtTikuXkW6mJBYcEayusj17,J3PibhF1F8wR9gyoCQjKkwdNFoPEMm3DyHYMBSgiTDP7
3uiU7Hqgyuc5Mx8gNjffbk4D5tuyBHLQ1xkatmAMkffT,J3HthjT3e9NxmrC2iSFpEiW6HYNzwT6XiZ2AMyJB1pK1
8gVZDkK9bSgaKDePeApjWMbBx3KZrdzWBFL2gWYLL8bx,J3AxBMHxnhyc66YfV6pXZGbvRBNL6uSWY6qcLyFC67yJ
7c2NM5pSkGMGbNqrmbd2gs4f7QGZXsXoZ7SQnRSTZEVs,J2th1vUFSQyUGDMtvtUxMsy7JxeCivtBYJMBjygvEHKd
pzPwCerpPTAGtosBg7stHF7Abpr8g1rLnG75B2mrWMp,J2ddMXzzdGZ66KQNMPvKrLHz1PZ4VYupAL7maHBrjdyz
8gVZDkK9bSgaKDePeApjWMbBx3KZrdzWBFL2gWYLL8bx,J2bbnP1m8LnMofkipcKUhufUK2ZAgoH5jwmeQSd4kdvz
ARJhXg6ixvQrehBBkBSkZJDWZr3zwoKY37Vt6gDxegZK,J2DHudBZYoTvoYiXWYgNy8K1H2Sw6crDrmtBVakJfesP
DXPwA2MWCxxpWqLYmB6F1CtAKhuDyXxLhqYjcuwvNmwo,J1pXprovCzBK1zhkvDutVK6sETAFrfkxJEcm9t2cyAta
9TrN5mF37Bu5x9F5o8EEcymwsP5zCzbbXi6GBwGuFMFC,J1WeD49q2f3EVBXyyEDRDwUjA4pML7WURSnJakxZ5pek
pzPwCerpPTAGtosBg7stHF7Abpr8g1rLnG75B2mrWMp,J1S37mu8cRJSLeuZXpALXb2Xifq4h3eBDu22A2ZhBqu6
541Bd3XKKWiG28XBXfx6U1CmkLHqkWwzUFLApKMg8WRq,J1MyEyBCyYnAYfP3BH9Ld2JXc3ZcS8REAepK4WKwXpeY
