owner,nftmint
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,radzQY3YSqzCHQGnYxvveVxF8vGm4sBBmWmq3sDBVhT
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,radxTPvonxUfCHduLvvmaT3QgfGReoGSAwcsMuqVgGF
B8pvhBcevfRZ7VqapvMWiGTmGASqYQh8E1G6hvUYXZfm,radtqSvpdZvHaE2UYe4sTSw4FHK3vfpxP7zqU6KwRZu
2XJhckqHhjMfrvTaF8BEQpjJDqKFFTYEb9hAexUoq7fg,raddictxGbxo8TScuciLsoKpeQ3YivaA2eJ9szcERu5
JCssGhJS8p438J4AiZGKaE1ARLaMbQD61dDquPUqoV2x,radd6vzuXTbYhDcZRZ27dVjzNYugKEPxSycEFhEfkZN
3U1kmVZknXX1Y6x6Yk4Mii3a5EL6iUbbw5x32M1z3P5q,radcF7oag9pXL5oW8bTj1HpMwH416r3KN7i2bRAQQZB
858QLP2c31yAZprh31gr4QZ44u18FjBvX3NAeCVYMUcV,radXuYEdfLA2bRPyLe2zDLVzAQMYMjR487FwXoGmVzX
dpGCPHYJrZTDcaQzPhzF5G1u5opMEEcEFzF8CWeVTts,radW8hSEknQ7i6pqDbifqCCsLUvmdqtwgq4V86sQADx
85cJiH5AFSper6vMHjA1Wi2NeMYAbqr975ewA1AMauPp,radT4rLs4p17ZdTebeCmTU2NzKTJfTKhrZ8GVGZUUmF
62E8S6fHJACx6jDdMGyBhcXJ15go94D6mqFcsPmgEL7K,radNixdyJCiVc91xxdqvs9nA4ozJQQJkYjkvc686gY6
Gkb8wxgqhixY3K8NNrM5KZuSY5yFftud8Jp2D5KMXLPQ,radNS6bJAkGw5UyopgbuBo64hwueoSEXMQNgmupuY5j
579GxXmgjsVkH1ggZVET6xZ2anp8cWqta8WacKtSBkfW,radMaZMMtvQzBcowh5839zKr7fPidj91WALLZowM5Y9
Ek5LK2L9XRtpcLcrLEjLkrgGRJW6ZeWw8dgFtrXJfo4b,rad8BjWpFwLnt6616hPyci9ptv1r9REQfSDirT33nJ8
r3BVLG9ga1jBZT93jxtmUJGdAnuQxhuS5iL6u9Lhbc8,rad1pVe6KqsJUECVxR5j9GnFCYDdRm52eJYr3ku1AZu
