owner,count
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,1
8HaDdryKuinw2zm4Q3gqLcexAVxQMT88tkaLQ9XgMcLC,1
Hew6XJcEjQAx2Pi4GWogr68dmbST24g9xtumKBqvhkdL,1
9JK5nBixyGTtN9AButw3ujEXV1VA1nLZB9MjDMgT9um7,1
B8pvhBcevfRZ7VqapvMWiGTmGASqYQh8E1G6hvUYXZfm,1
D3MXkHJGJGWMDTwxsEjwEzygr7FYjikMUzWQFcewdDpm,1
7nsZbNScu5UVs1RXC93vDKqum6KYR26hEZAQYrmGKufx,1
2XJhckqHhjMfrvTaF8BEQpjJDqKFFTYEb9hAexUoq7fg,1
JCssGhJS8p438J4AiZGKaE1ARLaMbQD61dDquPUqoV2x,1
3U1kmVZknXX1Y6x6Yk4Mii3a5EL6iUbbw5x32M1z3P5q,1
F8aCKSvdh9qixRdJBb6XpJRfnbfffdAfLZgtVBiQCrY9,1
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,1
dpGCPHYJrZTDcaQzPhzF5G1u5opMEEcEFzF8CWeVTts,1
85cJiH5AFSper6vMHjA1Wi2NeMYAbqr975ewA1AMauPp,1
62E8S6fHJACx6jDdMGyBhcXJ15go94D6mqFcsPmgEL7K,1
BgmwfFYwe6kboxk2oeqgpCxkaJ1w7NseGg2NMqQPk7sf,1
579GxXmgjsVkH1ggZVET6xZ2anp8cWqta8WacKtSBkfW,1
GGdsb5CPWJQrCD1JGCNUnqqXNz8GvPoDRyQZK7qFE6va,1
Ek5LK2L9XRtpcLcrLEjLkrgGRJW6ZeWw8dgFtrXJfo4b,1
34m5eszFNZVak37uEHTp1zyUZmYHL9HHkCW9AEagPTht,1
r3BVLG9ga1jBZT93jxtmUJGdAnuQxhuS5iL6u9Lhbc8,1
