owner,count
DmyY71Mq6idtE5KuFS2K9XKuesFt8oXxxuikS3RWnYCQ,35
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,17
CBJ6PvWxr63CBH2TJnKvDbEWKDKjT7ADCBvveaL5kdBr,16
GEkaHp7u873c1vNNUhdQsKrZBmtH84f9yu15ejg9nCs1,15
C3orXZAiCrc3ujCyBqQANPBd1o3wPtA3Y39hX1sN8qzH,12
5saaxf3GuQeTc23w8ee3fWVewHiLGysoURM5QFdDhZvD,11
6wPYbuGRXZjVw2tCeTxwRiQU7AzFDTeFEKuUFpJZpcix,11
GjzK8xua8sSizoAaAGWPvtwc8dAzAcEPZSEnhyZ2PrxR,11
96MHnsjeYdrLgJ9McEFhApsToWPkXM3YofekRpbmcr3b,10
2iVT6HPRieoMWED5WqYNMueSU5hSBUp7GRGzqX47NtUn,10
ppTeamTpw1cbC8ybJpppbnoL7xXD9froJNFb5uvoPvb,10
7ahEG3yJQfkLrnGKXTNWSHBcJNGFRmuUrQvrsL1GxxGR,10
9trHaN6pVZBZpwaaVm9h4xKs1uGFQjwgD2AAanvun7WZ,10
PrNTuQKjKMJ1WJruQdCYHxKfFiemABQHj6FEQEAWiyr,10
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,8
EV67SwXSFof6Cfy2qwWVbLU6FuEEF7YsZReiTw76otB,8
DHPaBne7nUzyvR3vviEg3yU3yLLmpi1zAYrnqHZK4MRM,8
3nYRtvUtYSEXYC5izTsNs6e4rSm8pkCYedGkQnmUMVcy,8
o219GXPBXA5PJad3TXDUvoHHZ2B9AqkmRWHSmR4htno,8
7Sa48FPpQCVNvRWUob9sqZCUf3stkytRcLHKsaYMBBR2,7
AT2vEb58m6wD8PpLCV8VUNTGsEZFEfdTVXYw7UhQNc9R,7
JBNx2qR6GcRzrCttXfSE3QiHbLW1DCe2Hk74teTdtZjn,6
N5QXCmRjQaBLR5RjMeTziSaH2ZR852tAzMSmVjptJ3M,5
F4HHHLkQXCQ1mNdZFYrqheAczYVBMun7iJySjLdWmutm,5
7w5if3nZneQqynCTRTPQPDsxdFsVuY2nquqgdm7g4sNi,5
M2i3KjUNg4t3583qDi5pYB2k7T1L63gyrpZsK292KGy,5
3YjtY26auybbKHEqJfajTY1edBtt3dCvRDeZqfDXvGyb,5
6jiuYygvWzpdZbCk5wR6tCkiW3QNwtjbYkZZqo3QNNf2,5
3KhoVLJXbcvEdSMYu7XihT4rajuRVa8euKeCRLfmh9WS,5
2FxCfVgUwrXLgijHp6iRJhwm7Br1v92MkmQFRSE1hEqs,5
EjJxmSmbBdYu8Qu2PcpK8UUnBAmFtGEJpWFPrQqHgUNC,5
BXeudFhQrKBvbu6U7D5vZghLn4E4hkW99fH2PDP5T4Vh,5
2Gf5TG8pWRcdugWnWSi62GnPUpg7AGKpgSUeZCWnw1VG,5
mSAueRtFUxTGqeGSQe8xxBA4uhij14iERZRhoUinu1M,4
AHHg1UN2WcNv9C8xttyQ2LrriDeo5eKsxqGs949P6Beq,4
BA79LNLDyrNHFCHfDwfuJ8oQoMNN8sNMku8xHgXB8uH4,4
3WBHtPvHU1fDSPKw36uKphhtYLayAs1AJa9ZwjMFTGTh,4
2ZQ81sKAS9iE4RiL5G2aLHqLrbRNezteH1mbSXs3jhss,4
2b3dU7YGh45AqZ5jt1oSqHqzkUCY81tCq4qY4PoKQ8ib,4
E4jpuwa7ppY2hmF2RWcfYrQ2FAXfLeVwPVGZZJVq9sk5,4
6RmiH4d18EChYUwskVhxdGzdDYRhWYsnNmqsx44yi9XG,4
HSx64TSSnGdVShwPxi9DAQ4dYUAUx9QWfnuNoW1bwJxw,4
GJF7MNCBdkWE35yKVkFp3fN5LkwHuEL3YjSU6u1RaMdr,4
AmoRXq81SmTSn1M2ZMSo6zuzCjrYAkCVimZWqXAgaLDt,3
EYoTFryqMpxuSQqWnaCKY5Yk7jw5FCmeQ1QnL6Lrk2sP,3
AaCrfSzPxuCxJgnXu2LqMYvTD1W4S1vD9XGAhAUpNEUZ,3
AkpxgXkuXvNQr3smdqCqcUdrujsEcvtJ6urZcBx71nQ7,3
