owner,count
G7NFSCNPcRMaHygSf3yEY4ZCHL5LU4cJ39vegxFjK1Ta,1
7NcowvAUJLcZ6KHSm82v6dMFz7pTNRvHvBh8CSjheaU5,1
GQbKQLrhWgFGGPffewHfMqKPhb2fT3EU4MMAGW9MYUdU,1
4Y3qZAT4bzhE3fesRmuBGu74VrJ8ozsEVYUGLedGf71J,1
2eQVQ9jiznckFAu6B4phT7B4CHZQcGFcV7nQef9Vtex8,1
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,1
GVtXY6wJZCr8PiLQfxdNhgTizddgg7qGKN3fY9Znr4ht,1
7UnF17izt2hcQLuBj7aZ25LFsvMwtd6ATPyLv4Wp3kX8,1
5NZU4fYr2LA9CB76tdbuq8PicugyJCDhaukv5FwF4CN6,1
8TG462zeqvJXWcoNUoFUtPHErwzqLKdcMqaRmewVFmkY,1
joes2y9dkZmSS7bRDqtz2r1msCjxJCgMo53i2KxDsQr,1
95rkTEktvxAvSCE45e2FZh8rFzuVSpoVmrsHyWZVRH2C,1
HMD5tLBNqgdk1oSJ15975Qtg3aszrfj7WvfHZP4Xqwks,1
BVEoLB2BoLPwroGYXf8jFgBYaVRh63SXgrc3qSsPh3V6,1
28LTwLrfk7bReC15C6pAabFsuyJTdwscagksdQxTjB8f,1
HDkTquhpQKriFTzp4aqXsSZRXridSasD9kAk1zvT5m9T,1
2zKCaUBtcbYvCR15ED9o34GjB3E73k2YDDTn4vk8byHW,1
2g4xW9e1WqJ2CWbBGsPEhiqnSJQCkZdkAQqKqtDzWpHW,1
EadLYwZ6hkKpMxp5Z5bwv4sBc4hLB3djg37q6Q9aDNip,1
6go1mVswEV2AsDQ63bijv1FMBWzZL8NG8hjgSZSabfg4,1
8U6gdWZgCw2Ad8Cb9BaawCYe3k3BJbBe5HJtJ3AHos2z,1
3zrzhHPjnxeXdcvHn56yzaaZeyZcoM9wmDN88Y7UpD7P,1
3sctzkxfASCKEVNWW83kwfD7fmHSoi6bGRxueQu2p7E2,1
BueDuDXyak8UM2M8F1Qj9aUt43QTtMGyNSYhUPFq89wr,1
AcBdkpab6wjib6RcAKSqtrsEaUmmUXPeaaFZ9UdnRKeS,1
42i4VhjfjDv1DYdSfGsZXW53eGqFhBdWU6Lg6FcoPNg8,1
7KjEh1MwvpRJEEiw2XKAWq1hAioWq3xTXYEYPakJhpcn,1
HLsGwUixGrtrRGX5jj1ZGjtLX3eWaXVrz73C9BN7Ftib,1
3FtzAFPR5PEfqmnqCqeTGvwy1EVEdh7aybsWnXkjngfJ,1
FhFWZ7hgfCUNR7jjr8964zT4LeV1GUkcAsgpsUTeuRAe,1
8EoV3QS9G6xxRm9B5ut6a1DcVEguX7Ht5PGPCNgqbqA8,1
GQ3As7TAUSZMRJWtbqCpxoXWxvyB3rV6xAijDfjUXmgL,1
2DLezyxn7JiZRfCiizqeqToAWUdNe4ZUL7ouyqFMUhYJ,1
7EktS5xjsuW5UPeb5NZSC5xnjcnJZLqdCzRG9zFvZuWG,1
4pyomge79HCDMj68RdjWBbSz1i2BqSHhcoMrop39tueV,1
7CX26N2xoG2NMnhEh8Z39zz1Wg2Dtf8ssVQMSm3aDt82,1
BFd56epfiMHme6oidLM5hyAL5WBXSwDdLU1gtQ6Co3Gr,1
5eVwdPVkyKVB9f4AHrsdHXJvRcWscv8QxAi75mcF5XJP,1
2m1KP2WJyMGiZ4u55nFsF9T6vAQtTnmijwGdTAubnavB,1
5kervqKCYPf4uoh3LkHWNA5Qy6FDvpvf3B1GqqoUjy4A,1
6kzwojstmPx7EWrsSVJsXc7CjAhUHBNDTR87oGQ5xBoZ,1
CzCYTz3bzrPXeiB3xotvNsfawDN9HMZLSNSif9uUR2jp,1
GYLF6mA58HZxsmanj9ZGuQpEGAFn1fbPPf6Q3S6jmksZ,1
Gs4EKf9Bw4fudutBBeUS3P1EsuGsDN5ZbopTGTsq5EbM,1
9YVsFNXbtzCWuQ6a9kYWM84Xij4S3osUAPxwYMaaD5kz,1
FoG71zsGRuBm4hu76o4c78EAVePoYxcfyW5SpuGyVnFi,1
Fgf9kLg9Q2L8tznTcMz8JpGD5Py7SAjE7Jp4MTqJ24N3,1
CPPu1RdoxccLH4B1AMZp957BYdbLbWWzqxG8SBTRaFFR,1
HSVAFD4yVv6HD9F2MZDcpFDGfCK7rgwFneEFQ92tB67b,1
2QsjiDqaDmkGVbZqgfrwATo2SisgLiCuwKtJohzFty95,1
C3ZQ2vWQt1ZwtjpbRqRhj9t289zAvSCPUbxnvKxoA1m5,1
7AbyqwynSd2DKkcVUmeujP1LcW99T2mFSxLjrKMFdEDT,1
FSxo4RsLcUmS6BcUiKmUa4ZT5SZXqjqEJUA8NtGp6TTa,1
4bUGdpDf3D6CA4i2VoDUvHa3jFVx9bHkRQSB4Y3SFz4K,1
8mqcpAiDDDhMtmpzGRMjm3gmVfFyhUT6VbhELzus1q5c,1
5YMNP77fvu7gNaaEQFMF4keVoS1TbZvtzEvoa7GTzyR2,1
HoVsaZrxWwpzA7y7pbSJJnDmvbgUu116qq1bJisPVV8H,1
4X9rsmsoymK8ddFpbfLyg7UpMEyYpT77eTmJnHDjNc6V,1
GyW64anKzdoJo7RtLjv5e94puK6WsVpJ8Z9TNfFug9sX,1
9rTWsk4c81aC38Mi3vVaFGsu4euE5nrYmenSuJ9Kx4nF,1
CVitU3Dq5dfGmtHSuwDZ7vT26wUSf2QiGDwr3k6eEx55,1
FP7tadsDDKLSfLQGii7XTJZ1jJ8U5aBM2B2tJvpMskrE,1
HimZumktjP7oXCpmBPApAYeagcvWRjUj9diwMYUH5wmW,1
65JXMYoqSXyYtcB8i7hBog8cGy96u2cqdSQfzmpVRvMt,1
34QhEARKnCerqJ4RWNfZZ8qoyLX9GzUthZSLKg1RHhph,1
RGvkyaoaqfcA2VThWzq2PfNo6UEfsqg1ppceJd2rCrJ,1
9pPJqTssbRyzjXd3kGEVSHXv5wtmwgJADNbUPkeAdCXY,1
2k69XkccKmBzrx38ESEpPVme7QAxGDWLcbPGnXqVbBsw,1
FJhSzcsYU9vWGn4iG7EiVoS1YkLdT4A8qB1eRT3wKZvP,1
Bz8SYQU2vAtoB1mNj753MebV8KdKQkBE5AfcFajPC6VQ,1
HYWts2dCjqRSGuAnj7yLPNRLAMzrjkEWFP5T22r8UtgC,1
HjqQFrWN1TD4mRy4V1QeanHEkq1Ewp1MEiLgc9Q4zKJt,1
7QAdqVVFpAYEnaJngUukuxaF3wfFd9NnyUHRxrf3JiXD,1
4WDqyarUBTGUVhkRBPULuvxUsUQ3gfSRY422YqyYfQNe,1
26AWL9VbjncHqW3iFKxg5w5epVJFwoUXHoxcyNAsXwbo,1
CoDEAYUnQWSfUdLaZEUiQr89vYYeLR954zNKHdt72M4h,1
7t7tHsAf32fMgTZMwheesh2Fto2MQoxDN63tNUm6n4Sy,1
EfArvVGrVWTURUSxfqL6gRPr5cgv8JqARfesybixvCGR,1
5xThHYKkE4QF6ipJm1huDEGzzK7mg11D29qCvUZRMMpK,1
BDWo4WtmB8qMMAn4MqUW16vFiY56APU6QezmXw2QeiF3,1
BhR8N6EqpCkswJxkcJqR8wxvATWtwXkEda39KLFukxCd,1
Hzymzv2UUUxAikLhF2Cc864y9R39oL4x7zXu34Dem88m,1
4djZxyJyFafosvm83ZUQKLJjkjbUAkRejfKp2aGusSeK,1
12TcL58M62t6VXQcvVwdJz7MZproDDWxjAyW9rvM3gaW,1
GXzqbxkdeH28ZtLxhYUK7SW5sf3xfXMQ6D6zZ1WKNkgX,1
2ZirgcsPPEjtniY1HdKBTLK6LE9ysZ294E4FJnvPZs5w,1
