owner,count
SFNXV6ronvBhLKHF7Gnvhk27oz398YGLUu31jYqnZ8H,662
9VBHuTzGv8fZ6wSfkhbUp9sKR5wS9yEfkQ4uU2zFHkeX,150
SphnxLd7SHwhZrawVLaPBbPHUwziB2p2WHBzJ462x3h,92
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,74
3vzQ5Jg1Cq4od6YRj6i68ahHYVEQ9SgykDZQ7ko3oVuf,33
JCapwSzWyHkjuVrT5ZTyKwBHzV9oYrTNhZguAMc9PiEc,29
BBw2yWoiPBVV6vzo7GhrH2gh1CHWccmcJQRHNGfNw9vT,22
stoog8LBUSAsSqDN8y7LvCX22ZFonQVSHbhg9jNMS9s,15
CeY8YFU4b3g58tu7WgeG42qoDnr1fGvEPs6U35N4W4Ee,14
6mctiWZ1khuCwbCEpaxgNZ4uTaWbVWAgxei6ChnkEhpc,14
45a6jRcsnC9yXF1zzvu2KbqFSDxdtGA3hFigoC8NZHSz,12
JDds92xXJysFofX3pv9Ef387cibKmznhBBjf681Yf1eM,11
Aysy1zGmpLoD3uPRUDR7BYJYrp9NtjwH8mbnp8YSeEqN,10
59kRLu8bNrkuEFjLoD7a8LHeziAgiSCkmR9L9q9G2Kgk,10
8ZM9Z7fSAZ6TbefnAgm7vrogk3qPVg6csneXwe42WG8B,10
GthntwsenbFgwdTRFyaVZ2psx46oT1Q2w4PjUQCptg19,9
GHqDbrCwWYDhz98bF2DU6wUfgQRbqJTF9LnkYar6h8gz,9
LGw4tBBur4umYdRTY4BPj6R96jyz8Ztj9GQ6nxJucBR,8
EDbHjqjuZhf6QYesmHpdtBicJHkF59wKFpn8ET8Lz6y2,7
252ukoPTZ4xM7dK6N9v1nTaN12kSuKKrCcxMsiw5ucoq,7
FSMamVHrKvdT91NbXCL4rZXRBtqRt93DNq16gh6ytWki,7
orwjARLPPzgiGWZd6PZnT6TTHG2Be7mx4NmeyUkdjV4,7
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,6
C1u4UJkA91aZtY1Df8M2gL2ixPzgJtTfbF2h3q1UkHma,6
F6dkxX4VPjDG2FtePJkFbQBJ1ytp94xXYQFLokmFBPwc,6
C2u6CLouG1Bkr7JvnNo6vubNsUYDUoMRwVMzCZeA1yEd,6
9kesvgf51ZF9hQgtSLahLF5MDjMxHEAYPzXa8QxSnHrs,5
9BP4W2X8F57eKzW4bFvd1zUmWVF9yngxJTRm3g8fBFbe,5
4m1xJNrzTH2Q8XVhX1NQeii5oKo9UpKrhY9Yvv2oMjyj,4
DCceHNGeeomvt4H2oZ1HBoNCLqdQ4VABY2xU6zgQKQ2D,4
FNQTG8sTRvGjJ99C3Y1FZ7wLJroAbdwpu7PWPxfvFZD7,4
8wfjKAV6yA9t8uhPem77GcjQyCmEyEwanac43XMneBYz,4
3F8jW48KG16uKeA5HFmunCVrR5BqBpKrxH6ZZptsapgt,4
218JtpiEn5ZUvMoLwPmZtXf7ZM6PvMXvrmYuw6ZaoeB1,4
HEoXNHmqRM9rX4a2suzH8rtq4wLgTCxuGHgWGsaVFE5e,4
AnGajWfHRiNH2dzXqgaQ8XkajyCNRPyNguFUuCV8Y8j6,3
bqB2YXTGV1NqZ2WyN5x21iFryKv9Htb7c44Pp66Q3RX,3
97JCfsVouyTRbUyimzYT2dKDMQfRd9zna8WgDgwajFY4,3
9X7kSbT9Wuu32C9nzyGbsvYt7EqGbRMgwWhBCBAMwfYF,3
2X9UKSS1pEdE5Br7zv6wGRLi4f2Tw1jKF6ND7Cn2wJ8z,3
BXR8GVZwcYikuLSxFfPceJKFqHF4aeFeoc1PTXCFgB5z,3
4iCU823VbFu4pJmT8iuTE8fZzseUBRXoq2nUzVuMwRJq,3
78W3t7rHbZ3aZX72GvT9Yce3guRNCLwuLZQN8hFuryat,3
7oBj4pUzcNAH1SKpDbKZqChBWq86NcdKtFh7zKKJZd86,3
GBKKNfZcVdFcByJMAuADvpuEAaskWV7srrEsUf2Jz9u,3
GoD4TtHrTZkJeQHHHGvgsAJenxWw1mLCxZ4WJ41GJ1uK,3
yfNX42S5m3oMu5hF8zeBS6DPARAiN5ZcERspzPJfUB2,2
6jTDLTkGqpEaWeD6Nopu5zLsVM1qp7W52PsRbBN4FALf,2
51tSwztLZjogdEaqYLE1yAyyKvwZiPxX9soRUYcjwFk,2
6iZwrDScZWnsYCeov2yrjNNggUb36NEjXkVFGwoPFqFt,2
C6tge1WcvdihvrJg1V8P1V4M4KUuojfkbQbW1cKNW8wD,2
ECATzgnSidaeexyBh3QNCKj2cdjzv5qfwhxgsvBLt3D5,2
APqN1YExPzwXCRP3r1zsKMR8NQPZMUnn6NHi6QTQZqeB,2
HoommGTstyveg5KzYYjU6cdxpcYRBupiWx3b5Sh2ZBgu,2
JDeQh3DuHXYax5XTLAsyhxGJMbMbpnPHrNi71js3gMeM,2
5dNaZgG7gmjkKABM9outGfgNr79ns3kH8snSXFgyRMb6,2
