owner,count
GxHbdbN36AG4XKqkpf4AsBF3WFa193wWHYGkfXHGZM28,4777
DBHxMUpguYRLGcszeo6D8xXAFnZBWrhDqzG4EjjbJe3j,324
3H9stfUFjh2f3iNLUERJQvSS919UEZgcrsHr1tRm4JEV,309
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,239
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,110
Bo4nGugF3usS4N797H4LEm2r2d794kvht6HruwNCVe7Z,100
3sbbWrnhMedEtPgusSPLUdpJEGHYzNXeTJXTyknP6a2V,57
6DbpZtH4sAKjBQT8tp6rXjrC7GYe6pMEyqnVcsfR1Q7T,55
8UBbRS2au7ozz3QivYcM4XKekumhmjNzPbRbg9Lzhoxq,50
9wGWcP1RxsCT1ym6vMYp6Q9AuDv7i3N5eU3SKf75Rn6B,35
DgVefPyY3cymdSzoP6UwJVYF8GC7CiiBKt7kbVg54M8o,32
BHj68nqG9s8t9ponMzrwd22Ev1imdxb9xRK49dk5E8sY,32
87ddGWytMS97JE48ZGJm4HoCueUcr9jBF7nkuRMsrZ69,32
5Fc6HmrsciK3FkYLbZzhBjfGaLtj5hBpMUpoW1kNx95j,30
A4GErFzBioyEree8Ltn3dgwTMgwahDyEGoQ459FvWjB4,29
BfkQY1MoBhYmdi57u4MJrZcjtczZZkSaQB5FaxcJ5apu,28
GcxpP5jeE4zcTwu41LR53D7DWf3nWgiFc3oEoEJYbdJC,27
GEJ3zU94dgUcrac9QQF7qfF1w62toYhXYDKKCES8pXuH,26
2S7FZgaBRBwzfJjrSrsfEFgMpkrmKayJfhDmkQ5quTX3,26
8bsBxMGuFD2cwucieaPKmD3axz4egsW6kRzgucgV39df,25
5FHwztr7XnRJLmNazUWHRagPFARWyrbaWJYMJRZ9AEXU,25
3dH8uePWGwFPbUK18M51tkpxApWBphRYoxsQUARjivn4,25
D9hG2MXm55DvvGKRJtrUrfktHmnto8xy4K1EtctUFxzN,21
CQBysm8SLTjq95PCsvmJHc5Sqeykr3ULHT9oEhnipao4,18
8CCsU3tV64cMi6KAk64TqMXLJfkJGmr9PDF1XpBjBu49,16
Giw6GaYUDkxzoJN9mRRnBvkqWHMaEzbj5reJ1wJRJtcK,15
6ZzmAFNyqk5SaeBMfLWd9TeEDEsHEBNkZJPocxiav3eF,15
FigApFEtC6D5MDVnb1of7FA4mKpqETEEGogMWFEZD2xV,15
8gpJoXXcYHKKe7ZVihEmP99SRAkqEmbsEb4Qr5fqFQga,14
HdRKDuwPydeEgYPQ5FFwTYtHAg2qjy5J2suzb4pG9CuZ,14
7FvJeKfXeKxjw4YfFYThMPAEBPMJc7v65hLBuAjpoNVu,13
6i3yNigVu2FTvSdFA2Q5vWhTXA9ZV78676KpDTJepg8H,13
2NUuAG7hJy32DwDng4sBdsbW5ZAyzgfLMHVmVtVDiZLZ,13
XXe2kRvmoBUKgb3mVysgaSuRvVn3pQAoaGYdzjpFNYn,12
HB5qVvrwX3VFzJFWt4eYFQ5S2YQ8mr9MtyN9QgXLz2Gz,12
Dq2YA9XKUo5Ah6t7g8FicC5iaWyCmms7fEZfYm3wy22h,12
AVTRkKUSikzoMcSWSTkh4hM8jHKLjfBfzFfcsCodYAn4,12
2Mw2i2Jh3hdTQ2jMLjqiAhD3EzR4vFCN4Nrsbcn4pYAN,11
8rcT6fHKfYiiCMuBXWJDxccwgfuUCSEqkFEicopKsASG,11
DwhfwFUvWuLyNkVKRS3qyormh8hyDNA6SezUd7zZMLGm,10
Ajr3dFrraPeTgxunDHr4opP4mcNrf5TMkSrChs1X6XVt,10
ADBRXx8ho5DFbmt8ZJHB8mqYmWsT1LQpPLYSVLUVQMxR,10
4agC6exS13h1UpVEknva51yJdUuv4ULhauztHuY2shQZ,10
59zWTkgkk4v4nUHT8kWThcRGBaSA3RPJnzoKodSKt1CG,10
FPNMQhpGtXRdh4LcMBQs35KZsGpwQYJDRicPgD63gUj,10
9VPa7X3NZKimUhXEGHg1ppzLCzYRQxnRfW4L8Zs9KrUN,10
CDWyYTq1yaDVxwqVFFuRcXDj4VP5xHW7VTTdeQruyMw6,10
6X3wZRNLcfthczytRowqF5MLGtBk6XxQCgoQ4QTyCAHS,10
DZCLBR68fp1PWHBma5xppu2dWx7JTJHrqjdDArKgsvg5,9
BETXhMYLJbKfbjPHe7suURYAiAoqx85AoaQjqzmdebUZ,9
8KataTXcSTCZ1724RtKSst9vXzAGd1P3LHp9YDrmAq8Q,8
9QMxLotipTVSHkNFdi1Z6va6PhB2VLC5r2sSeAWGbCEc,8
Ae3ah1Ss9Y8Mg3ghWS3Pukry5iXVQSqeqxZHCjjf9AE,8
6QSN4UpZg7cMXFiN49dTaPk6uGeQpDZfEpuJ8Sp4BBL6,8
AcpKUoSDNJYwFRqy9U4NDaUpwGUz7UzhT7vWuwgf2z9a,8
CRQUZJ8qabubu88GGdyAbdPSbbGdEdFovxJh73xGH86e,7
AqS8AijFr4sDRaUQ8xCenwFfdzKBwrt27uStEbkMmdUS,7
F6be9b5VwtiMgnT9wCAGB7AXyg4BNGJJr3vvL5MpjcyJ,7
gPrjqtxqigZnutVPA9BiVNFVsGd6FrDCStHiQWS336S,7
FwfYKa6JEj5TaVu7pySbabrsVR4Nh49Xg7QvZq8DMa2k,7
H8wQpShc4KZu8pPBAuKLW2gd3JC3ppocNGrFoY3N7aKr,7
VmBHvBk6mbbYWcSHXtvmNy3ettCXT2jdp5bfuRqUH8V,7
