owner,nftmint
JARDTp1s5HDNUY4yZsmxEyoVm9JCsjxUWMBg3jYRs9HK,JEFzj3rfXaq8FF8v882rjZWZ9tEpGEvbTyzVoz34geJL
HXaGvSSSBrTdNnxQtVVfeqmckPZiQ8V5sQbX188aH3PB,JEFzfYbnow8MvvaD1rWH4QjQLKVHHPcaVdhuFJ6mUqYr
8f3ANvhq82o15MVf8NyActHCUdusMpWXtRZiizoTsV5D,JECeGhfLGvCC2Yi5SJCv1ETPWBwTixHEJgcjitGSbb6q
DPcJideQPqLrL6qk7PXw5kCEryKixNqharYxh2Q4Mo69,JDzx7FH1PjFsGY7iZSKEJ3zXiJNMgdG8nrc4qjqrYYYE
FPac4oKniTYtBbEjE4BzQZvpymncaceyCQUHLPufVpjy,JDnxKm5JF7RoAB9ahaiXjq7KGahwcp9s8PRSMeZu6Zot
3QYqCd6HWPWjjGCs9Cm3XB2LDcisHRMLdBvAQpH5DYui,JDcqHNYNTaFaqWp22Ae9j1ViqNeAncQBqHQvWmYMDhH9
9f14Zpt6ST9W15z7qFiGYKd4RygLaQcNmPuzuNY8CY6B,JDa8j72H2BrxyhfXDzgFo5TNZtaPHKBrwgy66UTA75vn
EyocHG3vukUg8tjserz7EypSavCZrNWwr2TNT4dNcdS6,JDVw3LnzySJGXPvw6ZakjamWgFR1wGmQYG8HzqEQrNVd
7jkTQT4BXd4aFD2XYpuAXivwgFQ3jpTCkcLumH2ZLWTt,JDJcwyFAtHBGwMmQWEDLoJcJnKin64XUZJVPgCLBejjG
H5mB3XnQt6sdYvh43EUY41ANxGG7LBNScAPkYuFNQu9o,JDDpSaTvWNZKfSnjAd6MZzvf2gvzWM4g1dGz5PzZu4Pf
Cs7hpLYxEaMde1DnyeJUAY4xcJAm2zTaGj6J88VhuTpH,JD4qDxVKN1RVPf66qusT77BR2fzxFrCimF9sbt2odgM3
Gnc6gK8YkxATeGYGzFxbv2G5SdqXMSuuGs1AHmoHQdkz,JD21YgxNdYF6mbXBkU6fiHkxAvLpUvBcnRxakJueGex8
3n1KCZwki4sPBXBFTXF3t1eSDWGL9UuM5xjxJXvfcfow,JCuEcZaWFkaYPfQmAc9NvMjx4qAGHj7Yvjzh6cHx476n
JARDTp1s5HDNUY4yZsmxEyoVm9JCsjxUWMBg3jYRs9HK,JCnCKRdjJziJ7BeLiTcwQmaksk71EEXxj4LXLgk6wZNP
3YMqK9K5RtBMHUntwbWA92GV5Vj6DHx2cy5PGLE4gYjA,JChJPkQJkVTL78GTSGEwTUgApnGCZJYGaNhiXQdmCqge
8SLWRgNjiUSWipWkzzyaGXrXsqWmg9ChZjysaXxyZ8u4,JCeLYHBk9Dyw961mvWM7CxKmh69b4v8B5LTx4hCgDbpx
6i3yNigVu2FTvSdFA2Q5vWhTXA9ZV78676KpDTJepg8H,JCcTyEkLWC9Lf4XCvHLFaMZfkFfGcApWvg3J56TMXCQP
7fy7WssRwez15AaxMcVkyjqHu78WXkL2QH4eZyhmJ9pS,JCaGVQ52ubFvN1LLcACYW3qukLLa1mhNW7eA2Rg9jaVc
