owner,count
H5mB3XnQt6sdYvh43EUY41ANxGG7LBNScAPkYuFNQu9o,429
2cS7tZxRBhqcx3ncxmSGqCWuPnAqEbQpAqNEaVU1yRBo,366
FPFQVVbb2qqVqgvACFsd3spmUm22SXpJ1V8aq19u3pcM,333
DPcJideQPqLrL6qk7PXw5kCEryKixNqharYxh2Q4Mo69,287
3QYqCd6HWPWjjGCs9Cm3XB2LDcisHRMLdBvAQpH5DYui,275
CdRTkJHwinqec3chMn3MD1RMmfbqHjPSg8AV3yqyXdiw,273
6Ao6mrtbU92qae31RCVShrjLrE3iMpA4jEACMorf35CM,238
4rhfPZRBcZkoSzStSCFLo6KmLiX2eBAMigZh2bBLPYMw,192
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,185
Gnc6gK8YkxATeGYGzFxbv2G5SdqXMSuuGs1AHmoHQdkz,182
GCtG7fCUKZ4kE8ehpeprkfyCNg8MUnsr9k1mknUx8FVw,156
9a2nnjCpn3UboNS344Wj1KWAkFjacugjk2Z2c3fKHSU4,148
93ccg27u1tHK1FzqoyRtaUVh3kRwbvYNJcz4NbWWSt1P,141
7wB3Q49veHMwiLzx6okHdqGtSZqLyvAfJBftVNV4Du4k,138
JARDTp1s5HDNUY4yZsmxEyoVm9JCsjxUWMBg3jYRs9HK,126
8596PiJ1iqgh7FpkYYKxri6owasbnmpBDP5ms8cL3tL,116
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,98
4yZBFSx7Ngsa7jqje2cz9aLnph1MkVtxE18oacj9ARs8,95
9cBr9LUrzDTBFUhr1eoGMy1XMw3Hhgbd5Ri3aGowePg4,92
87ddGWytMS97JE48ZGJm4HoCueUcr9jBF7nkuRMsrZ69,81
B7mZ6Rim8tzhJhpd271oBzwnVxVzmJUebxeSREdwPuce,77
BK1W2fphfja4TcZE7D58mzh9vuRUVbxNcFQXS7vzgWih,72
AVTRkKUSikzoMcSWSTkh4hM8jHKLjfBfzFfcsCodYAn4,68
HuiGCHbb1rgGNn4t3bv48Ch7pMWBTHoiSDWWybYhvuXG,65
BankTJmwsibYaPZ7AxXu8GRxpYnz7gUHEiLH9WASbkwA,63
sYrNikWg9fZ9N21ktLAsjbD8it8Vf6EoVmPnHwukQjR,62
