owner,count
GX5RwoNCqaZY48qhCdYWJP9c2i2jouT24yw1dDtqZFmn,8
F4ghBzHFNgJxV4wEQDchU5i7n4XWWMBSaq7CuswGiVsr,5
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,2
Dtb8q7Bokm8PgpAjWADN9GNW6qqM7yFKZoeBxmimpvbK,2
WFobsEf9x2iizha73TySRwRhPeggWpJxXRyiKZ7SdMz,1
77z6mutuJsUpTa8nsoiUGVv4wan9u1pNbL527zbWJNLF,1
D9egYmfGfdMamJ2ochKNnp5EYmhBHmd561apb67gPeN,1
CscfVynGt6z23oaULLsRfukiJWRkSKKZzMvk5JFX5wgo,1
Gtmkz7QiJWAvASBPaSCU9A8ovoZnvVUeYLqFJLZY73Xq,1
8d333AWdyiVhvkAdiKCTwhgzaPBMbn8mtucwUC1SAbZZ,1
HcBavagSdAYAcvZkQWdc2rqizgMwyrz5uHwshTNst2Ch,1
GkzYsXAgfK8QJYpp3b4EweJbobefCyaZdeKVtYtSUuMH,1
8VM3vqpzTbA69dnE2XDXTNdavxAgqzM1acJypNVSBZG9,1
5a6wB6ysHCthMeVWtjQ5UKzUT7C3tH3y1DAaJKEzihVn,1
9CWu3QcsvnK94RE2mtkzCy1EZp5YBmBhGETVG8GgiLMX,1
2ywnrLD1MaZbgjkgq3LWYPgtXvLg1oyjE2C8upMoosJn,1
EqJrXeowPjuGo3zHhDQVUqtWngzYPAco6RAnVYdhgv9i,1
eu8xptzhT37sFo5ZBzccpUZUDauPtBHid81NgMVj1y3,1
6a3HzqTWYGmVHBFaXGeEZptLPVq2jvnn86aGKobGFbka,1
DGkxTsPMpky4QNUtBqDgPkLBNCgxf2M1ZuM5SwHcuDHv,1
AUfuKuTiNWYaHYipPdR8N1p9KXHffgJTZEy3egZ3nv2w,1
zdnpTynLDp3NFq3KTvQG8zHUjMFMKyv86AtSrxSxkJQ,1
8FRm7HUsgsxALAGB5QDf3ojU2BLupH5EZBrchEAhCC8G,1
EueavwJz2XhJKE9yaJxVnW2fdtwWooqTmq7ZiA4ttc9e,1
7ijnDS8hrXdJwjDYbaaZNWMd1aFsgh4NcyTPKtLWyNGS,1
917wwwdLEmCBvyz5fhXmfjL1YBakvkJEiHEVqpTjQf9u,1
8GxNNE9xgTYnua7c6Am6e5SKr6nTkTE87vHeVFz9racL,1
E645TckHQnDcavVv92Etc6xSWQaq8zzPtPRGBheviRAk,1
JCZjJcmuWidrj5DwuJBxwqHx7zRfiBAp6nCLq3zYmBxd,1
D4fbHDBtCVpVCE1xE6KyZcDm7NPkVN96LwWj3joxA6fm,1
6wnL7SBKXUXiPz5T2BkSs59uP5g78CKrrbFpxmbtz89F,1
BxqR756u1JBxH7Mx2EzG79WkVWbDY1rZwH3iRayzdJCd,1
3WyjNRSwrLhLZnAesrTeY5RRyuNA5SCCT7HrE6UZEQZo,1
66TGgHZKcqs92oQYKKNyNyryGX3ak3NQyWFV7m7maeGs,1
Hew6XJcEjQAx2Pi4GWogr68dmbST24g9xtumKBqvhkdL,1
9CKX2NYFeU5gmNatVqF6CoYKnTWxEQfivWg7Bdb4iEkL,1
B3BC1iMr5sutWQND3n2fJPhaLwfZ2nDh6J4BjJDwEbZk,1
5SJMJjW8qDH7GbbzAGrA45mY93qaVCoZSZcG9JcNeHW8,1
HoB259JnwTzVmgtsBewr1jGfJrhnMTgZ5wsKTApEUQoi,1
GpnKen3QMaLc1CzFsoy8UbcbPwEXRXb5k2qTkTcUa3RX,1
9GvGddtmBhkWAK7C7W7Fm6k3T3jEgVwuTrQUfQAVNCzi,1
3Qru1Gjz9SFd4nESynRQytL65nXNcQGwc1eVbZz24ijG,1
2UECXNR6nN6JjHTdgnii2cgWQvX8RFSEDMtTGeN6p9pY,1
FqarYZxff2TCDWeim6XW5yURFs9ZxaKaMR72L1GUoTkn,1
KaBjQKoGfCHXyFRWio3hJqo1732vUgn4AjGFgLghiNz,1
4SbPx845H3scCqfbsr5Czu1meb1qrXmqRGxYe85cWAm1,1
ArppkrcHZoBYKXqYBMMoKthEqhU9juopyqDLZJsVqdqY,1
2T5xGqfGQ7dFspEWrRRkQ9gVh6Lb7g2UUNH7QU8BSAxv,1
2X6fX6kZkoRapk8duAhvj7zvjn4wb3U5KftauM1DBjxy,1
4ZgozG48Z3jviE3SAas741qGvG6PdRRVa2TBaDx1WzFU,1
D22pgyxYFs173go1i8HYhao9FM5NfedY6Ypa5r56n3ZD,1
E29Q3rqQg3KXMtiDMUoajAkW6sU5Juc4SVk3j3MdRh9b,1
CA1xwogxUYZCfG9AwPYdevns4zaTjdWDqLJg38CJYKYZ,1
41C3X3toJCZ65Nd6zc79teYuDeTphgZDZZJZgy7y1Z8j,1
Rfhvb51Q2W7mkZHYhQ4fVKBrSGnbmvPRyVnHjEN4pHA,1
FUGZ3aPJTazzir8jBsxvYrP4AXCvN2XqJqML8TomqhvP,1
