owner,count
HFPaT6WKk9SkwtYVZ5m5Sqw7ZbyehGu9GHjsctigm49S,362
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,201
F4ghBzHFNgJxV4wEQDchU5i7n4XWWMBSaq7CuswGiVsr,155
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,81
7LJuDBm2JUgc4dek8AaVkNYpXUw2fmFUAKFGF9q9NJc5,73
78e8W7LwdR8PGuDgASPcempCVuwLbsr8pfy38j9YYgZ4,65
4pUQS4Jo2dsfWzt3VgHXy3H6RYnEDd11oWPiaM2rdAPw,61
2N8Bw5TKPUQ9ebvaVkPsQ8ijfjh4EiLJEjMqRLVRi9VS,50
A46BXz2TeXCtivk38r4MKSF7RRLvg9scH4rTmFutQ85p,49
Hu5GxDVVFPUxFYcSUUFD5SUummTqqyhc7Xk4uESrH8Dj,44
GWU6N5G8EUeRmu8UVG5z61eayGvqUMGsZF8z4fEXtX45,43
NALzLNat7WurkaqnWtArhGVrCyNWLwwFhAvYfKZ5z6Q,41
3JT88nsbsWGCFHiuZykXVXZTPoCjoxAgrHbnfZ97eofM,35
Df8mQWMDsPT7R7rsLRLpvDhQ3DGWteFLafFpbkfHJwGX,35
DFtEJUTv9Jq5cA7Xhxdqwd5vHFpeN7DCGjq2br6Lyh6x,33
JCdmw6xAEnZZJAJ1UvG5v1M9FZmTiBnGVcp25BSa1RUU,32
97VWYXkD3WB14ZZCwVZtd7trzQYCh4DVZJUzERi1HJd3,31
FihBSxXrK8ZP7FPumvoHBW6dfbhsScsQAwLW6x272gam,31
H7G6jdWDXhGfyQanrc9gCRZwHk6j1WegEP6UY9pfNjqw,30
E2vfYeCtfYNdwS6nprf4FWMGHhSVcFJNgr3U4kZgfkaJ,27
8QySp1NiHkKzFsdQH57oApyhwT64yXvJM7Mcq86KJrsY,26
CjBoDb1uPXA54So4UsviNEEMxjjukLaXsf2Gpp99Svei,25
39UY79ysRhEobHyGMnz8cpePpZMdht5omAmp8icLGCQs,25
77soQKPp4vpNQTdZaDSeqHHqi8rWZfp43t6QezJLR3JD,20
ALEg8t43rur98bg1R6hCoWypwCQoyWDAq5TKZh1Suz7E,20
Eg9Z1bhtqY2sjuLB72k9tLNWrjUHY6FsZuCb8CVKxey6,18
BWjdWACFhvpBVxPqPgTpBxhHo6jjdN5aUm6F5Gk5UEJ4,18
DBTNnQQb4SE1aLftbFNBg4pKiAHRMHyw1bYK8G5ZMVMP,17
HDhVi7MDe4FZwncyGu2WtAjuEYEmceJByVM3qA4mGbQf,16
HEaNNTGcn8kKhP559ZoKuaaVApdZpbsm53VcwLFuPL9A,16
9XE3MNmqGzHveUahYSvTVtBQzvdRVWGjXdgvgBYuy7Ma,16
4iCU823VbFu4pJmT8iuTE8fZzseUBRXoq2nUzVuMwRJq,15
HrQJUGuZJTDCjbN7qf7X59KzxKP1tQ6HbkpmcgXodPt2,15
