owner,nftmint
Auj1LeMAfMLY3qtNPkS6e6uWNfY8uRK2A8DeJ6c8oyAY,JDCkVipyWYngtsboR4fhSWowPHtmXxEVGyMRLhNtWPgA
97VWYXkD3WB14ZZCwVZtd7trzQYCh4DVZJUzERi1HJd3,JDCZgtxmWP1ZVuwBATfAZbFbi6BrSMTZU9Dd4G1toC6Y
7LJuDBm2JUgc4dek8AaVkNYpXUw2fmFUAKFGF9q9NJc5,JD9jgnL5zfGNMj2mBYSo2SQbFcSeaci4pwrL77QLJnYm
76NfHMSJVSGHG2J7FgheHE1reJkubudSBBPyBfV57a1D,JD7kLSpQXrqSt5f4H6VhEoJ6mbwanrbC8YRq17Ys2mDi
9V9pU9UUNGLhgu5ZnzEDJk8u7wUechfczJxjp2VG5dCK,JD5t7wVeSB6CXirLXxUbRsCsY2YU1X4bXqMQdx4Ud2Z2
6c4RPinHu4CKXqkwW2U41GNhPeNuDuuQP5WgSX9MYcZM,JCs6GtjKJystfrArLhFsnGf1Qotga1mCpAdhTyBEquUG
5o1bem6wyLZEyuYJioA3C4YkddZETWgooMqiy9V2gfmf,JCqNpK8EyjDJupFReZ4TqHZs1AAKpgWAhaecuvwbCwL4
HFPaT6WKk9SkwtYVZ5m5Sqw7ZbyehGu9GHjsctigm49S,JCRLT69Efttbe6hAKN3Z3Ww6tMwVxQ1pCvZpHHFHXgyt
HFPaT6WKk9SkwtYVZ5m5Sqw7ZbyehGu9GHjsctigm49S,JC2sazHnRxQXChp7bHHYeFzNEcbqjJa3PCKKBMRnyYcA
HyHc7gAiaZt9uMGsbH3SGqbQ8xStexSYa4Zdv3Q3kVtE,JBdYLE4pRNmRbw6WrAcVmHmsXVNZkTp79sXJLcGwxgPL
3SBJTSfWUnaaKX2HevCKCJvhs3eqFugApfb4bcUBwnxc,JBXUcmsMKoXpm3HDLYVJZp4ZKdDSS85fWXjjJ4WNYX7L
HLZgjui7kq8nU55GdzYvH6qy328tcDQETg6TBzjaWi4n,JBToQUU7ZvyFttSLEjSR5RZ9GYszeGtuu3hatrPb1osa
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,JBKvKWNnP6Pn1r5PXki6UAMo32oUv9j8QUPyKHNXBbfz
HDhVi7MDe4FZwncyGu2WtAjuEYEmceJByVM3qA4mGbQf,JB86Hh7c9jQGKJFGK6M6sPH5ZiEdJrhJPfSpwZnzxTwJ
3fSRyJXywXvQCGeHHRSwzhPCxvndGGJFhTBjkL2G1ZGQ,JAko7SvZeBTVQXSewV4qYvFLCWDbjB1GSEdEWhQxjhVR
DyN1cg9t7TjuPbicj88NYcXetwuaQECN58sTE3iU313h,JAYEvKyVW3SmX1e2nRYmG58ei92UwhHqLRvMu7nPBEss
F4ghBzHFNgJxV4wEQDchU5i7n4XWWMBSaq7CuswGiVsr,JATLTAL4kG5WMEi9P8teqW8uaiFXBkUJogqVvorxN1QU
A46BXz2TeXCtivk38r4MKSF7RRLvg9scH4rTmFutQ85p,JAMh2LPLHviiHYJLu72sYhur6GEuumaDEsXk9CwePA29
9ndB7v5KrPwmxr1kPTNwjWGFYwuRkGLrGPFNjiyXXcVZ,J9axFGhhkCKBtKFpSKSMNvhw9iEqhWvaMnCPgT7AwSuN
HEaNNTGcn8kKhP559ZoKuaaVApdZpbsm53VcwLFuPL9A,J9YsbxjTvydVChFtEnwvpqxZzyJZqtRwye2NDJw5wDnz
4pUQS4Jo2dsfWzt3VgHXy3H6RYnEDd11oWPiaM2rdAPw,J9QVrc8f46GX8eg7Fs1tM1vkR2q6299GSbN7Fu43zM2S
HDhVi7MDe4FZwncyGu2WtAjuEYEmceJByVM3qA4mGbQf,J9Lwu479wUhEKBQMPi8jiicU2fP6r71mbHzmBZxrKZfT
2uA7ddxEwhevz5W6DrvRuJ6UHQuVtWbAERK1M6DboQpi,J8fjoq12WcyzAiZ9Z9CsX1sgoSWAkYqBTBed9iU4cRu6
41Yongsr3WRrjmh9Y1s9anUNDC191fEFMx2xXgVtg21K,J8ZBerGn4WX9dyFD78eeYtCoK2PNATifFxArubkyoQQd
4pUQS4Jo2dsfWzt3VgHXy3H6RYnEDd11oWPiaM2rdAPw,J8UWunWj9FahbxHWGZodYALTDTw3sjh5iLt6e4FwofQs
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,J8MT5HdVt5wMjyQd2DvE8bhfhGCiuwceobABSNw36xVm
78e8W7LwdR8PGuDgASPcempCVuwLbsr8pfy38j9YYgZ4,J88opfYkCMyRo3GwuSE7dJVcx1DtgHTCYkaLzq2D3rgW
2eYo35u5oVtnbJyW32HdvjUzcZx15gssPmHhiik9PhFS,J86ZhP8PboobEDpvxtpB4L77tfpHEssz1LZMLkhk4YCJ
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,J86SC4pfvJ2QKkfsh22NBL99tp927dAK562bvK68idvf
HFPaT6WKk9SkwtYVZ5m5Sqw7ZbyehGu9GHjsctigm49S,J84vP2VxpfiEHQZtc3Wco8zjHmD5imFCwmsan6WBaDxi
HFPaT6WKk9SkwtYVZ5m5Sqw7ZbyehGu9GHjsctigm49S,J7traL64HQyCS781GpT7GYKn3R5kb6UgCSEeRZDfZ4PJ
GzJtTMKAPb6DbULJnE6EtNMVA7y7Ay4Uz3MPqnpi8S2U,J7ZnPxwkffrdgBkUfh7YRkQy2BkMHXmitesAfziuC7Ev
2TcD3gEbfha6tGWpoBZkTk8MztRJu2coSRA4Y91LDDkN,J7EDTaaoBRBjagn9Eaa5ph1QSE671EUHgh693WHn18RS
BeLn5QAwsqWEQiYDCmUQzkqqHhmykP7M9Rdrd7QQVn9F,J7ChRkDadrWCHuUGHiXzmAkdJ46qdUqhtVuqhkLcPPco
Eg9Z1bhtqY2sjuLB72k9tLNWrjUHY6FsZuCb8CVKxey6,J5uqjbm6JeBgYcVU7uwjJ9bc3SWfrDDX2Qn2ED7ooyFF
7gyRC4Hpz415aFpRort2tMpXce5bTjKc8VHHNTNgXZDJ,J5SXF9rDyUp9gzawZ8jJqEQ59hKGm253cT26suJM4Fvm
BpawitG1oTAsJT2SaKyt3Tks5z28Vv1P2zHCftGBDzVL,J5QcX1fDmfGfitDLAycEpXqHBm41cehn9SNG8SK3BmkZ
CPAFgkozYou2GnmZATQdegtPogtXa4p5YMTtnKCh1VkN,J4zmP8T2uBoDmzbdJCZNqWL8tad9nJPUAjh81QosDpYc
8ANADraPNww2xLeEDK8odAdqWeyExZi14Vo3o27XQ35Y,J4pvMCS1zKqd9YWhpKSYLS5mHH7Pg7ha3GTsQC96zfPB
E2vfYeCtfYNdwS6nprf4FWMGHhSVcFJNgr3U4kZgfkaJ,J4Z1MuiXq4kDkYNrEkHwdsqTuXGB4K4j3pTqjReL7CCY
BzPXxhZPd9tmtsPUxEv7Q8VLu551j6t6EiPVhF2PuT2p,J4XKdUXfqq5NKpy9ipNG3DCRbXBd15dSgaHF3er4iqHd
7JmLwbNCEaQWS4KnWdM8UjV8aPucMuWuDh5FczjJEi97,J4QVqnaeKk7KanuSyJbUE11meLE272S5oFUXBmqJqXgc
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,J4K1dMyCxJXfb4qtjgzvfq63UtZUfp8oZByP5gxArCJj
H7G6jdWDXhGfyQanrc9gCRZwHk6j1WegEP6UY9pfNjqw,J4Av68hB3QMocSVSVjVE2t8kTfCKmMWLBZaWqB9wX1xT
HFPaT6WKk9SkwtYVZ5m5Sqw7ZbyehGu9GHjsctigm49S,J3sbqRRtKwfJJRDxTVpCJbS98vmSzSzuoH5ggPcj9Gh4
4BZxETNLAfcvK18PcvcFDx6s1kd3pfcGFwn6S63K7iQm,J3r6JaFeKVykCzyRikdJsKrUFgLTQ9QjCgRUPpVyDoSj
