owner,nftmint
4VHfXyzKm96ugt3xoYB1t9eDf16LZ9fbxRBg9mCmz3Sz,JDYCADPA2NjofJM84Equ4FougkUfqdp317uh4H5d7fzJ
CazMdTcRtMtRoKMwDW5wmB8aAKXkGBrwcJvW3kGiVtd4,JCn4BnhWuBXFCDuGycNC6QvWD4JmiDLsqu8Uaw4Dtu12
G9XW1XDXdiAE5P5KAv43NYBPJFEWqv2XXy95qSfN1dQc,JBBhc93vPxCSU6cb3kwg5fzz5fZFbFYBddidrtHMeUaM
6ibesH9zP9mBMzvjsFYkYsuiKcK8AbB9LKmGYCbgmEuj,J7ytWEosrsEiP4uzXcdUCTbTToVzjknWqXodyoG7hV4N
2AeZXRP3LnLCfcgPGLGitaD7SVDjiR1bPqjeGpG8UjN1,J7Kb6kVAYvpzFsJL1T4PGhsHSmj78P1YYeCkbs7pB1yG
3NRfqwyTT4tkCQGHQrgNy93EdR5cufYH5v8yFpbFbP15,J71NKUnNTYZm1XahbrqNEqpaiKFJytK5BTugyoJpMYVt
Dk2qwKdEHGsLNmCsRVsxVRY8eFFGDyZxk8uhUtY3qNT1,J6TE5syndsGcpduahyZUHTCnA9nNL5SwLwszxP7PAzzF
CGX6ZJ6neWAEHCyPapJE4Xgza9pm5a7oWgrpHYLGZEbA,HviRPqbeYj4DyYqtysqoLRLsbyVpad1DTHFxJ9Cr3eL6
Aj52zEjm3if7eyuFxtfUbNDfzhzgiZ9Zobk9xJmaVq8L,HudaD7VwTniGkZmtUigTzXb3VAmMqrAdTW7iyo25HLFd
45a6jRcsnC9yXF1zzvu2KbqFSDxdtGA3hFigoC8NZHSz,HtokdpuA9LnmwWLqrJrTJ9EjPfvNbJaaz6yuKv4ymFmu
8uke5LbC86Gr93bVmeGzZoSp8NFYd1XFUMSLqVsPYtCw,HsqCjzYktyaZNsAgVYCLXCNEAQRckR3pJLEV9BNPrN55
9LyfKaGP5viDAPGfxxDg1R44N1Xxdq5bSHDvb8qMDuWQ,HrHHcmrgqrAvbPAEn5ueNTsCoBxn3BPfKBLoJ5j4fQMQ
BynJrPRktNqGhbGDNednvYYLfF7vpqADnVnLppkg9P4B,HrFa2HfaJJ6XKfgSWtqZdrSqRAYiYvwRtc7r8zTKTXzP
4W7CVgSF1R26pwYXcJNqSV47o5xAXQToKuuSUaUBtWte,HqQN1Lmf15QJB1TEsiNqsVic73RWKqK2g8EH3H1y27Uw
