owner,count
G9XW1XDXdiAE5P5KAv43NYBPJFEWqv2XXy95qSfN1dQc,111
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,16
4DxNof5gzWs1KKDjLhZqHYk7XCHRMc9gHLGDbVyqqCLR,10
9mkZYpXhZxzKJ9JHHZMwwVDTqsb98CzTuBiGDAW4vSq3,8
H5Ggz7qkBvNTe5VhVjHTtG8NyJSQY3TrkqbDfwPgaHxp,8
F4ghBzHFNgJxV4wEQDchU5i7n4XWWMBSaq7CuswGiVsr,8
6Rr1c5wt7twa7QsSPHYPtNhsAoDkfpk6zMc5M2inRt5j,8
DWc3wYPJo5wSN7AQpA48ckFVhKpBCPck3SbNTHhrnicG,8
8uke5LbC86Gr93bVmeGzZoSp8NFYd1XFUMSLqVsPYtCw,7
Bk4g9KjRAwfuxiXdB4z2rXwQUKtb1JjCXVd26ZXW29V4,7
5V3LirCw5PAjr32tbXMYcymEydJbzoEvoBkNpZRo8wKj,7
CExxuEM2a9qqfMruewzEVCmzSHyi156PH8yud1ggSBzT,6
FWJVBoBQjzx6A2wybjxDwbkX7KREDsyuYdbrsiTbYipR,6
HtH1rzar5pqmQS27r558JBWNgpsH1Q1e9HafPYc6GTVM,6
CazMdTcRtMtRoKMwDW5wmB8aAKXkGBrwcJvW3kGiVtd4,5
Aj52zEjm3if7eyuFxtfUbNDfzhzgiZ9Zobk9xJmaVq8L,5
45a6jRcsnC9yXF1zzvu2KbqFSDxdtGA3hFigoC8NZHSz,5
9LyfKaGP5viDAPGfxxDg1R44N1Xxdq5bSHDvb8qMDuWQ,5
BynJrPRktNqGhbGDNednvYYLfF7vpqADnVnLppkg9P4B,5
E652c2cqwmRVMoMyNXWMZvMk152pYa2XJ39Ftb9TkF9Y,5
4e8jGbCijq51ZdLmcRwQjNcVC9HfqxnqEm33puzup5VV,5
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,5
6oDoZYnwMf6Hmiw7gBRotUPb7J7AEUt6VfSe2wS3Pf3p,5
2nJ5D8wmcrVAs6xKHBFSBJXcF46WWZ5BvpGePzyQaY7i,5
BXvueYpcaqTvSeD2KhdDApVnYBtG4TUdEPa3Y4zit7JQ,5
HYaLaLfXM3kqiQidBJN1oJvqV9sZb8637DuXsKV25dkX,4
BYrC9EVqGHKasREuDKuRh78MzfkRFv5gRRhf8vssMbEt,4
43PTgthSG9HLtMzcF9ehA5r6ndbFcjcfdbPV5GVCqmMz,4
4ox8atxyrCPFsF3nfmzyU8o4kZhXkJCSo55PknT6Fint,4
5BzDWc6MVWx2QxS3tSFLspdEHJLUYjogBByBUrZzcwU6,4
8ZGrfosEzAWfPXmQoKpC1V6uJhUicJCtoFggGhQSPyQ3,4
4VHfXyzKm96ugt3xoYB1t9eDf16LZ9fbxRBg9mCmz3Sz,3
DwAaWcg9JegG9nfxeN97BUyXjuKwAAgJvAugyQLR2ASv,3
5PCFbBbAUDw1WAY7e5Z5JVcGtc9Kzb7RaLYiM6MftSCZ,3
14Rwg83p6qUgegYzzaEX5BvRfE5BbLsie7HDyzeTqaG7,3
EDgi8djv8c4xoppKu7autwVd9tw1iEksBmQPccfiREfZ,3
CAP3AmvvUSTHXG7imdHf31d6kNMJ84uos8Ro4AbhKWHS,3
Bdhefk9iFU8xYXeujagrwicKU5EQqTZSFKw12V1R6t6V,3
bestsCxzA1rvGm6M8dLSiUoBtPpMKbBwbTs2P4tGnE1,3
3NRfqwyTT4tkCQGHQrgNy93EdR5cufYH5v8yFpbFbP15,2
CXnKGX5cE6kNzW82tZen1nLCaM8MZEfM98k3hKqMRBy8,2
5APYGu68KeoBrCV9kAvH19Pt4YmjJTjdehd29YPgZ83u,2
47VGfPD2CKjLVTadFqLZQdgdB3jeirqps99xKQsKyKqf,2
EPhWVVFfyu2UbmowFUqqg7Htq2dt8rRjvDhq7mSLmKq1,2
7mHJoLFVxSXrsYAzN1L2PtrbJBCvKxaUXkuE1hhq7tN,2
75hB3qXq1DPqjnA4bVD9HeqxnKEhUj26paWg3nR9Ghki,2
3twuT6pCVaTWrYGNQvD25UR88VVpDvyUvcNQUcCM3EMZ,2
