owner,nftmint
6xcTtJLTWmeG7deiV21ZA3jjnZvtfBzSbvMD2EAj36wk,JD7dJCXGXZ6meDYfYp23DRY7dSuRjHiDJQzkvhwqq1fN
GtarBGsBP63f1unXgW6DFpR2GDprJ7mN9TPURZQg4qwS,JBmK74Ky2pC6PGGKqwLpWFPeCwwvA5YWYWvqhKDdbjyj
6FZfPFfDZF2uUiEGvH5PXnHP1vm5KaYAVN4zXrcKpgTD,J862NWkr9BnBwMc6cxDqnu1VHJNJxmsdGzJ7eybG2BwX
3PKhzE9wuEkGPHHu2sNCvG86xNtDJduAcyBPXpE6cSNt,J5qdwBGJAAVVHxKGwE3svcsc8LUDHU92BAEAqU6bYNy2
Br8tb2NDJZJoLMmZcKm9wqLHcKeEsEpfrF6t7FEKPi5o,HzLBb69iB6AXU2ES4jYZ4w5Y6nWvBHtpHMJDBn9V9Rno
232PpcrPc6Kz7geafvbRzt5HnHP4kX88yvzUCN69WXQC,HuHQCf7juiERQN5q7nMpCTTa1mLQCcRRCyZj2RFgdM2Y
49pUSJ66XzE89uNJSzyupmtVKeXMFg6R8fh29K77Qwfb,HnVKf1C5DpSguEpNBND1KCwRHf89D5jdAJ2HQewvcK3o
DQ1gAvjoSuGS7uWMMhmYHaUK8FJsL3y27gQoysKn6rGm,HmUazAkVq69sopT2e24CzV8w6t1WsZVBDR5AGTs6pCSb
6xcTtJLTWmeG7deiV21ZA3jjnZvtfBzSbvMD2EAj36wk,Hj6eTozoi7WTQqFecnHHLtFguK6ioHJfjt5xFB5sMdq2
9iSD3wkC1aq3FcwgjJfEua9FkkZJWv7Cuxs6sKjc3VnR,Hj5WCoVEoXynxCs8P1WTcBvLsVAq6QwKrFFfm38poHCX
GsW5HeQrjyWaeA17CHdcaMUVK1HunoAyJ6BggUjJFMRf,HeK89V6qUbmLPVgwDSM2zswZd5S3ir8o26oJ7Fxnvorc
EuoVktg82q5oxEA6LvLXF4Xi9rKT1ZrjYqwcd9JA7X1B,HbB2RaraHFPuFnwQ16Ex8YMnVq2WoEoLBoyZVkFGkEGz
Br8tb2NDJZJoLMmZcKm9wqLHcKeEsEpfrF6t7FEKPi5o,HaLiGLUBRqUR8oAkevmX1i3veRXqiCXfBfXd6SbcR9A9
ABQWQWXJHot4EoiRTEM7EM6pcscF39AfUtSebMzcZpKd,HXHxb3tT5vWTBGjRVWrsXrjQyMrANjkXA3FMWZ8Nhdry
9iSD3wkC1aq3FcwgjJfEua9FkkZJWv7Cuxs6sKjc3VnR,HUSfcG8gVd6KsuyQWx8UNUkE8M4EfYrBXvyKJ7fhQoYR
HnGarKqNWRzSzENh39wWVDsqfBTEbqkJF2xGvcAQfs9m,HQUsfLyz5M8cjN8gX28kjyZAsZj2RhefGTZRspB4JEBU
HnGarKqNWRzSzENh39wWVDsqfBTEbqkJF2xGvcAQfs9m,HM5a3vZHRxzGhLmAvyVjLqq2jqW4jRHDqTFpUiDssw7y
GWoi8wQKVCXfaJZWEKqbm5F4oWeGtdsjuay7WNXLnNAj,HJxFsFFmAUgMNxqqu37YfxPpLRGSLraPrDRdNMDH1USG
NMnh1gSaTYLhZjadfJ5haaj4wGSVRnTGk1gXjTgMpfe,HH5GjEuVVQeyBwQNXcJPM43BZvuPnuaVceZRAonv7T93
A5r7QNULyBmx9KSqoeZZ7SDGNj8CcKkhgxKwcTu8BFTz,HFBjMoMo7UzYo9NYkf3PTmZCCzA1SZeMdsGCgor2yjd8
7ytz8nC61oANn6mtJG7ZaQZEieP4ZkqeeB6A7XzcNS1r,HDNwnYr45VWfhUAc4SZtvt3tZfk72tBCBxZEhpNjHwsb
G3NcQMWUANi3h8cuJxzsgGEo5NuLKVRKPrim2DfbVz1a,HAPC8SkTWDJMzZeFaKdaBs1zBKdNgGvtLohnXWKtEf9u
ASFCGfuYZPrxFCcYRfwkQACv73dsfG9JLnA3eUuDg1bL,H9rCqum97vhnC1JHGMxSxnV1agV9TyuPcQh9PQP5Ukur
EFHg5FatMRRSZnKJPJF9e1iw2cjPJRmwTTZYtkHno9DP,H9pdpoBT2WqzSc2BMiNz91GNzAigCxVhnMp4zvCfGHGu
5buzy6kE6gschmBHVbEdD1ipHd6WNHS9WEu6kqgm1wqF,H7eqCVtZSsNhm8yVVpRF6gBZEY1yA694V84sf3yxtft1
C6s13kNZcf7Xrzet5e8BLHyQZvwaEuwAzzBENsp1mDiP,H6cJatbmbXbWXxQQQuEc2ppZMCo7rQ12z56Hn35uivY4
3CR3YuDp4GgJwJBUZbxFVF8PBvRfKMVJnTkY56yeQAnw,H6N1K3oahsBdD7oEoGCDD6XvpYx2eCeaeLcsS7kqKLPR
2hW2kktFyU9pfmzgh7yFgUoBKNHy4BZoaBxW2ALRNWhe,H68WWWtwi6b4FptZ5xbeQm2dSLhrhyNwBhVBbgeB4Qq5
EuoVktg82q5oxEA6LvLXF4Xi9rKT1ZrjYqwcd9JA7X1B,H5wGM5u9eZQcb7YnSzD97uV9ik29s39GyMZ6pL1TD4kY
