owner,count
3D49QorJyNaL4rcpiynbuS3pRH4Y7EXEM6v6ZGaqfFGK,1077
5vrhAdjoTgS3jyPUatQH95iiAcFDentjuHHjFJHGLMgc,312
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,291
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,204
4ZfGdyUcrGxQXFdYyzbTujFhh7FnXQqhZkxuyGDh3AcB,120
GUYAaAUUoLWjrC4y3cukcvBrvi4811Y9gizgVFBCBeeo,102
8qzxTo4QPJEfFTteskXadki8upTcLVydat1G9dPE6SYm,98
HeRrfxkQvrg3whUfQZvhwAntquYomy91mLxwk9MSQiHJ,87
5eYbPY4VygDY5hByofieeH6gXwoPemKPoxzfT8GwMXWn,80
Dav6suLg6CwdTMqn1ZYCsJfpbeUgFqKcG6AeY3th2LrV,72
46M8u644usxVs9VS3yAYrPjtx13Vcff9B3GdPrVaDeuV,63
BdthhqzBpxMv1UUKV1TWx4EjKuYaDLC9rHGBjhsz26Ar,60
8oSXNL2gPFrB73kREq527EBdnx7PYuAr7TfiEc4qteqR,49
DVfk3X3Rjz6BDdBAe3BnNUneRUMGiQvvxuuQMyyBqW64,46
F4ghBzHFNgJxV4wEQDchU5i7n4XWWMBSaq7CuswGiVsr,41
FPqZPuc1dJcepaec4qyghHVQZbQSXHRWnFEQgcuUjKgi,39
4mfagFFcqaCf522kX236UFS8uDWWPrbUkUfhjLX63awD,38
2WHC2zJebv6aVXsiViqy5n3ZiBBHhRYj3nqgxa5ut5od,38
Fat17gwcjojFCmkTbfbsSkz4ZpneWpEUNr7aetqfTUj,36
9JGqxktpYSQpAgTD5TTA6sUaxw98MXspV7xezVhvqcki,33
488kbZKt6NgEorqzfDfLmjsEQKeJShEt6tiSDhupiwCa,30
Cjm8h1qfidvqp983WUx5JfoxNUv48Ki91H4TVu6VUNaw,28
Gahpgm3JbAQika4HvCwkgnWM6cHwZxLoh4gpYHF7Wrxw,26
6F1MTU32FQimG4JvPChh1JZoTvsMbapTBeZREmPs8RGK,25
Q8HktGnBSMy4aFhVb2ZxAeuEoY27QgUPv8fEQwZK1Sz,23
8UjgCXwMnW4HkSuu9v3BdU3L3CdpMCmPppFqc9jTMshY,23
4jnKXRpvna1tpGvGmhkz6KCT2LGNA4GJjpBBHFV7feYV,23
6Q9hpvncUnCnGjSYQHxut51MDnWry1D99XhEbfrieZxH,23
GXQmwfkSsrgrJSLanbynYJJ5BERYGR1BYUvDE81aoKXA,23
2z5FP4zc1HbjKxWLj6w9TBySyBzBxuRcXXH1p41MGGv9,22
D2GbyURMNmQBqL5CaZ1uWENMT1QobKucH3AcJuWft6AV,22
2rB5imWaGGV8t5QPHC3L3Zsi7bc2Zyp7xz81bLUBmFEh,22
DBBNM3QrLq1RSr5ZBAA81Nx3TthwhWVYKWaAmQniY3mo,21
9v5jDixSdvXTp54CLipbSGWjeHRqj6vuzDw28iCjxZVf,21
2PuHhy8WB4EuSFWSmdFKtfHqRSNoV5VuHiooULU1wo7A,21
2u4VW4DQHhhqNiRrdBMwLpZsTbT9gptKUNFUpQdYTqqz,21
Bw8gsVtJE8UvyoMypVSGHTRHFG8C5G8JDHdKEYsV3v1v,20
A1w2KcdL9SG2ZNZFDZJT96Dycpc24awVk9j2Gv2pCQUy,20
HHbaTvZiTJdCqTUqHAKJafazSbvFo1vB4KuTQor7ZNMh,20
BTcnpTPKkQX2XyqsbBB9Z7qVyDXd9csp9dUbg2KSe6W7,20
4F8Vs5nR7RHJKHLPqYsen5qQPY8AjcmH1F1LLn6pxsrg,20
4pUQS4Jo2dsfWzt3VgHXy3H6RYnEDd11oWPiaM2rdAPw,20
BPXegPcDDDsErMPQLtpihMo2b5srWm6L5xrJeDNeCbDg,19
GiMZKQU4dfXeBix1shg3noGwRyxRJBFAXnXTWAVKMVVP,19
27DLQWGbAGhFthzioPNDaU5M6attxrN8MyGucTVkTnk7,19
BDH5uLxoFoi7UACPUjLqQTkpaHZpmwmu9BQNBDifshza,19
JC4AR9x6gCkvP2Ve5R3sqdPC9MU51nGuiLdzKQTyLcBg,18
HH9HPKBWQwCuBQv6f8eWtvAvja1rVeZn8LgkZzR62G66,18
GK5e86xbrGdUgzVqJouBJz3GduF2qJkLXxseZuqMNEHM,18
4dhrmaC8aGjv13krgDnHm72wwZxGR3YyjM8jMVhpuR2D,18
2wqW5nHtZffzLQfSv5AG4h8FpLtYi76oRQoLnqiF4aCu,18
