owner,nftmint
924gGqvK9snHzeyordMuSBDnRikqq5tVo5WJMwPS7q8J,JBDtA4fPpEJbHFo1Xh5Kn2SdvWUyDmZS8j78pr1vkZKH
BURNrAQ98uSQ4BnoQfFn8RZYKiSU5g3Z1vPEqh4dghfL,Hr3CQZojUse9kiaGqwe9fRHMWUhsDfw9kVgp4YufjZ4z
An3mVjmmrCM33s2DFPoctycnaqH4GVJfsTvJm4ZUFnHd,HqnmVS1XsnBj8aqSnSRFW1m5g8LYB92LK4Y5yTTS164u
G8dzgKGozPQj3fwJAeDefb2Wjao9M75bEo1jegTTKRAN,HfHAZzwH1WYs3iiWLPKN5o6XZSsQrEGR6iL7XRyWFscy
924gGqvK9snHzeyordMuSBDnRikqq5tVo5WJMwPS7q8J,HGYu3mFHbbgA5YuCJF1PYVoVYTEn9zujcJLcZaoUDgsn
CBXTvjSZqJvux52tZHd87NHmkFN8eyYkyDMwPUwdCrxA,GyoqARAj6Hvct3xWWc6qYWSBCEf4bPQ1P782Zq5iVfJP
B4Y75fLqjw1nP84iDcKWFEMTkoyieFogaCFCTErRxVRk,Gszvijx5UaeyXP7JaxffsUvuVyTh2NquGjfMRRr24W2v
924gGqvK9snHzeyordMuSBDnRikqq5tVo5WJMwPS7q8J,Gppu9BNy2CPBUmoW5FJgFSFo5Lo55iLbrNHRWUABrrxP
8XczjaW9PZZnJMxHwUQAPwyyMymMDU3SWoHbSwtQczEK,GmoAkWuquZKxD3UovZhwC1a3MhJSD6byZQCFVdEGuv48
4dfEyUgW4gfYEGFsE94NuvVrMyiheFSPJMuDxYPeedYn,GkYSdUJYtp8oMoKdiVMp8xGBT2xCMLGeHM25jc1owivJ
By5xsN7io5Av4iwqfRf2MVhzEXLwiKnKwXxyYEjJa5z3,GcZw1ms5zRs3KNDxRMZfSQ5y4L8623CqH25Xk22HrTHF
6cGWjKKAFjHBjprzH4boFpa4McQLw3EguKycepPnqtiA,GZotYiKN2AvcvWbtowmkZhkTMMCMShZ2WZKqr22QEYU2
6YcTZfX4cHeYP25qRYf5EJoDzVroQEfMpazJZrF2DPaA,GTMnfYrRfDcgnEVzDA7SMU9wKzDXuHJJCdaLArvGttNU
7BZVU7TmhkHHiKPzJSaZgJkep9M86zG7WaWx9Kkgz2zR,GJNPiVhR64EBopUTknrPitgGNWpUPckdqk98XAWMyA91
924gGqvK9snHzeyordMuSBDnRikqq5tVo5WJMwPS7q8J,GJHuj8bCDWmH2ft8C8NW1oNjNFmQ5smCUh9Fs7PcJwPN
3cvyfMM96WK1asYDBXPyLqjcQS7PjX2bdRqjgthBQFZ7,GGVn3NMAAiaAGBMucxsmvqkJryzR48gQcJWCSvwtUN3U
924gGqvK9snHzeyordMuSBDnRikqq5tVo5WJMwPS7q8J,GBeHrXS8QM19jtsy4bUSZUNsH5ZDeWvptiuCQTr156DF
353Mr11Ty7h8dyUnircgUa7BU3xsT3WWssnKKMXRkkHN,G4en5o8cyjG42dyJtjaCxXaKiccYd7xS3kmPBvLLuo72
