owner,count
,1475
9bxVu6rytfi3C7EsGZVRHD1cysZC6YhWRpUxWC99YHjS,22
FD8xhFsuEqhAMD6EW6HbCpuSAr4dPvq12UrCTbu3pcaS,9
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,8
C1DhubpfRZgGd5W1PFXqJGzMocMfu4Zj2fpPqoggYXAi,5
H7nP2vjm51bxgZrdy7LVPHDoJ9Z3cL7HR12qaH4FzKrR,4
7BZVU7TmhkHHiKPzJSaZgJkep9M86zG7WaWx9Kkgz2zR,4
CHPZwhDqz81b9g8BiijkdanSHBzUMFd1QPXcPEjG7cGw,1
2vJToyj4bgct6URXyW4yUuzQQZno5QT9m2n122Qsyogp,1
6ZuTU7BETTLQfHaL2wbQQy9WJPVDpNiDecaH6tim5wXQ,1
2GipuyGE9hGHNZ1SdYsFwrKs7YY3FaotUm7MdPDNfWW3,1
9Y3fieZnNLVDeqMHkqBCQvJwFQC3jtaGjqmELyytEYV8,1
HMeBC84tKUuHcHBT42RQG7gBiVnTF436xtJqcURkL1ew,1
CP4vYgvq8fs5NSqHV6Eif8mDJ1i1Ro4fpxWuSC7v1UYx,1
JDX8k3WFa2eBP2xcjJeVNenTCxa6EKviDUpCEqwvKxWg,1
