owner,count
A9UPk46MGBtqLa53cA6J7PCMr1s8uNzzTx6XGf9AfuQu,70
F2Pv3rFdGbpfUsbSpLceMecGdRTjzutNANH2U6GgfBqz,43
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,10
7dbWZkShSiNe74FMkyverHJLHjdUnykPxXSGoHfHF2Yw,4
Hjt1CMUksB3MvXrrHiF2vRs6LNHeytdG7r3rivwyHUi7,4
5oTVwqUVL7YMHcByUEVc4Cx42qgmMVepdXPTfukh4EW8,4
5wcJg549MeBvCQtxCXAAhaXtBho7bTZi44zHHGn2Cjb3,3
5Cv3NotDqbaL7egipvb4EuqAYmbfDmJnPEQKiLyEt27r,2
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,2
FweYVpbjvccrJYx6NxDvimxrLtju3XiopW2BbZGxP1KN,2
FBtxAa48gjNCAex6eDbb2dNVKDvYK4gDM1fFAH7G1dSS,2
HiZxmDHT2d9YVSVSi3hRZXvVwPafJHyzqymnJ2ZP9VT2,2
7stGFQeFBFnkUCsmThZD4yRV45JmC1S4ifAC86FYXL8o,2
DZ3CdZc5JZrkvMLnSN5tGAuvS76VE73sYARBDgJZ9b8k,1
3pLMY1gErygAgAgnQDM56Cq9UdA2U4zYAJfASx6RB9zL,1
3AXFKWqvb4q3YwyD5sBbgCEzmcyrs7tUxaopxgBPunbx,1
2fcdv1oUiQTvozdeHcL2pAowcdhmQWgGCCjb42Vueoqj,1
2zsPduZoKivEqvftbzr4wPKXGuvp1Ji76Y68DHVpc7Ao,1
AZW15m8LHKmuhXM1mkqDKXhnHJ66ehR3Ur72wd4SpkJ1,1
HwoF9Tg6iuFJ8JYxoGcwyQwKCCeSHgnDyHg7AHPPtgCe,1
HKcJJNyxvtbHezEYR2daMJgbuiAmuThn5vwvnCYEGiJs,1
gy9YWPxz4nbEnw56SLnQ2FBhTNCQD8Lf6iHp1LmS8eK,1
CUsAWTu2JokFbeJCcHkFxfxvZaqyiFXYCNKHRbgm4nak,1
8ShRqMwXH9t7uYQNRCxATDWvWiD41fxk7swFDB4hKpfd,1
61Yba9rcWhuNJAkRyiR9Ann4wXtEUgSBGji5Ey6n9Jpd,1
FDFt9xa9T6Xo3KACZkXuCPMLgnMWrMcyGeTKr4Hjd6pN,1
