owner,count
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,96
GsbbVoWtW959SiJjdE9n7vbdWwuYkNNANzwxW51Nub6u,49
6cz66UPy1hc3USNsvyESf5ihpYt8Cq6cqrXMASq9Q9dF,39
FD8xhFsuEqhAMD6EW6HbCpuSAr4dPvq12UrCTbu3pcaS,26
Fq6EUg6m1WoKDH7iRKy96msVFZasnW3KQj4oztYhvEve,16
3ym76AvTLrU6Sg7sDy9UpNSsxbubeTfbp7EWmRVoEfve,14
7BZVU7TmhkHHiKPzJSaZgJkep9M86zG7WaWx9Kkgz2zR,13
FzPtVFSZUAJGmwHvksKzN9qA2xczsR49yCpfZLThtcpX,11
CWag56W9RFaoc867ExMFez9jA14ELx1Leneqy14TgtnH,10
3jXmjZKksqwiTdGji1HNZwwgbfQodSn3vQ3PnyzyxPix,10
6XCn6cJ5Xp4AKyGoSLuF1yCkQENFVWqCPFadgkfEDQaH,10
BAt5sYgPAfPjHzBtwyQdNC63FAHrRhpjqWmyc2hSoW8X,9
9QWC6CrXAk1Zk4CLxjfYc27WuyC1zC4xXEvme4khWa4n,9
HEJQ6CXSJd2WnSuyPjbhWLqsFkPL2QCJHvrCzkYDSXdb,9
CBu96AEa3SAxrbaKfmpBvz2iMGcsfsfiPWdSRsbxH3C4,8
AgjyFz62MBPS7CgQRWqt2VkFUqZx3BYPtiACA44s7Z7r,8
EynbpHR2XGuqCR6HRfCpHYAfGNw6TbdWJCFySCXZNwgL,8
4VW6xjp2mrWTzEL1VV6DnK3vNAT9Ph1faYiub33U91PX,8
GkBK9oeBpWKNpdCSnVG42T8gEUQUKYyTcKXfKRp7neTk,8
5YN8WQJ17KhhyryEGPB5eBtnaYfnr9rJCrP4jbgQ2am4,7
H3tRDKUNZfNwNxjRn3NzqzGR1v6pQbGa3HW2fBfzgpZj,7
E5yurpM969bZZ8cJtM5o9HUMhCWbge59ct6GcE1HJL7f,7
9RWsuE77Y7pPi1nRBHByNk6KkzPdxGouDKQzdS9oASxM,7
qkLMqzNF3u8GfHKtk1YP3LDJzZVJLoqin62Z6dLXoMt,6
4BfPKdYx85qRUCKbzLNBvWP3GXTvFX5THBnEby2dv1yr,6
8wfCQ6SYScVHsXbGGbjE2r8L6bsjdVgqWcYAxtjzTBow,6
9JMhFhyvd2wAx6rmN67hXt1DFV9gbCDTfWqWUYzjEM9g,5
EZJXQJZLjqZ8Sfva8uqyo7Dt1G2bxW1SCwfBrqacXXND,5
FJQQRZ7UwcXUgw7cE1jA7AFZwm7P2GAUqYcHuDrRTGEV,5
7kix8GBbzipkrFTxbjjjgvmZUabttTmPiNQArupcsDx1,5
6cKxfa7hBfNobXeLrktrp2Xp1X9vQnFGoZi3Gh9kGH63,5
14Rwg83p6qUgegYzzaEX5BvRfE5BbLsie7HDyzeTqaG7,5
34cRcz6zgYkmF8arRx3djDBBcCRqiXGMhtNmvVYZa8MH,5
G76ASrLyvpAD3Zk3Lu2axJoE36QzGbxL1RK6ganWwWS2,4
84TMkorAtfr7VY5x6XAEBesFVdZncoXMvJXQiV5WHjc2,4
3ao1uckAhZGhE2e7mubP61Jhfdf4MfBkGKa4HfYrvYJN,4
9pnaxsLGvJyCE3mPQJXJD5Q57nuoLgfDhfNJAm5ZHB72,4
HaZVjw9uFDg9fuVgsNzUqbNGnacKG9EwRyNvkwcsdt4P,4
45a6jRcsnC9yXF1zzvu2KbqFSDxdtGA3hFigoC8NZHSz,4
4KyEUeNAdXdkJhnpkdx9VhcvrjYiLmAekmwu2sv5ZzKy,4
HLFUi9uCoRHmjwY6ZpsbCEjJUKdq2KMqaCXRcbMNFNbo,4
E4zj9asyb9GC2pyupzSfepgypaMa7HHhkkBswEK9DH3X,4
HdQAETnMYJwJeCDNgpym6UHoPLmqwcZTtforaCcRQFuL,4
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,4
4iGz2LobfjnVsh8pw2QbAyVjAUEkj2TNKHo6Eii3fe6W,4
AgjRWGZURNd2qUsgXrmpBiuafDksRu24ujc26kWJD7Wc,4
HkXRJu3v7969mQqiNX1FicXQrtimDddeHWJj6Ctk2MRL,4
HdBsx3pNXy1f9RJHH48hpQ2b9qk8pN7DsGYUGB3VXqwk,4
FkzzC8GsBR5YNQjT8eNtB3SxCEj3dLxWBf7vNwcH9N84,4
5mwDoCRkTrht3YFr2LfLmU1Cx9ejFrkUKmBmEqoLARZ4,3
J86XZV9u8BDRgzcmpGdfA9y8DJycuqNUvmcdPftqmTMn,3
GWUwE56FHRsF6GUi64KCYK4Qqt9QQp73Ko5BiYFa9QQv,3
E1VabMxxAnxZPnVj4nj24F6Z5eaRihtwpk95wGvM3y4x,3
8H5rjKnp9hpK7DLWuLBFUGPDXgf1pQbGLkrx8PrY1yyf,3
FvA6BbMpDHyRAHZ6GmUgHcBwviuTXpUXtJVdj2aRyJSM,3
EXAJUwV9s4Tz2SBzMoWQkMDcKsCjHgK5NDq1Hf8A4o4N,3
ZSduQn1rDcc9atP2NFcnjXm56Bu149LRVjj3NXkt2SJ,3
6YcTZfX4cHeYP25qRYf5EJoDzVroQEfMpazJZrF2DPaA,3
2RGY3GKw66FEnVqdcQb3cJkGKtxAywDcRrrhD2qQgfFk,3
BMScW5Xi5hpN7Kk8RfiCttW2rgBTBYJdxAk9LrhAw8aJ,3
HtwAy4TEkubk6evYpNXiN8TcqCf4rUTC4iwxEENm8cSg,3
Bjg2jp8DJ4v4PeicMvD2FSgeqAudMKp7Brt3hmR615DQ,3
32vSo3pDxibfEDnW1ZEY4YANvnZWav5LtKqTLgK1ToUj,3
E62Aq9dKX2YiujojCYG7J6aSMy8Kp7KUafoAMVAa5pRZ,3
BkoPgJCiuCZQvwtJornY78bfe1o4rh4tfqqJkPVh3J7M,3
BtrYyM2kbAcbVPKybg9fih1voxSxEFGouao81b3FeJYA,3
GEdsNLK9G4wcX1M4vBeAEKZAk2Et7yoN98Sb4trWE2i9,3
jUWemMaTCmVPEM3ZNu4Q7DYawgrHZV1joZvrEmRGv3Z,3
DtQEUpWPBDkTzGmwvpqv5t7GZw7sngQQ7XzMa4oR3B64,3
2wqvBgWeT8nFiPnrCSn4cBKRjmmdZvWCVhPCEuQVJuUe,3
7RbdytG6B3wZ11PStJymbKeRFUDJ1LZQNpCYq4KuU27W,3
BYfCookXN48KztS5Eanopt4yCwGfqgQqSgP8Q8pHnQhV,3
H5xoajYcXEpauwbXjy2xnZ5Bo81q4sFPhZTYhvGJFJUH,3
HGUahmwb3ufwMVd2yiTFQTmSeJQycAAunAdsM8rTdfiw,3
Cv6ySeNSYaHdHRzZJSwVieqDPRu3Ajk96ZTyiz5aHSN3,3
6s4qiV4kVVawEvjf8q1Vs6roy4y5eXDr2vrV3zLg8ptA,3
4JMQ1gj7vEr7j7dVW3YKdxohCmdDayX4BJMnRf6eWa3L,3
2ceteeHWhwdhENHfhGTLfimc3FAGRpPbMuCafrZGxYri,3
8dX24Fv1DReUBcaAys3RekkqYpw9VitaDWs3mPFEpZSV,3
CUv6ScRXcDWFYZnnXTuHLaqzWVdmx4NoKHm1qyWCndSk,3
6WXG6B8neKyN4rSvqry94oNp5ShfoEt3E2uuoxipbAw4,3
F8wkrvJLvnvrBR4y5oeUbUPigdkdFgB9oUfqdPw4obwp,3
3Wx1DjgE7u5GWX7eiuBV3VLSMN3SZr63RTa6EiQaJs1a,3
GvW92SWxvXso9kjdcXE8JHpDtneDLTLARBgy2XZXAzgy,3
6SWLxhchbweCrzmhFPLPHfNVQ2ZMJqJS7zi4JsFmYc8,3
Bv9vpbzin16KM7URt1WzXx4zTNLDHY2pwpSx3wpcW6jW,3
9uDdkQWKuKzbe95ajZ6XqY9EXzhu7uLzq4TQYb6nfmZw,3
295Kfs8mUG9oGGHJFc4oX8a9XB4wNhmAYzyBhkeMpLk5,3
BCAX7T6xMFfENtbNReEb2Fhq3WukbaZnyRChMeANrG8n,3
EXqRm1wo1c6HRdbWWeHV6RccLyvxcsRPGuZAGzBvWABJ,3
GwtDFY7aRARbwj5cqbUjr85JveQdPgYWVzCXRxqc4F93,3
9FWaKnmmZisDNWDFa35FfjrZmYxFa2vfsreKh4CNux5L,3
CUbHSWcPfiLfH6xhMqzD7jkT4fSGYmjdgTFBwgsXcdsr,2
GPZJE1aAjzg1inSu4bYh2VAQBnW7uxMDrMvxWPZKTByJ,2
By5xsN7io5Av4iwqfRf2MVhzEXLwiKnKwXxyYEjJa5z3,2
6TMaNDjid9dnwhwue3yFyP16zhBJy2uTm4nJr2sQBiRX,2
4cu6YktevdaK76SWEPwZXZkS1Drq2rjLFtjmcFfsWyzd,2
H134fSxL6MFhegHpKaSk1geo2odLeVxuuucpm6W8e553,2
BBdpEW7S3h9oScQa3uL43BKtVaQqFR8MyqvobriFZwAm,2
AGWjUDfhEg6Uy9eogZnuf7jkVHw617Vg9EuuW1SUvpF4,2
Di59psvoWk8TzG4k9Z5mvfGsESG1f2KtcAxD4E3mtZVY,2
AZW15m8LHKmuhXM1mkqDKXhnHJ66ehR3Ur72wd4SpkJ1,2
9ZibF2Ndhs4GtrpnVgK7fDpzx6uDXzd4tWECAnhdaQjF,2
XCosbUAf8xq5sffu8jGyaurCRwerYKzZoQUWBhqAu2X,2
C27WZaAwSinpTZwg73Qu7hc3CNXNACMWxvJdGYV8vwW4,2
FT6Q95DC2asy2PgYm8cpwDqR5pKxPHMWEJjPiWJ3HL9Q,2
2WEb2a1z15fYCUjm1k5Sndd2g7ZiPxAKZNstpDEaQfyw,2
TNA4wLqc2ohH6jsp4Kv2J4pTfxuAMHRrJHujicSpDRr,2
85RZJF41mVKvECVY4Z4VZ3NyKbeyRWxxFrmzq6sfQBqT,2
HES1F8jS5oFBikohHz2p1TvybCkTnQ3UDjNs3zdSw8db,2
GVXGRhV39VASBCnF9VYNFx2tZG9TSWKu1HL1yEvV1tj3,2
Tj1zpMeUmLVVrKRXSPkwQyJfz9C1TThqQWofnr81g6u,2
EH4VXprCZUxh3MRLSzx1pdXT1iG8GGCxL2PcRS6eayN7,2
5xBRZPKLPBLMN9whoDmvQRFMpZD8EjmR3DjPEqaxXEFX,2
EvAsGuzrfU4Un5J9pRtiKZN6CfuEDGs9XJeJwdsAxbKo,2
87bMXTE8QgAsCNHmchhQLYWYAjqt2w3fR7VRaLtR4FjU,2
7a91XEuYBNjRwEuu75PoXaujhdGodduRptGU7wqft1W7,2
AhmhTj2pyKmozMYA8R84YneTKCTo8Sh3T3MJcX6F9Sot,2
3R6Hczy7FokrdQyLwQHc6stDivXnWBSJkr1G9wGsqN64,2
7ArPwLWWSg865sscQwYXn1ViHt5jQFGpACyJFBQz9yHD,2
56k6izaUKwqTceZZbCtyg5hzSLbdcTWFsQRm1MUJuND1,2
35b5r4DWWG5bm5i8ytwkADbRSsiEfpD9TV4RnUZj9pdW,2
8kar45dgkuBrxuwkY5CXsLNccwPjAoxaXaAH65sQJaaa,2
U7ZkJtaAwvBHt9Tw5BK8sdp2wLrEe7p1g3kFxB9WJCu,2
GDhccb2DjTkpBTGgUgyxvTHE2uJNUNYkYhyMrpQET8Mk,2
9ttqM4BiDFg6yP8iVgaiNhHEQPF6CUZTbsBZE4J9zxgf,2
9LKMRMRRDd3AvJ8k75EyegBtAvAt61ez5UNNYi4Dsf7f,2
8qkQLEcJkegwaxKS3Z2J73NdQMT5AcnV4dqoVCYj2T86,2
8mUamts1TX6qqzV2AfNLz6s8dwNJXMtbQhuLnfcyF9y,2
6veLDahMn8tWazuUoBHnbYc9TXHC4WrKLvAZnFjLvzWW,2
8rFb9mrHhsbRZY5j4Mi39quNutTgYsU6kkpuf6fr8x9k,2
7qSH2cGbGmoWUDxpxy2a9zcQrQnnvxmTQqPsrAkLgPv1,2
C96mJkaNYDCquqPhd9S7oddZUsGkbCBJSyfRdBZg1dBi,2
AzuXpygsYDNB1MNR5biC8Sdg2nsSDrFr6F5861NmErSL,2
3jDQjoagh2exSncogiGSttj9fbFDzMDjfXCf62k3PKMJ,2
2cveEr85xiv57Rd51fVYVGoUvEUJaQLkX1w6t2cdngLz,2
2e8SMWxnWz2WwGPLf12uaWypWQGbtv3rPpu8E4YXFxxc,2
zaAagZpw817K66XYG7UdLy5YUTVXnyENtSMA3jFTQaA,2
4PTdo3XmiaqgvyqSAF1Q9NQGtDr1ux9yHfackdt4FN3a,2
A4qEHoTELLYhh9G5eR4uXafcATsYu1vQmGsHTmoHhhj3,2
GQk1FGpgAC64vfxqZWjWBCreTT4ZRNg3aLGv6JxU2muJ,2
84w577FRkGD11yWWiUF7Azbtmf9VVDGGCjWds3pqm95s,2
EKBsh461q8jKAeHYC3DXcUJyPcBumKN33sZ8fpNmVhih,2
44hsN6dXSYeFtHStaMBNRp3qCtqrZGAUT4GaY1T8oHx8,2
k9dervPKpyqvyM8A16zsWsfwk9rxmg3G33jUK8vF5ds,2
8eShpMxNrw5Mzwp6Xay5uez6MGyNtMssWJakUdk26nqe,2
B3NyyoWNzyzvpWv1G6a9gZJMjD1sTQBdZojBaH18mNjY,2
2ySnCKDw87CLGeXzpcd3GXQjn9YfEWraBMBR7iq7b7UX,2
FLm86MG1CkyCjHtnvU7VUFi7yCLCZv5SCEjAhzk154iW,2
7HfZXTYXZY4FVcnkbAfmwwEbKQmyVaCvWG93exYLb9Q5,2
EVLTRazkQWzzfjAw5G36ZeAKmDGErNSqKugaGEFPM3Li,2
6EaUcSgB2AwGXiEmGvVwEHMr4LQVRQnZMoSMSveDKXkb,2
9wcueKDaVXCYdpPvYRTodgKH5PBfjwBkncihMnhfiDDo,2
6HZ5BjrnLRkxC1V5E8mW2t9V8SxPhzz1RM8mBUQxxQ7Q,2
EtH933bE4hBmhjWmhXtcmymD5XU9DKdG9y8bevPtceEf,2
ByzuKv3BG41otgqAyn7GyFnNRxhsgHDv7YLzrLkp7knT,2
2G2U1HbwmNLb5j9HnJW8VdrJbqxm69CExKMzpPskeV57,2
9hfM6QbWek5DGwGoocRX7wVDYmgZAQCLTGYHhSededYS,2
DZgckDWNvTm5EKVuYTytg5RULb7Thpvjr7pjKUggvPbd,2
CkYUUJzNWLqsp4h2BNy2FrpQivadStgLSmqT61xMMqEm,2
HAagySj6bkLGk4gmMtJbg8RkWosYJkxXrRKdknxdUtjj,2
8WYRXiQXQSoAMw8A25HuTiTmkg2Ax5YTaBxmHZk6s5LY,2
8iGmtE26nBETcxiL6rp1Sn6ZJ8F6ZzTKLW6GL9BGPPHe,2
GGobpFk6XLf1A4jSJ9M8hznzu2UR8Fze7YH6Em6F45BD,2
6CTwG5efNf91vDMMYETSDyPiLuhaFPnDqpPRxZ5vUpRq,2
6rXGLWZhdAsoYs2mGEYCfm4nMQ3rxqbWx6c8syVo7hpm,2
C5orW5WBDHMKbAaKJxvAKPvcPkkU7SyP71PLFuWpWNYH,2
GJb75Fa8bc2sx7wdoPKaKmbovv5to73qjHK7FZQBhwj1,2
5Lp1odS3ywDN86yJhsgeEQgjMXyqiTvDGZcxwFQbLDcj,2
CWsUH5RAcVH1gMZseqhhBsjfBu3gBsssk5R3rPFYoLVs,2
