owner,nftmint
EP61RGRXBaj1bDurw1jgu8P4PEYoEyYPi4hdVxkwF3rC,JDyvCF3ozaNQuhSBBAqdTWEC1fmBtByjDKPyWvzuZfCx
7JNZFQbtKbt15pFwCcoT7GUwj7XGDD31RBvdUgxzEHNJ,JDhZajZKHxiddDjoEdY9bvXoLfA1LhYPZQ1RdeWGw9HW
CUbHSWcPfiLfH6xhMqzD7jkT4fSGYmjdgTFBwgsXcdsr,JDZbT65vfU7VwnnWLF8axiDTrd4GnQuXPrFeqahugGGL
5RofwgKK2hxuDk1C2WLWjLDe21Bbg2mTLkrCjFz1xx4L,JCwaoqJraaxWzFVwqsVdQmnfPXG8JAyYQS7FkrEoVpZE
GPZJE1aAjzg1inSu4bYh2VAQBnW7uxMDrMvxWPZKTByJ,JCuUXQEKSkiTT49mXzH8L3t1NAydNpCzYeNY1WhtoPdT
By5xsN7io5Av4iwqfRf2MVhzEXLwiKnKwXxyYEjJa5z3,JCbfGk7qe9bNopqfEfiUNEcZwZ1oJgPm7ASmTa8N4iDp
CXXd2dtZdGVykZLLaChkt1wrEZcwsf6B6bJkyRsi4Fui,JCRJGEXj9Jc4Co5j7PdqDd6V2EJ7WHsRUkGY6ezCeRDP
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,JAsL9BVDtJHk3S4pKtygM2tXaVaiAPrNvc87ZMJJjTfo
Ha4PbwENAnhthwspwiK136KE6atPJcPcLrrbjxHgj4Sw,JArE9vgWDGVTQcatrWkhyb6DLjQzjp3JefnhTDmbR59c
5YN8WQJ17KhhyryEGPB5eBtnaYfnr9rJCrP4jbgQ2am4,JAcqi9dZxuBZdUHTv5KYeEDfX6ZQXVAc2rp8pwGz4SbP
Hn9m5scPifD56N9ZZR4cEBuz5f2AeRCuWwhajXrFw1VY,JAAqHU8KJW9FfWGSGX6Ytb3mtVbCwDnosurfP8Li9c2u
6kkNfzDwviup1orHbrQSJuCRcgurrCK5w9xChZFQnzUD,JA75EyaTxsWqTf81nJNfPx1HzaKv4dso1E4CKrX5jonG
BgwWhBpFrYnhwcScdS4S8z4Vcx1CuEPguRxNF6JJxpAK,J9jfWHZ39tCVrfLWtL7inFUkUrMLNVQuxwvyaSdBeCvw
6TMaNDjid9dnwhwue3yFyP16zhBJy2uTm4nJr2sQBiRX,J9cPWdB8aMipSSprWnJTHhmCyiypJAFoAPgLvd95BsbC
CWag56W9RFaoc867ExMFez9jA14ELx1Leneqy14TgtnH,J9c7vNfWYGG2kBCP6JM7o98hXajjeZhDdT8XBas7ZHjj
TAMecSMesKnWWGhfGJHBeKpG8uvupEecDcHciQqCQjc,J97Rw3GXDZ2vtdn6EKydfsHiqt1YzqTQM8SJZBpH4Ghp
2vYgPfUaURavS26Xo8SYdKdEHaiGVggxYq9Qsf4KzL33,J7zxgcLaQ6AneBLptWZqHAVFBo7MZF6QjG9KiJA1b6DC
4cu6YktevdaK76SWEPwZXZkS1Drq2rjLFtjmcFfsWyzd,J7YQ2isQiy4cT8eMb42kxvg9vCzLEgaiFQxzJvgeArNe
5mwDoCRkTrht3YFr2LfLmU1Cx9ejFrkUKmBmEqoLARZ4,J75RAs7NENxCco1xgjBdbRewvk4m9NoP72M4jJ2BUU7X
7Va8E2vpYruzyeaKdYSxDtf7bcwWf68SMGNPwsoSfYhc,J6W8vFfwWMGjF4vCRbLRaVvwBuYQyTMbssXXpPxagFTo
5UrfvU8eBg23PAJxBjkvTGYbdr25wp63Ga8yN9aQxoBQ,J6GBiUFhVmCk9YfRu5FxWyfFrQuBQ7MqMJ3hh6Yg1fSa
GrdKBSetYHpyztAp5KfqUt4JDxtMCqBtRZmaGv1m45Uo,J5F27RdZs7ux6cA8J9nuBYRMHQXBWdxrya532wzF4ydb
H134fSxL6MFhegHpKaSk1geo2odLeVxuuucpm6W8e553,J4ohXSUE2X8anxyvNhXDx7u3hCeyYwQ8KrnyFb137bLa
BBdpEW7S3h9oScQa3uL43BKtVaQqFR8MyqvobriFZwAm,J4gqqEXChoAzxYJkGHZWjPm9CmiUy4p1ndg5nQHGmEMh
9zbtKSfgf9MGjueZ7kuWSuUXvnq9cgfYxjyVPwGiMpBC,J43ZB3LHRi8LWyJm1BNttp2rimSj5CLrXyG8eSuUfAWv
7XYdr2Lp6MraFdCABvvYYFPGrXZkAP8SNrDn2zp5rR3V,J3Y8N6HTqvA323yUKgQA3M4BziFmb4AUr2WVWz1veeSQ
DadrDEN7P9oEHjbCXHna9LErU3cQMWDGJdyDj6ZryZJ,J3RFs9gsmM5hgU3h138svMFms6qLGrG8fF6Uqn8D2ugT
J86XZV9u8BDRgzcmpGdfA9y8DJycuqNUvmcdPftqmTMn,J34zYcx1aRFonrGNYXzUhgSCPGj3FHtfkt1ZttYZGe5x
FzPtVFSZUAJGmwHvksKzN9qA2xczsR49yCpfZLThtcpX,J2evkt8w1zWAMnNNuE91hmJtUqiG3wnXVL4WaDf7qyss
AovPy4vNnz8Sreji7e7y64h67LbdAMU91238VPbrnUHu,J2aRoFQ3sUCBaW6gbh8U5JP7kYxyMDNVyRZrdLBeG5YF
Cs5CNkvKM9Lgwb92QKYvqg4iPUmzK2iNj4GgcZt9MXz4,J2VicF38AfYAhH7hqDRePGAZd9p2CjF5os83o4wReahP
AGWjUDfhEg6Uy9eogZnuf7jkVHw617Vg9EuuW1SUvpF4,J2SPbNCRSHVZPoBBzJ9TEUKPTxk7M7uupV8hRpfbm3do
G76ASrLyvpAD3Zk3Lu2axJoE36QzGbxL1RK6ganWwWS2,J2NPzzsnJC81XwgbdQkgVMNd8YZZBVh1ytPYxe7vvsNt
FD8xhFsuEqhAMD6EW6HbCpuSAr4dPvq12UrCTbu3pcaS,J2AHD7sicHzZgQa8j6UmnadFSSzwZhsUxGrazcN1mtHv
Di59psvoWk8TzG4k9Z5mvfGsESG1f2KtcAxD4E3mtZVY,J1SGMnLX7jAYeM8pSLSTRqYvww6MtqpgdDBY2xvRZ44w
CBu96AEa3SAxrbaKfmpBvz2iMGcsfsfiPWdSRsbxH3C4,HztVQPTm5JHXug7thyR3jWRutickMSKpt9djZn3gXYnZ
J9AZoQGrWKFwQNVkbzT93yzGuBG4ajnptA37HpsUzFCN,HxkK6UTeCc9HCaqNA1dqfq1AisU5kzRx2y9VWsbVXa6b
9JMhFhyvd2wAx6rmN67hXt1DFV9gbCDTfWqWUYzjEM9g,Hxj23yK9tnXTPAEaDhAzKt3ZicLiZ8cfZdbqgu2nXYXj
DQ8SsMzud3jwEg9h7DwbQS1nJ5BWYb1Y5EBocSFt8kko,HxaChMTh21kpNuYtKBpPauFPFQ1NU8B571YnsFu9S6Bf
CQi5SMtv8jS3WWNigHLdxoUpfjsxkunwHmEMxiMKj35k,HxHD9sVK1bjW9imszwVagLGyjiaDngjZDq5hDKDndEzX
q6hdrAdqpTJd4bB8zcTGm1AvBFe9tc6g4vdA14YnnGt,HwoPE6NAhv9nuCWas52Z6Eie6YswRqw2r47xxj6fCLjY
AZW15m8LHKmuhXM1mkqDKXhnHJ66ehR3Ur72wd4SpkJ1,HwkpP7j8aVs1x963QB2o2MBj9CtzcU6N7tyNtYwbst3Z
GhgZ9wdtyKkhTgvbmrC9TRpDJok8AgfWrEwVxmATjLng,HwHYoWsE1coFjM8GMc2Df8F8iQZoJ5LWo5DzoNKKhufq
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,Hw3vkbzS94qPbdcYs4dMVg5R8fxh3UwFMMfCZv86oa9Y
qkLMqzNF3u8GfHKtk1YP3LDJzZVJLoqin62Z6dLXoMt,HvjD4UtA4EZRGkRYsosoBpuEFv1KkRKpXou7gVXC1jQR
53BAQVAFXqadXvfsiioSuuZpF5HdyjPgLVS6HXamLp4p,HvNdn4V8RDhX8GN6ZTWCKWpGVNNkVcWsEeyWkhdZL1qH
5PdXpjLwJLA8GFjMUJgCnL1GBtH2AJNtzTU8HWTuj5Xw,Htj6GTaMCMFmbkHYZ35bsSwQDzzTS5SGHXWWiMZQx2cT
GWUwE56FHRsF6GUi64KCYK4Qqt9QQp73Ko5BiYFa9QQv,HtgwUDCxN2PztZoBfy3NordDvvp2xx3aojcmMb2Fspuy
DCJ2rZa3kte5dMcGcpYMTe9WZfdrUhLpABHNdTrUv6dN,HtHv9FDknQrUhKJfK8gWg5UcL4VTLCACQMWpM5rYtVey
9ZibF2Ndhs4GtrpnVgK7fDpzx6uDXzd4tWECAnhdaQjF,Hs9e4iLoLs4NznuEMSsS7SUKZcdjLtLksQUc65CqW5hQ
BJCxCvaXQaaKC76KgYJwoKfBqXzgddvo7hnmvUtsL6mj,Hs8Z436GJpZcXpMmxokNB5DxcU37JVZpMBxSye8mAvco
