owner,count
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,316
HVDbpkYt6gJdmtZGN87qchPpHffn6w4AiXbaVJGBESgW,309
HqdjUGJLfvC1PweKF2qEscbMZBuFAXUuLw6i54D2jH9q,307
A6Hmjwb8NVXk2m3XjwcGDYGntJJ2GuiNRc97E4RBWkjS,240
5RncxqCkhr1aMQGQCHveLWNv1KT4miyTuQ6BpTXDjNah,150
63suHrDVR2bo1Q9Kd3MAE1BQgaKq6Dudj1j7KRzzxAuh,141
57xdpNW35kENhoMrQshAupE1bhzCxfcZ4onhf4Hh4C1k,140
HoMNrEVoLxSt7eYKZjr66L4GKPLBokmQtmjctsJqxvJE,116
CP8tp2XgvvgKzvnsefBfaGYuaW68sdF1gzjKatkxgkn1,104
33dLLQeT2C3zQNsX79sNvZ7DvQJqnhXUqFTjyeUjzkB1,102
6tFP8MKpjLGjLWzn7mh8NV4MSeGTgK5HUR7P61pUHkbu,100
DuTspaqrRx3A8vPdLLP5A7Xw7FsPXpUXCFqhwthX5dA2,83
68QGxBitgcCB4des5GzDm2cpHLseUEXsxFZ63edLeppi,78
J1bUJwbsACUw22Sr1MRr3pdUFKzu5E2ghgrms7h2tBRr,76
C9zb1pfeaNLPHC6qFvmZakX6UaMuHZjSfm7gZZLC2M7Z,76
FKfLqxvevVGNuDo6ef7jEtJ2GT1ptHPfzZeYtMwdWsoN,74
D3fZR1MFdbRpBAKvL6yLREEznB1keQvesXgweT8EDjuG,74
9HM4nYLACGaSFGKwTgMS2yTH3yBrz98PwvSi9q3HiUC4,74
5VPLKPgAiYFxB2Cuwhox2Y9emZdKpp9dhMp1bB1LrnTY,73
2E3AQDuXAZxWNvVi1qxumjhHerqqvgy5snn2LExvXg2q,71
6NT4VihZ5z745T6f5yjUs2rfSF9uceuAdfUtxUBSPYpD,70
5jBDDTQ1w9MF6ebrzcDUhZQRmiYDR7GNJyEmFyQ8bXKL,60
313PtLYWXuUnmVJj1ptQ28ni8CgjqEmit4TX79DuWSEJ,57
7SiRwQUxSZe8GRoJJeNJ7UkFHN1Nxf6hpgYPVGxQLfiG,51
5mZ5MDUCmgR3SeCthnrXV9HperAJ2CjK5PckUwtfVH2A,51
hTn7gf6zCVD9fHmEFehmNRKh8eCBn5oDERetAGJXiJG,50
H3cfTF313ZidQQNACL6hEPosMw9wwhgvGRS2qMnbpMHS,50
ET7WB4nNUxpCG29jkTmPTR9PHV4HL8jzhgX6qHPLxVEJ,48
BkzDsCjVySez71qfgQyqtiC3Rr4ntJ7uUSnourh4fB8y,43
A9dazvPGEnqbeWfJ81P3CUacsy1ngNc15CmaQrH7pbFy,40
BCdXHC8mZtnfdorFbHigXLrEHNs3KfC9BvwNu9ZKn1Ye,35
GNqjbB1oPvievNDn8ejXrg33W4JmRHJM4rhjC3S98uq3,35
EaoH7WtkZaVZvcTHTjpXDsRoSuwgwHR7m2Wxomv1cHUP,34
7xUs5WAHaTqhFHJ5CAQUbQh5rhLukw8PhsKUp186qTdd,32
CYM1hZRhCPC2j8vvTg5Sc14LNinXNa4TfxxC1T8LA6ZF,31
CgG9auDYzfaB38gZMG8G2gdGaK6rHyWsD7XCPWqW4n4u,30
6WdGdHv3DX647zCXLf7irP56o4jh7CFobMMoxb5WHthx,30
J1bUJwbsACUw22Sr1MRr3pdUFKzu5E2ghgrms7h2tBR,29
vCGmz9PjfTrMh2uK23RkqToZ1Jn2yc44D5KiVNaMt9S,28
5SkHaNwk2m2Pwa1Hvuzv8z3vTGdkttZ4QX5vAnomzDJi,28
FWNpUjepSEKBkhJGRB6LC4e8hhCbwGhXdWTmA9YGo1U2,27
2KArofRpFCAyBQhjJcD6LKp5nLebrvZikRKhVV1JewVq,25
BZA3FpDEH9X96oyfdXLTA75REb88wphYvLT8ALnH4kNK,25
BdZYTXJhyCJ1C8PL4SCJUbVG21uPPBB9FLgSdymZ2qu3,24
8YqYkeXja8cGqrX16E7qFKVcyR1jsjknZNoGdaxkcNQA,22
F6dfav2HipYKjDa594uVBG6hhkes5PrM3U2rDebbcPye,22
4yyZjVfi1XrT5Hf2RnAAowxE65hJT5qXHjXGXyNwTfuc,21
De62t95s8ZVN56XmEJVsRQEsKtg6yJ7Q4pGQoM3oJmcD,21
5KdYNQKiW6eiafqREYLVymB4CKTUyNJknmwm6S7yjMGg,21
5geLuZER5SobCn4NquUqq1gehTUZ7MHrMDtbmZL2Efpb,18
8kNJ6rP2Y42uJsPZoYJJKdQxrxZmBjiVDeAUZonA44mD,18
BkueZ1HsrBu1cUeQJ1CT2pRirDC7JFkePU65BN5uihQp,17
3M3E4SkzK5KYwatSJsjjJgs5VJsG2HhkKuEWARQXjYbU,17
H87ZH1epB9x7qEB3GnVDdJ52o3kx4Zsa5suEvP1fVmTB,17
5x9zL39eoMnKPHhVZNUAvSKrdbhzVoAReUo2zaELBVBQ,16
AntECZsM96Aa8mEM5SyYMhm7BJci9xLeehVPtjvjqoAr,16
9T2XLyBaS2KTbZx4sLcoYwcSwa24EK7rntNoDpM8Pnvk,16
5UcXwhJ4N2oNcinLZpFf2tLLh8hbf7W5FHtpiokX5SnW,15
2jAxosafCiJxyjqxAjX12uXdgzG6CYJGsDcKtXUPqXxC,15
6zZ6CNYErShPT1tsU31wRNHQpAuEitqpnZvpLk7SMejz,14
3c6pNTurLs7BVroJi9kkJWUtCKDooddcpBySTsk2Twu6,13
qVdmasZcXm7hZgVt1YVRHWhL7ixqENBX98un4nJ3gdc,13
5cKUA3q5zkruadNEHVpLZAw3pvApq2Jj6nN7uiPWw354,13
HTo75WF3UsiqesoDFUMvam4GussXwpBoZjDuHQpVXVza,13
9MX4H5Y2ubAL6xBZzpJYxNS6NUtw8zCmk5nAcgnRA6eV,12
7AJqz1N7ZwfhzNhpR3EM7DTrDqcVuBH5iXpwNARShx25,12
G57UnzREmsjuupYrnqnyvyKztLh7hUFCcW2nH4HLdSXE,12
BT3gy5eDPGDqPJuY5r9Rrs5RLSsumYPfDkx3p3gHqT1Z,12
AzReFjHiUTjNpaRDEmZZJCJSMbPSDLSvt27ezMcMMFh9,11
3ukVQkntQ1Ydosb5yMrwA7xuDbbRij2JNSb22zYLWCQT,11
4ar8j1iiCZewt5Do8GrumiekBNXgNmujCdL53RAiJQCK,11
