owner,nftmint
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,JDtzcP2cbcV2EFe9bvQWb3ZKyDPiAadhQj6xwiNpKEsX
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,JDs9mz73TrT2fC3PW3QAJuvaQgofuAMNeGBsCY3pkyGP
95YbCH3BU1y3dcCKMaLDZNnymQYAkrjnBo2PYo1DYdE7,JDrEhHTVXzpskgiqvVvXf1hrik8aAgb2dfdXGHgU8wX4
2hfhb2Cx9hhRxu1jZhMQXBQn19w7f6LDDwt1rRRXPFct,JDX9JnqLjGGFJbS3unpBXagv8hJX3AWg2wbri6xaFzCu
BMosxp8RFKChPP1gKBejU5gZtrw9bQ5BJgH38aqFs3eF,JDUAkf8omRJFhPzdM3JUznEjBhbCJTFm4URUkqau7Afj
DDCWC5rG6EDTQx413L98rnB55ybdEphzdut1wYw3iTiU,JDFtoqEBZrWVFZqzkUxGxefx8CWtz6PQ9pFxb3GDicRT
CxBFgseTGHXE54JwHTDj14PNpSLb8FaRM3iymtidcrCf,JD8g5ZrLKAvsDw1F8aDxX5b6DD4rvmG9Qhb1SMBd5ZHU
AWoUGQ5yx9cryq5VvbJnAYZaKwaiLmnHhrxFur4GudFc,JCybmmiR4rPBvN7NzWbFz13RvYwiTjTJwYgoMxaQ5DJV
GGT84i4Xc52aXPndFzF7bBuUteokdDeTsW6TfDGLJDkE,JCsoU7Vyk3YaibG6q84icXWZ1Lq3HwDpWBtnzBDRDDXq
FvscZj5yuUi4iokiuDHtEnwhSS2Kw5rnP6L6gC9x6eG2,JCGbFpz74mvRCzrr9Uxv5pCCF2mpt6tHk6b5gk2DUtsy
7wAmG54BKcxj5HwbAQm4383FZcdZLFSZCJtPy6BkPWyw,JC9abjSZQGandhrpsp3JvxcZPXAGsTwTNi423ZWSLiSu
DjXKETEYzkkG6YzegWgy78vpaPH1eBxaiGTVoQrkQNFP,JC4co6bAjXxMvc8VfcgtfVRJUmjaJBPYbS1XyzeQveqz
EhHCCb3QSFg97h66CMcvrkbzzJA2Nb2TRCWGnFoQ6RcG,JBotFFauuNdoWMMNWEDUn8kPgsDqAUtKGPGf5fMxnZwj
Hofjjopnnn59hpKYQgy33WQ9qbPReyVFQQTXgYGswKAL,JBhyeTVdMkvAvptBZiXkrQ2wsk5RiExhqCPoYnScz9ke
3mPpvtMgZ6qDxo89tN35diMGVJCnmCJVSSsN4G4chMmg,JBbtauCdJreDdhfv1R3CfKKDpkLqNLAbdJ833kcW9Ks7
ComZZNn3GCnzu6GJ7yzuzVFJpx1Su4TdxGvFNU8XhauG,JBY11usVqSa9Tn5yvBMVG3feSfiRb3pPkj2LErxqHxoT
4iAiTV3YEZeJFt6Mno67ZWSDZmMSb3yRyScccySmhs18,JBL6C179H34E3ENF19dTvWGuDkUQUK1c6Jrj6tjSJsL4
R73oWe8VZtxYgmoXYCRpS6oif8QPPvVaK8FjnVavQsE,JBDnaBQJrQ973yLbri1evTHQmbofDUG7tX4mUhLuQWht
