owner,count
BMquu7BHXtNokuW5Vaa9oLniLH32bddVtScpqQnRRU3E,3
EGNPfLtNe4WAcAQpnNwmehmEANCgj7FnqLUHfT54eVgV,3
7MLUFSFhNzk4H6HeZ8eNh3sDKgkTCdfjvzV4iGJf6sT,2
HoGcbp1abDNPfRcbtHmMSjxkW7jJxmKrdTtKWyND2VPT,2
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,2
ADmoow1bAUR2kT3g2Lyip2ZWzL9qLCmq2uTrJeuB5iRY,1
9MSygCP2RKyYEK4xdCtASEGgnfuJYgcg48khe7oQuxfW,1
CVjwPVFAa5NzwMR28rMwUxMkzeLerUB4bWkg77q21DUe,1
9NSX1m6BzpXmMhdLmqsxWkjdAkaxzsmNhmTKg86kQxrR,1
5QbFEV9X4Ewt8Y9sM3UGvbczPhuTj754Gt49nM6Vutkr,1
2VYMJXQVFmR9eBCeD4UQDiTMhCJuPL3gnAquYXssVAYR,1
eL1ta6XJCc84UsK2vt3ZAZsrojs5EHuB5tfqadAhPS7,1
95YbCH3BU1y3dcCKMaLDZNnymQYAkrjnBo2PYo1DYdE7,1
461XhhiRwvfPpe6eCngcEQMpvCdni5jXeDoJhvvccMp8,1
CXdiW1gCMoCdtiHUw6XYV3kMaUz99rJkr3RTg8s1gLAh,1
bjPxWFQnQiReyoM9JFV2mkqWLcBkSLTWcNEHzzZUiTK,1
9vwVbQL9h4UEDJXfXtGZEkKMZyii6gG3EL68TSbVBHFK,1
AtGuTwYkrZnUPsKvgqAF2nbQ5iEXyzo5M667EzAqhVyA,1
JA9Q4FKYKTgfUq91hUaWE44V3FwbzLaRSUe6RCHrBByk,1
HP6gVgELdDsdMkuSP1iVAqcfBS4SGkFqQ4AKbeD7rr8M,1
J3fyzKwP5jdvxpU5ntZ4quLSKT4S4jQbZEVywzBrAeJN,1
DRPeMowpMdNNLzmsq6TydXPiMUosLAgtcJGmxPAVDNYA,1
9bFZXi7h3MMuhUYmZZuYTMZvygxe4EL32SRwhRzQNUZC,1
4pyMtmjarG7UAQAEqwt68yhF4VUCrsoY2pQapZG3uR1J,1
H2i6UhjoxJ7LumVM3XWEfhQ1shFfS7svBb1o6PMjJJvm,1
ABwwWSPyBJvsNZFd2iBACMYP1H5uh2JGb5ASZiAnQZx2,1
3C1ydanbaMbYiWFWxGcc5oi4DUgbyHonbDPqUKMnYZpf,1
8dyTAvMuVLYPpeaiMXg6PnSokVzhFgZfBMimLboP1sPF,1
