owner,nftmint
bjPxWFQnQiReyoM9JFV2mkqWLcBkSLTWcNEHzzZUiTK,JD7tMsofdHoa25hCqPQGUTkax3VCBTJa49B6AwRnk4L2
3D7TfaWGd61HQXwXyWYT92RTvfZWtVcz9qzZwPD9YM9u,JCiWEbAfgVPuYrQwu12eJXc6t8umNVYJNHHUcVjnzHgN
jacb5xzQhHQutzxcKsmSWasQ7NiodP29ACj5VBz9ZgX,J4fcoBFkhxpWMqy4XKHZj8gt9rJy6DD7hZsL3msX6aHR
FcBAfxXz9YYYVrtzSrqpZuQxBvZwCFcgNenPzvQBQXhL,Ho8zuqXEQy3vxNnJSrHQqcT41vewbAYkbKfTLRmZ57XP
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,HbRLeDgP64nmcUm2G2sh3RGRMexhypKbhsZc6PP3MEf9
GrdKBSetYHpyztAp5KfqUt4JDxtMCqBtRZmaGv1m45Uo,Ha75cK8JtGNfBxtgQSYoEsbWzbaEJkgd8frQD57r6JZk
bjPxWFQnQiReyoM9JFV2mkqWLcBkSLTWcNEHzzZUiTK,HZrN4pdWtwYL1iVKtj1Q6VWz4EqPhu8qVkWm7DRAai7u
Eb2uw8yRw3fMvamKyjKtjnywoqoqxSvnyaFjBhKjEoqd,HLjQSN7ej2kcQK6EqUMeBmhxPMXEFR75otEbTBcrxpz2
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,HHKAfEaEb4ZnyCVEcow2rKMyrzK3kasQkZyPBo85ZE27
AtGuTwYkrZnUPsKvgqAF2nbQ5iEXyzo5M667EzAqhVyA,HGWNxav1S5re4bjxdKPskD4PHhvevQMPRMz1uWkAZxEC
bjPxWFQnQiReyoM9JFV2mkqWLcBkSLTWcNEHzzZUiTK,H5fHGEgzgCekzaF47vYeDyQtKamHyAVFKV3tGzsMzU3m
FfHcNwxQ3cJsKgvoubAGfuGxQ2SZ7bRtRFkAdWWYFATR,H5QtjUCDs2z8X658x9DbfmJ57dUzFo7jEr4Y7Vf396Sw
D52qYMfaEN4qBqWwC18Kpr1CgYxF4QkVFPR7kLd2SfQu,GvtswgwvLEy8Mfg5BE5dfgc6tHG929kQLMZfzhsi2A5o
4CV6QEW6RdJGiCRybSbvmAvdvsbxPcgZWaZDgPBFDYYb,Gt3NgQv34qze8WUZBG8fuK6uX84mziBVF3SVVyoLnmG3
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,Gsixvxtw6UekZhQrekykRVbKVNW3yAzUqYyaqgE4t2TD
bjPxWFQnQiReyoM9JFV2mkqWLcBkSLTWcNEHzzZUiTK,GJf4zFfLgeqXdGeqkdZntvZjsVtyMs3eUVC7Jfs6TLfs
AtGuTwYkrZnUPsKvgqAF2nbQ5iEXyzo5M667EzAqhVyA,GF7nnt4bz4FPQGNStgVbfZPv4SfHAREaFrX8XMRwgBrk
AtGuTwYkrZnUPsKvgqAF2nbQ5iEXyzo5M667EzAqhVyA,G7QJ3m3i2idPhTZDAbfU3WXTkxaQEf8ZakfRKhnjJjau
EGNPfLtNe4WAcAQpnNwmehmEANCgj7FnqLUHfT54eVgV,G4Tn1NaXLgZPBx2A7YuEJsNhTFTcWEWnBnFf83gZuAs1
AMKSWrs3JxfdaD2YDP2Zz7inNMMA1de5k3TzMXXW6urm,FyzF1Pye8o5r4Ff4m41K8QpGWj29uNvHaa57UjTsZZqm
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,FvWPXUzkL7aMoxqrF8khP5coriYjrfRjzzPPQVn4jvTD
DWB9VFQUfd2H2LXgToCw7hGQidm7vLGiCDpGoJ2LkdJf,Fuapfzsgr2j79dgjpN3hrGndX7gQLvCxNihCCZ1xZAsG
F2fsnuwNN2dxSE8nwkFjFEag2gDuUbBK3JsBkdWiQe8y,FbHDvANeoXTA6pYkRQaxypVYAqHCj8wC6WifEXFa8xsn
AtGuTwYkrZnUPsKvgqAF2nbQ5iEXyzo5M667EzAqhVyA,FUTQcRJxvLBjzgoFYVQZhZNrH3zGCzkTsy2TBhe8SMzB
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,FKK78MtNi9W4pf1T6kEhkcmD6G9M43JHcN5EZv2QH3sp
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,FEsvzDdGrLcv3v988zuVMdgX2k5SLLH37DJr52bXQFzX
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,EzB13bAoXWxJzVruikMPLHZBNRwBsusmmmXHyRGzKBKr
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,EyKFvsSQeYgaXWt6398EMCh86MnWrDDcw9af7pFkhyz7
AqkQsWxewuQvMSfkpkUcHWqo3Z7HpoP7ujVChhj2e5b9,ERspW9GCqiYFi2FjMAXXdSNBEKm7jmVT767jyVetKEZd
bjPxWFQnQiReyoM9JFV2mkqWLcBkSLTWcNEHzzZUiTK,EH9zrVA1Xq6AVTbrk1ZmzeqtAqzenkkBJKtMvPtkJpaY
bjPxWFQnQiReyoM9JFV2mkqWLcBkSLTWcNEHzzZUiTK,EEzkG7n6ViEAHCgXhSXWFJvnk4XJcfihcHMc5JFhviZE
8VMUB8vBU8aRZmyGJCv4RLeZXdZHpJ2AwoxuFHEJe4hH,E9FVYZ1qufBrFs6VEwZuNBZekuM7UMUkZ5sMpDN875WB
DT3w5FjL2YzcaxX51k7R9p5bQEa7gc6tvXbgwCUQAQkk,DzjyLiZwbvCRhGvcvFpiy64BVzwtVRx1C54ACyUmE5Cx
9oLG5jsxyQjzYmh4hZceE2iRK2aVFcuCXQadizq1cwLc,DajnhiijZXAJZveGND2zxSZ2RTbB2wq8VUEqP9bUxtry
9MSygCP2RKyYEK4xdCtASEGgnfuJYgcg48khe7oQuxfW,DSocsTHmPRhy9KYRMB72fg13G89WJoYKr66cg4G4ANKu
9MSygCP2RKyYEK4xdCtASEGgnfuJYgcg48khe7oQuxfW,DKdDMsYcurvqe6SUrntxJumpq5TUbpZSJbYbCorRY9M1
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,DGaetYkmEYZGNRmyaNWg2ocvz7Ek5tmyMAZAhnPHJHbs
GiJ9K9ySRqrnhqRGBg8tFKMnFDBmtMnvWwHR5cCpDhLb,D9JdmsqTqinVq1t878WY6WdmnYkm7zitva15RgweRq4f
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,D8c7rqYbTemRQ66dRD438kGwth18a3m1pNE8WdXyvmW6
B7v11riUSxCYF4cLZFzi983pwQM8zxWGzgToUvqfpahW,D8FYjZhS7tTdVAiYuJs5zXXpCZ9JUdFfLmubQWHSDpn7
bjPxWFQnQiReyoM9JFV2mkqWLcBkSLTWcNEHzzZUiTK,D74QgLsC5HEezK4a5X1QKFt9WwiGbgrPAGjfdW93H99M
bjPxWFQnQiReyoM9JFV2mkqWLcBkSLTWcNEHzzZUiTK,D2rXxFsqRfSGhhERQzx583DCD6VqTbrETUJGhaUGthDp
bjPxWFQnQiReyoM9JFV2mkqWLcBkSLTWcNEHzzZUiTK,CsfrR55ZrEpA7Lx7ywcs3WfqUg8dGqDK2ajyJXHAGvaF
CjDV5vQLPhmMGxvXYp8DX9vXtrJVDUQjsvJG5cXJggEh,Cm5HdafSie8zrrnogBiuprjs3A9XAWcb9EsQ1E8qzTYD
46ZrvoKnmkGQPnfHU3DZZWMt7uiY2bs6tqt8Uf59nRRE,Cj1TtfMVRUSD9778woZw6vSBmyLpzn1Ju5y8o8xCvtXH
HYdqrf8DrdFvn5GQqBSJr5AifW2QedbMDavLQkxrgpoY,CKzyGHAx6EeMi4yjcg1NozeLMfGEvcNi6JzoGSKKY8ES
72sWf6zJDaUv5g5mkRybkgynibPxXgw2g45TXL4WGBa6,CGBy2tYN11aSSb1jZqEK6pWh4xcKHh74VpxRYwWjcDuc
FWifwRdt6GSfD4YiMNC3Kd5CBoD1fCJ4dhD2Pw8yuUoc,C5x4e8GpuiBAA5UYuajhtfKGifY9oqvVt1rGVBFRBstZ
bjPxWFQnQiReyoM9JFV2mkqWLcBkSLTWcNEHzzZUiTK,C5dHrVsyyC6MHCwgcjkqZvHhHCKRxbMvozLcFt61qBwA
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,C4ogq6JmHBUX617qdfybrigpHxsCX7n9wqitSqsA5Mov
AtGuTwYkrZnUPsKvgqAF2nbQ5iEXyzo5M667EzAqhVyA,Bv9rJ6TMr6M1UNBE8CtRkTX2dA6Z51rk7MqCtyxseuTR
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,Bk6bnWsXPyEropzCMzUd2GEzxqHVC6umTpQ7UH6RAHfU
AtGuTwYkrZnUPsKvgqAF2nbQ5iEXyzo5M667EzAqhVyA,Bdry78Rdg8DUR9R1Ks1x68Xgn2nUAVXHedTkJkrcvMhk
bjPxWFQnQiReyoM9JFV2mkqWLcBkSLTWcNEHzzZUiTK,Atv15M68sgZY1FY85LiTPqRZYdqK6mzHzvW7TwefXuzb
F2fsnuwNN2dxSE8nwkFjFEag2gDuUbBK3JsBkdWiQe8y,At9nZL5QEDGsEpqeyfjJ6WqfBdcSdxmUvtSAzMqBi5ps
