owner,count
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,31
bjPxWFQnQiReyoM9JFV2mkqWLcBkSLTWcNEHzzZUiTK,24
AtGuTwYkrZnUPsKvgqAF2nbQ5iEXyzo5M667EzAqhVyA,15
9MSygCP2RKyYEK4xdCtASEGgnfuJYgcg48khe7oQuxfW,12
3D7TfaWGd61HQXwXyWYT92RTvfZWtVcz9qzZwPD9YM9u,2
Eb2uw8yRw3fMvamKyjKtjnywoqoqxSvnyaFjBhKjEoqd,2
4CV6QEW6RdJGiCRybSbvmAvdvsbxPcgZWaZDgPBFDYYb,2
F2fsnuwNN2dxSE8nwkFjFEag2gDuUbBK3JsBkdWiQe8y,2
9oLG5jsxyQjzYmh4hZceE2iRK2aVFcuCXQadizq1cwLc,2
CjDV5vQLPhmMGxvXYp8DX9vXtrJVDUQjsvJG5cXJggEh,2
265UCfHYL6TD3D2yfAAA6WVRsHkxmZ9Vn6HmZsnt7Bt5,2
4eg3MW2HpGPaNk6dHj8RZ2dZhzYC4NxpRRaetFsePHa4,2
jacb5xzQhHQutzxcKsmSWasQ7NiodP29ACj5VBz9ZgX,1
FcBAfxXz9YYYVrtzSrqpZuQxBvZwCFcgNenPzvQBQXhL,1
GrdKBSetYHpyztAp5KfqUt4JDxtMCqBtRZmaGv1m45Uo,1
FfHcNwxQ3cJsKgvoubAGfuGxQ2SZ7bRtRFkAdWWYFATR,1
D52qYMfaEN4qBqWwC18Kpr1CgYxF4QkVFPR7kLd2SfQu,1
EGNPfLtNe4WAcAQpnNwmehmEANCgj7FnqLUHfT54eVgV,1
AMKSWrs3JxfdaD2YDP2Zz7inNMMA1de5k3TzMXXW6urm,1
DWB9VFQUfd2H2LXgToCw7hGQidm7vLGiCDpGoJ2LkdJf,1
AqkQsWxewuQvMSfkpkUcHWqo3Z7HpoP7ujVChhj2e5b9,1
8VMUB8vBU8aRZmyGJCv4RLeZXdZHpJ2AwoxuFHEJe4hH,1
DT3w5FjL2YzcaxX51k7R9p5bQEa7gc6tvXbgwCUQAQkk,1
GiJ9K9ySRqrnhqRGBg8tFKMnFDBmtMnvWwHR5cCpDhLb,1
B7v11riUSxCYF4cLZFzi983pwQM8zxWGzgToUvqfpahW,1
46ZrvoKnmkGQPnfHU3DZZWMt7uiY2bs6tqt8Uf59nRRE,1
HYdqrf8DrdFvn5GQqBSJr5AifW2QedbMDavLQkxrgpoY,1
72sWf6zJDaUv5g5mkRybkgynibPxXgw2g45TXL4WGBa6,1
FWifwRdt6GSfD4YiMNC3Kd5CBoD1fCJ4dhD2Pw8yuUoc,1
6mc3wqonsqUq5BsTowNExWNRrE2AForwkzhGT9HYTsKP,1
8s5JkdmCU1gqr9P4UZ9dGSHRu7A5x98sWAxnXC9JwP2V,1
8zpK86dHcDsu19KGt12CoprL6ECgCLQ1RNRxRixYHhEo,1
Ci4TKHt4im6ToNuzJ4RfU6pPwHpe5jgKEi9AHsKK9Uzy,1
6JrxxaGjRR9ECErqe6GDdfBdUrGHq4WANsvW3nSzK5rB,1
BHJyrctTXMhVBM4k1X1t9Hw2776n6uXAeL1jJEhpNKfR,1
7JvYxui5YTyDRcsTkjxdWuHUuMtuA6npiHgVb6mAGN4n,1
6S36bNPf9qt3qiTAeJqKx9XMNehtrhHsiLBrVkxz6HEJ,1
99d9AKDA4kMSTQ1UXfXv5YYwP4ezv2L2K5uq1BvNhZmB,1
6ZDWQSfHLr8bTeLaSU5wWwWdqmoUUGMy4NYaexySYzdY,1
8NfzZd5DcFpFmNmMFfXE5R2B4ZxPDiDPErtoZvs2Zv93,1
ApnVaBHcxnrckpTzryGuUQM8nS5XmVELiZ3mDU8iBLn9,1
9q2ZLsJj8K7WqYMRnVVa5euSX68a8i625uGLmfeYzmER,1
EcyjTz9mXFq8nJhASVYDT3UHoiLKKGmoJ2rEzyXBrx2P,1
BxjS7f2ZskcKFYgQbdbHsZBtKMNSqHjE41cLJ3fihHBK,1
6JZor6DAnbayhLkCoRLZTTTY5z4cvVsQKsWc9ZvafDeL,1
8nqyGizfsNvZ9ugoRoFasnmFhwzMjPkd7TkwgVZMFLER,1
Fi3pmhWgWkyRWFcN6tkMFDFq2EuXCy9aRPe7171MNTnt,1
HXmYtBiSFN8FH6uYMayAnFYyqamjFkbNLr331dADRcDs,1
8dS7FYub4E3Hdc7BoYvdrXMF9tzrjFDVHHWEoxayFAqD,1
