owner,count
H6Txqifex1pf8ocGNXMgg72CqA49CpycstknK9arXt5u,300
D3MXkHJGJGWMDTwxsEjwEzygr7FYjikMUzWQFcewdDpm,205
AVSFyeDdaVRU2bNpoYZjNZUqtbT2tzTLkP4SRYNMqShu,136
BhYnskewPrZMizPRbxYFWS7m6RbWVGqMdp6jvDfeRB6n,132
BkWJNvu4cB3StswWWLwDv2yoBKDw292qxyrLceicJkD7,84
7dUAauiRM6YxSXPyNqK6MU2x6hFwZXrw6eJmjv45EoKU,76
AoreNexECTGA3RJ6h8kjc3ZY9DRGzBW4oPBtu9FUNyim,73
svenafMgAFwWq5ZfoHBPRdxxCWbZtnnnA7S2bzppTYT,57
HEUdcnYsFQs62NUFoY45s7kFe1GDCkvYzUXx1VZ8EV8c,55
Eb2uw8yRw3fMvamKyjKtjnywoqoqxSvnyaFjBhKjEoqd,50
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,50
AtGuTwYkrZnUPsKvgqAF2nbQ5iEXyzo5M667EzAqhVyA,49
8oDNBTruNf2rgB6YYokgkQbYNP78A7fKL3EpX7bfuAzt,48
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,42
xW2Qpcyf2L7JQX8fGrXMt6wZ4Kfgvo1fb8D39JeMbQT,40
25mcm31yZD43htnWGtugCG7hr2yPtPHFvwRQbXmuVpjX,39
4ZfGdyUcrGxQXFdYyzbTujFhh7FnXQqhZkxuyGDh3AcB,34
AJxWoTnqez1BwBgxPPN315qnfq8Fhi16NfUn6BqiBuQy,34
GuYtBMQxSoLmMC7cMSZ341F9958k7oGGkv5ztsU985SX,28
Dgu7cbr2rB3F8RqRYEx5i8TgDv7M6AcjCGoB2txJqUQ3,27
AKJGNebDHwz6vuA9bC4gMzAuc8kMMuotR1wTiYxR9Zd5,25
FKxT6Z688yjVe97eu2Kwb12sPxX5TPGBwJNXimXTwHqZ,24
7F1dk8ynCuJxhovxW4XhzZfnUPLjidFD6e7ZVeNTmnbZ,24
J831GuJtTCiLNymq4RW9bsEjAujhFvqsDNXbcHP6uxdU,23
5k8SRiitUFPcUPLNB4eWwafXfYBP76iTx2P16xc99QYd,22
3kSZ25BV5GUidhZS4ZAAWNcFPTxFiPfjC9U56rjnuWQq,22
JD1CazPVERBfPVRkMcuDJdJULjPDMvWrjD1bPzwhdELt,22
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,22
By4sgxrJFycCe712HizLBAQrC2AEUvwPK6qksBXL2umK,21
BEmorf5P1NVyyfNZcniEGeeKimo4ie6GESpZwDwX9HRJ,21
A9YejcLk27tmPdvtwBsnG3GJgBJonft3dMULgGZrFQnQ,21
BbgTRsfwp2F2nR9eE3raNUGvXgraySTFCWyvvXz1GiwY,21
FB21Ctg3EqdKap5i9B2cFiMxmPs8SxMvoWoMzENM4f3t,20
EFnAHPX7wgFv2nZi2Zvy9a1Akb5xQGKvD1qQTo1XsC1f,19
Gia1N641h4Vgm2xGwuswuDHT7rh5bLfDcD7jtpVfR8iL,19
AX58FHuoPwufzieaNxfG5aarWNmcvFCyowyXDt6GAYMb,19
