owner,count
H6Txqifex1pf8ocGNXMgg72CqA49CpycstknK9arXt5u,291
542t7VBdYcHvromaaeqdx8g7x8k5nPLeY3jYUkA7zALJ,217
D3MXkHJGJGWMDTwxsEjwEzygr7FYjikMUzWQFcewdDpm,205
AVSFyeDdaVRU2bNpoYZjNZUqtbT2tzTLkP4SRYNMqShu,135
BhYnskewPrZMizPRbxYFWS7m6RbWVGqMdp6jvDfeRB6n,131
HEUdcnYsFQs62NUFoY45s7kFe1GDCkvYzUXx1VZ8EV8c,105
AoreNexECTGA3RJ6h8kjc3ZY9DRGzBW4oPBtu9FUNyim,98
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,86
BkWJNvu4cB3StswWWLwDv2yoBKDw292qxyrLceicJkD7,84
7dUAauiRM6YxSXPyNqK6MU2x6hFwZXrw6eJmjv45EoKU,76
25mcm31yZD43htnWGtugCG7hr2yPtPHFvwRQbXmuVpjX,69
BEmorf5P1NVyyfNZcniEGeeKimo4ie6GESpZwDwX9HRJ,68
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,54
svenafMgAFwWq5ZfoHBPRdxxCWbZtnnnA7S2bzppTYT,53
Eb2uw8yRw3fMvamKyjKtjnywoqoqxSvnyaFjBhKjEoqd,49
AtGuTwYkrZnUPsKvgqAF2nbQ5iEXyzo5M667EzAqhVyA,41
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,40
4ZfGdyUcrGxQXFdYyzbTujFhh7FnXQqhZkxuyGDh3AcB,30
xW2Qpcyf2L7JQX8fGrXMt6wZ4Kfgvo1fb8D39JeMbQT,28
7F1dk8ynCuJxhovxW4XhzZfnUPLjidFD6e7ZVeNTmnbZ,24
A9YejcLk27tmPdvtwBsnG3GJgBJonft3dMULgGZrFQnQ,21
GuYtBMQxSoLmMC7cMSZ341F9958k7oGGkv5ztsU985SX,21
Dgu7cbr2rB3F8RqRYEx5i8TgDv7M6AcjCGoB2txJqUQ3,21
Gia1N641h4Vgm2xGwuswuDHT7rh5bLfDcD7jtpVfR8iL,20
FB21Ctg3EqdKap5i9B2cFiMxmPs8SxMvoWoMzENM4f3t,20
J831GuJtTCiLNymq4RW9bsEjAujhFvqsDNXbcHP6uxdU,20
2Q6xikZapyRmyA1fbpAw16RAtZhoUXsJw5BEk6CTUrTU,18
FsHaVGiNPGydnxDjjrfgK8wUVmB6wDLayTgbqgGF9JuM,17
4JoTxikAaBs1eqfqZWcsoPPXgjnX5ebKdt7o6QN3p6KW,17
9b6oodTQJuaHDb6cfxrMait5Ly83aq9QG448hX8Paq9P,17
GQkyaWVZ8id2jtEiDnLe4XMnmAe2u4uzBSPSPSdqJtm5,16
EQvfxMq5M9VhNJ6vRBBZkSRyETvvwHMc343pwEhya4D3,15
FujKyLRNnb1wBgU7hWLLJcH8SGUorL1x1uRctNRTx4QW,14
By4sgxrJFycCe712HizLBAQrC2AEUvwPK6qksBXL2umK,14
Gm3cQkLjD51KmTNswNv9xyVUTkDz4W7zpbYQE1AKQvkT,13
86KDCc7Nkh8q7rUGamSaEHeeB4k5ogXyXJqmEQbDViAz,13
ABQ1Fz8JRoBVWr79pDBXf6MEfCrC7KyNYsqnhbqVL8jR,13
Hu9L8UPsKPcD1PKvnz5yvUEFCCBYbqvsFhZMzNPkZm7c,13
ZLaxD5u1CQdZhK4TimQYb5MizHj4xd2kTW9FQPRpooL,12
62NvHWfNkQ2BEhjXNXz7kKeRrknpNoeVnzUBRAMS3tJ3,12
72TBeLtdC3KBmJCsjBRCnaaNkSscoV5sAL3Sp4tx1rnh,12
H3MwQkpv8aA4TS2z2LMtUbgC2th7niZYqNxWEdK7VC9X,12
BbgTRsfwp2F2nR9eE3raNUGvXgraySTFCWyvvXz1GiwY,11
5sSsgL1tBQnTbDhHPMi9oGvts2Cpan8qtBF5fmPrrQVB,11
pM85sopeQZ21QDufsSNe6kinKWC4R2aY5sjyweCrunH,11
B6ynMa5wHcEg5wkezXxijvHfpPNynfMfoYU1WB1LvEXv,11
5BTcHW1SczJoa13tGtnWGPFkLAPVA2nH39RKunF225Er,11
CrtmbUg4FVZ1Y7QkyUS37h3yeZuUvAgfhMRwhyrE2wgG,10
4qmsb51y2EBLQHdTdR7RiNz5GD4Vr1aPNPFbgYMVBA9q,10
9imqLY46mZS5HAUzDG6m85MN17xRFAcCwTa25dhkzRbz,10
2q3WGR6r93kyBBiXrS3HL6AvF8VJF9fQwNXSo6R6jUde,10
6jKoMo97ify51J2ZdHNj8d8vBvU9VdQvNfBCyEUaqagC,10
2Z6RcsLGACVmq4uMTGmkN4xxYNTg1Xo6LuGhnw5RH6ga,10
GkUCfk1uwr6nsAV8z6SWj6sFTwASLcKc4xTe3rSrZ2Uq,10
A7whbdY4wBovRfwynZTQAggVL3xFFowGTz79DwkMBXrr,10
9m8FXc4v2PLJc62biS8S6HPDkDBZxCyMTThv29TQyzUf,10
4zUdFVXVYoqkxdKFFSdSsQLoSFnEbXetJVSg84MtGr7h,10
A835Xf7MtaQqwpiKqLBhkPs3Lf2tR2j56S5BCjvJQqhE,10
D9KqWDuzWntQZBs6D951HwGL8q2H9dK9SpMRAnPMsyQs,9
8Z5yoCALie6SKp7iLqNTBtiNCSPSQpP2nWm6optUbqGj,9
HKiNeY14zzN5y9pVh4MQqphopzbV6cyTkPtPyC17XtHt,9
