owner,nftmint
DG96CfSYWwJptw3Pi52upsyAFFZqyx4oo5xwgfArPQLP,JEJ651wXK2MVN5W3kFgeTdid1gDFWDfdTaUfDemzf2sj
9SVRQTuXJp7cFYMx3YVCDoq3kmJgkMH2jZ5ZrD4FB4tm,JEHZXN8nPFsTHuSJxuEXtqxooJUWcjEjuvsPAGBC4amc
Bz2Y4TZJ9tonansyk7E1yGE1wCHFa4XdBjD5ss1Lrt2C,JEGv2iEUk2DXJtszdt4pekAUrRL9Q6W57n6mJmo9ufUN
AuyPAh9ekDh1be7xxTerYP4XuK1SANUhwaXftMmfTgCr,JECYETRpkM8u8X3ihQgtJwJdCMwqjgWT8i7QfgUUu7SP
2LrLvL84yLCEZmZMH7pcbAXMSFaHpJpWEEUK58xUTu1v,JEAaCbC6yctRQc2AgYrT4BF3twXkWkdGV7q9jQ1dXhWT
2aP3zQQctdtQtMBiLuHkZBrSKG5XHFVUaaf6a4BvDPdY,JE9zejtvYng68ZbGVZqC4p2fotaQHgc4tQLXvHmPB676
CP9aMvotUPF1iRgGDYvZsiE2F1HLmPBLeRP7umnRvkYJ,JE7bojsYYXFBcvwW33mDNk4U1BWxak3vQ452ngCvGLXf
9a5L5uC5sST6Q7XWpukt9kPdeRpRiUewMYgWY3BfZqYs,JE7SyFMeS3yVHRTM4S9KECa897poPMFfC85ZM7WVBEuQ
D9bTPoE4aPk5mi56TXeAujkZZkycSSvuDZ9AB16L6iMA,JE3jvCmgGVtwLzSKgFFYyiTVzVYbXNMC215vDG8LqDrP
4qWiB3p8Fs4hpZPzJ9ey6RzHfQhFsJ3BrXtVWqbMmrWZ,JE1XnusPqQKofF2tmaeyuj1TarjFSg7SkkW595sB4Ud5
5JvsDUQAN2AXddZRR1oaQVnzuc2gbd27sJaYLXc2EwA8,JDvpd2KmvrfQDxAPRXv3rE14mUUbbWvpdKsCwjpYChJX
FunE84BqYUn8XjELWb3EuHhquLMasfo8Urm976muaWx2,JDrsdiNAG3ifxP6ApsBi7RHmU3TwfDL29aEuJJjiBHzY
4LeER21Ek7fKqr5p2hJnkxNsTfEjSrzzrCc7DeaMQbdY,JDqH28RzjtL5uWPp4Eoi5rTyqiR9GigFkKssvgnBs5oG
