owner,count
4RATHx9UEs8SjF1gZwR4LUNTjhhHUa1pmWTtuViD82De,612
2aP3zQQctdtQtMBiLuHkZBrSKG5XHFVUaaf6a4BvDPdY,579
2Y6Fr7SDqRqY5oEmZUf1qw4rciMCgfHB71kd28TJqrY1,560
FNQJFcy3fAvQJXAVpX7MXd1BaqJu2y9uuYQXKFYYAdd1,464
G7mV6nuU6mAUV1JpcGmaNEYVQNBLgsZKcenFsaM57n3i,455
EofCkTaFXUjdwpQdbTnjMsZD1nqjGTenUGFsfEdkraYN,428
9ZSu768buFKR3yTHFc5KBBAeGPk8emWmEGSpHx1odurW,406
8bTjRMgkuFKBfMvfCbhFRbNpMDdZMP5J9iHm4MUULAzW,331
GnUBB1qsVvaegx5ddK9akRdEQwoGPhuBtwkkThLd2t5R,324
DEqapWuTTDgn4RK26zC6KAQQ3DLwFFeiR6BWhBRDNVyf,289
7GpKtrV9b64vm3T8Y6TyrocuxUgGwRiq3B1G1VeGPVbh,275
6ctLU9CktV7bzdwK33zCm8gK73oG4RP4J75GoD4m1qSz,269
2Gj86sdD6etezUmrxhYcj8KgmWRW7745d4JTCLScvaBH,261
14bS3WSTDz1xZef31GbMEU5cDrsuuL8wzbpb3kw18DcK,260
oACNLDVNoMoaPzNbSNAZ1uzUF8FhBF2xgtd7uDohgjN,257
7h6efFWpAKbwDzYDePHvbtHu19MtpQHAmqSrr3Jvd9u9,255
4LeER21Ek7fKqr5p2hJnkxNsTfEjSrzzrCc7DeaMQbdY,227
HN4fLXn8xPvWisgkoGFe22JNNEuvjR1QwxbxWEdJh5P2,220
7Un2B4cgkTfkbtYr4LjsUYmAZ4KhyLDoTbdUtNob4jpK,172
6forMTqtCZRo7mYfpSLy2GXazRgEHKF2mgXv8zR7cQAk,170
7nb8aXgVYBvwqRE6w5cyobGGJ2veVirjyuuo3EunEg57,161
FspCE8JboVXrq1MUjn5Jssb7YJpwUXU6BFJgZctdJEjK,160
7rS9dbjyNJrZgfXnMuJrdUPukhDECbegUbXog7dJijS1,158
Gi2HCN6Ezm3eVqWCmh4yY6KdnpWprVLdfbnQKyjeok4C,149
mYZ2Kz8Rmn4QBBfJkiZ2rWfX93pqhiN8bYKVYrAafhe,144
ErNMP3aJZWdb7YKGXZfdeVAAm9QH1XqNb4w6DceWmshf,142
4qWiB3p8Fs4hpZPzJ9ey6RzHfQhFsJ3BrXtVWqbMmrWZ,134
BFQAzBv5e2x6ARPmVHpFyFzAyycAf6pFq688Ejw9zdwM,133
5JvsDUQAN2AXddZRR1oaQVnzuc2gbd27sJaYLXc2EwA8,127
DJbv6BZr4mxyjinPVs6v2XbXwWmhQ9DWWVoU2B9ZDvgf,124
2n4PrzenpPB351h3gBNEmBAviibxGxQdpLRGEnVSj3pg,123
DARKhuqaX4YbsrBFAfc7CgERBcVueQxQfjH63Y2GGpYr,122
D5UVbZYfhP2aXoAwP1kAbhRrJN5XZa9EB6UnPEFuVw4H,120
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,120
B1eZApRS7dAr491SFg4hH9w7p7YCF1NiWYqjhmHcWrRk,118
3bTG9JH95vyDaoQAtV56cc7vwBEzZ1oQcNbZuRkwRPi9,117
4qmsb51y2EBLQHdTdR7RiNz5GD4Vr1aPNPFbgYMVBA9q,117
E5KnyuKPf82mjJhF2LnNkz8D5QVoMUJfNMyPc4ZR7ygg,117
8vJ3GNeDFemGBZ9UtQuRwZ8wyDDUWyWKBRpoon54LMC6,115
8DNCyg6MgqXW5mqAeCDsjRxULAs4sLAtGBLfEUYWsMxT,114
5Cpo9hWHBef7Q1fG5U6v1FRewWZ32BADaQFk3tUyPhqD,113
GaA9EjLxp1CxUS6T6hPAuNDkKekHs9TjS2vpjXeiF5Eq,112
566MpDavwmyh8b4bFzK8Jq3fRmFvg6v7soE2HNnLAdhL,112
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,110
7NfMDR5HV1ioyXFQXyPuYmoD6Qv4s3vNaajnp4fUUVcK,109
7onPbnFhCsx69eMYm42m4K4DPQ1EfFvEETt4DEtjTeHr,107
6dLbkipcuWR1HFoA2UFkyAitUR9ft87Wd426ViqTiJts,104
CAXKxANgert1npZH9y9VXZWJb2VHeyYnbiQB5xjkyQag,104
Eh38pfuTRERvv6AcTZFeQsZZZLEtFBwvVhrD342phCTy,104
GmhUpfqR892DcqpsHfceAj1wYGS54N6rjdtqb94Nui9d,102
3uh4qUrUA8h1Nxh1GXVPmbheUmZhBbD1zGzAUE1xeo9x,100
FiyQhKM8MEy7SZ5Evq1u9t6LeaQpug8nQewEcTF6SFDi,100
AF7oBZpGdSKWdGWZQjTXfNBcAymovRQVVi5bP21SuJrV,100
3u3wy1jcUo9L9PQ8MEbXWN9BKT8whJxEzhjPM6MUvALP,92
FNeKs6nLBDLTcbqTZiYbtonHcF1J1HP3h1gieq97bsWQ,91
7WaYWPxc6NnPBEBGWA38iJUwiupYJi2Wwjs9afYF4QYB,90
6zTDN2gZGEA6inWQq9CDYt81gtRWDpx3EorcRQU2N3YQ,90
AJs8UqZ1vnmN3KyVXBfBkrDB2BLrSnNkwVbn9AE8QEhA,89
6s1ExXqkFZHdPq393p11j1qV8XeDgGhvSZ6yhBiaND5A,87
D9bTPoE4aPk5mi56TXeAujkZZkycSSvuDZ9AB16L6iMA,86
FtXJu4HD2ePD7P9JLF1GPEusFEx71ukEC5jZeoYhuQPd,86
8fohEaQfWf4XG9LcXjk3ZBarxqH377nwiBtsUBDt2SDt,86
DNjzkrvPArDodHA8uCKc32ykmsdtLRtnZ7pPXN2g8kuY,82
5W71TzEMGdQiHRe41MHzQpZmrFiqCTBx11qcsTxy3XSk,80
BnimVe44DuohHUuHeEPBUf1garLEDwbAUfpJYVET8BXH,79
J9pbrD569JYAeqb3W7grMstkzCCkNBy2jSFetRBc9TYi,79
7MKk54ChBTcVpuZ5rLwe3y51KqBgGgKzLWzdhU2bLrpV,78
AQt8VjCUH3pgJy5pD75RNaVD4nBt6Qn6eLUgYLCmsfjJ,77
2krAv9SrazMzg1Fc68jR4rz23k83Mc9mEYNi8xacv2dk,77
AMsaQ2vgSDseRa28cgBxiemdMzNUJhas3882dnmm6xeh,76
8QBhU4HmBJMoEnH9PMtCouVMNYqkTSJiEANWWWpFa54r,75
A8rVrVh32YjwPkmJrHXc7Y2nMo4BAtqJ97q9eeSVLu2F,75
6nup2XoyXsXsQ6hWsZaK3XC3Vo1fvZq3AkVEXvJ79sg,75
62UvLjvZdgRRojaU5BDtWaFAEPcwRvP94vKR46AaRYSD,74
FL7KNEfWCyDP7jo8moMtNUBXC5QRP2AXwfBV8Txkf9SF,73
9p8so734ViUka9VPzdUjYRyNhZm858GPStypib9Hcxb6,73
G1fUHFUu4gDuAXXXqHkgWLLb2f6DJAe2MaqMwWJ1zBqa,73
6W3geA4zzkLDbLzLP9wUiK9seR6AxoFtnUnF3PxdhR3U,72
5NsJhNwTXhAy1wouryMJhuuB5rbqJe3YvAvYs9U2cwrR,72
Hi47sku6nMxpRgtagoMSMtEcKcvWNVnTM1hbhdCEsarM,71
7kUZzhi84GuSNCEK8CrPqZJufD9dpBkXCWugTJJYYwPQ,70
GW1LPKgTCfZAFWRMsQgc24yc3LCLrYT7UjycqYfd25vv,70
4WfpvPyC8wGUUcFvDKKJ1Ccsp1JRrfVPFWAFVDVVbLqR,70
BhmMxnzLP2U6jhEv547r98YosnEsVDyT6s2rSXHUftdP,69
5fUuuzgoxrjZgghobFHTaypgtvETaJ81PUVj8dqNoMJW,69
B333QuKE1gjRTEt9vVcktkA3zW3pLwES8HzzRHS56fjj,69
