owner,nftmint
GwGieULUYo2kbj1LxFcq7Cu2jE5t5WLtsgAL7XT6RJF2,JEGXB5UZDMXqmziJ25i21nAaF14FEJE6uvPuSCEQFEVU
9tKjJmrUuyNxtJETVc8RkzU3nhVTvtYK8xxYyEuBus7c,JEGMnza5yaLQHNszV7TqgaSzPZS8KZYrGkikiim6S17r
CQhhzNxjGkgMm9HcoAHMjVCZRaLXEP3Ct7h7Q7PY1EhY,JE9yuMWWP4eD8WBioAkJ71GgtNq4o1xNXAL9HYrFa4Ev
4m7pejqBENKaUpiR1Z7GUgQikWfgsWJowFioH8XzbSLS,JE84WjXDsZfsvJbJYvL8NeKTFandENGx3H6pVLpvBBDh
3bTG9JH95vyDaoQAtV56cc7vwBEzZ1oQcNbZuRkwRPi9,JE82DjBN19F2MPTTPbm8bs8Zm4cKMdysc8wHTXzoYpFr
AbTESkDbZEF9LiuUdDA9GrM6ZG9F7wfLt2ponQoExGZb,JE7juhLUkFMV8mnMfexk4vQKFUGVuFcKffbqBHWK8ijd
9kvm9DF2J7veAMKEodJetDcArntSrbMkGvKxvpDCB7w6,JE4ZMTwyLhjhUkzTFrnmkqionEBcejJ8pybEU9j4Vgdx
7Un2B4cgkTfkbtYr4LjsUYmAZ4KhyLDoTbdUtNob4jpK,JE4GXciifGZGycU9zcJ8auznc4fJFihJk3tiWtsMT2cN
8LwtNMDrededv1G2CLpxFA4REwPUoGo7Eo8bFt9etgHc,JDuivtBAhqvpjGUDJo16FEUM7DMZARC8Y4A7YRDuF7XF
29KqEMe2UCTHZnAnU8a6XNV4kCd5VoTxCgy1DCWA9Vfn,JDonPKXHVuxvMywYBUyU6ztymY4vmiXNWsDsSgNQ2viR
63GtCYQwvDW9wCm9VBT7zm1uESBu1GXSjfuGEynHE1Bn,JDmk2RUa3SJNyQ5Nfm5Mf75Ui8T7kGdF5iiGMLc8WmLg
4KwBigPoWMNvhRNTYN13XyfrnKdxPahmFqTDLjiHdQ8d,JDmVSPuAwEQhAABZ8iCh7Uvxx5wLuuW81T1qZeyjptu4
FspCE8JboVXrq1MUjn5Jssb7YJpwUXU6BFJgZctdJEjK,JDmJxFrGw4oEkYPEsnN7mzp9YdfRc8E71Z3o9GEDdAWP
J8o9rqGLQfi9RAWbmUvALN9kBAW9ayVVr1MiMLwd3xgb,JDkZGMVJoFvbFBHML6AiSVhVr32K2iZzXLbJUm8C3PGH
