owner,count
8Ea7d3kDH8qXJ8QbbDtSnYF1F9GDRNwxnmJHpDwzavHF,1890
4RATHx9UEs8SjF1gZwR4LUNTjhhHUa1pmWTtuViD82De,378
2Y6Fr7SDqRqY5oEmZUf1qw4rciMCgfHB71kd28TJqrY1,330
G7mV6nuU6mAUV1JpcGmaNEYVQNBLgsZKcenFsaM57n3i,292
8DNCyg6MgqXW5mqAeCDsjRxULAs4sLAtGBLfEUYWsMxT,268
2aP3zQQctdtQtMBiLuHkZBrSKG5XHFVUaaf6a4BvDPdY,252
EofCkTaFXUjdwpQdbTnjMsZD1nqjGTenUGFsfEdkraYN,225
9ZSu768buFKR3yTHFc5KBBAeGPk8emWmEGSpHx1odurW,222
8bTjRMgkuFKBfMvfCbhFRbNpMDdZMP5J9iHm4MUULAzW,194
FNQJFcy3fAvQJXAVpX7MXd1BaqJu2y9uuYQXKFYYAdd1,171
6ctLU9CktV7bzdwK33zCm8gK73oG4RP4J75GoD4m1qSz,146
14bS3WSTDz1xZef31GbMEU5cDrsuuL8wzbpb3kw18DcK,140
7GpKtrV9b64vm3T8Y6TyrocuxUgGwRiq3B1G1VeGPVbh,137
HN4fLXn8xPvWisgkoGFe22JNNEuvjR1QwxbxWEdJh5P2,124
4LeER21Ek7fKqr5p2hJnkxNsTfEjSrzzrCc7DeaMQbdY,118
7rS9dbjyNJrZgfXnMuJrdUPukhDECbegUbXog7dJijS1,111
7onPbnFhCsx69eMYm42m4K4DPQ1EfFvEETt4DEtjTeHr,106
DJbv6BZr4mxyjinPVs6v2XbXwWmhQ9DWWVoU2B9ZDvgf,100
2n4PrzenpPB351h3gBNEmBAviibxGxQdpLRGEnVSj3pg,100
FtXJu4HD2ePD7P9JLF1GPEusFEx71ukEC5jZeoYhuQPd,86
9kBo93tDMZAKo5j6BfFgo3dd41KFGxKp36yMwrFyxe4y,83
oACNLDVNoMoaPzNbSNAZ1uzUF8FhBF2xgtd7uDohgjN,83
DEqapWuTTDgn4RK26zC6KAQQ3DLwFFeiR6BWhBRDNVyf,80
FiyQhKM8MEy7SZ5Evq1u9t6LeaQpug8nQewEcTF6SFDi,80
542t7VBdYcHvromaaeqdx8g7x8k5nPLeY3jYUkA7zALJ,77
6pHTiA8cnbtYKKCNzXjgQYiQjqRvQiDzrQdyztbz11Me,77
6forMTqtCZRo7mYfpSLy2GXazRgEHKF2mgXv8zR7cQAk,72
7nb8aXgVYBvwqRE6w5cyobGGJ2veVirjyuuo3EunEg57,69
9kvm9DF2J7veAMKEodJetDcArntSrbMkGvKxvpDCB7w6,67
DNjzkrvPArDodHA8uCKc32ykmsdtLRtnZ7pPXN2g8kuY,66
ErNMP3aJZWdb7YKGXZfdeVAAm9QH1XqNb4w6DceWmshf,65
AF7oBZpGdSKWdGWZQjTXfNBcAymovRQVVi5bP21SuJrV,64
GzFkoYevdnqSjyEL9bq7kkkP1osa9Zb4o4ZQqYm1iLso,62
