owner,count
65fiEoSGDHEqV7Kz9TtBBQPBbbDbixWVbE5DZuozUknQ,234
D6sMEY63CDQny59i84ua91J6BEVM45hQ7sgff8Rxoep8,150
DCLNy3XtMgzAUBseM3BatZE1Bf5KgA67hWkcGTqUgALd,124
4AQHWYvT647XtdoW7KcVzjEwG3ZqmMDhBpZ316yJWrTp,69
8YdyGcPwstrE7GkdnrzfDL7cVMr7xeyDf9f3zYmJzAcY,68
5ynacASWTcV8PdCpbLMbbiJF5wgorfMsDVcfji5h4pqM,35
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,30
6MXFsf9qtn9xN8ARUq2tPBhEPRFSdroC9cm76cR8jExp,28
BYLKYpz6bUYiGjAY7eSaGRi29JVVHwxcEEy5TRuPNSo,25
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,22
64UNxPbj7AaoDc3pYgxeyWBx59Nsrv5QPNFNzcFP8Br8,21
2Z7g7TdfDCFNtDHQ3YVc34ek8CXq1yZGnvXBt13XVw93,20
DrciX1DBWqTK1JNTAAnfpRB5YuLFZY9ofDuiWskH22bT,20
2oEZpomcDVv9VUSsHzvtugqHAEpVf1o3sDDymUHE75mk,19
9WEiLefXxwVPTGsT1AfhYpwCfpGgrZQNnZa9vFsKxXgK,19
HEu6Ng874gJk5Xk11wsqSWkqVJiKWewq4TyrefipDLyr,17
FvXa2JNr2P2RAgh1kPN7eyXVP4UvR9dyJECgz749HPVH,16
BHSzVsSNkp49giPy5EiacpKmFddcS413JCx3ucvZ34p6,16
7wZsE3TX9SLw7jDewDnLvrZnqNzY2f2cf355fwjZTjWG,15
5Su3ckszZ9K9S3SwFEoWn3dxXdFSU7h68u6h2TFt9TvA,15
3irh8T6rYc8yrwn5YVd3vKYTLaXHsLFJah9zp8GJT7gB,14
6fVJuzUXDDkS5rVVq3GeWLbU6ZjbqxgmaJPMRtwNFfDv,14
7HgkAbB1X9Yu3zEkMveNjwsk8AiWvgSAhee6Q8KHKGWm,12
FWENmd8rqREGrdfcMvYe3pXfDq61zYYS1ZH2TzRe14Do,11
6BsdsRPYbDmL4vpTWnYxqskhsiJJNafNxEzzPsDE691X,11
FfQfZPTCN4J9DqVaTxEGLuwdN3CmRJodfv3ximdwCvpa,11
BsYccqnZMtq2wPky2wUVHcqoRfNiHKV8BWzsYjLxECjW,10
DT8SatFjWjnxwZZCbijBcUbH1ycYiJbtKVuqWASmdonn,10
Eg2DEYXfCmeWaXLcCXGS6MNRPFafG5NAwgVB9mrYPT5d,9
7UcqE3j5k2FJn6fCmRavgoEZy6BCkn1WAiMadjLgEj17,9
Gmjw7kiKHpjujW77hseMtMbUAGNFXdeaewFwoY3swRw8,9
TWKbZg3B4FDuDTSfSwCJTriMGexpz9fsYf8spMvpvvJ,9
aiXYUGXLx4wPL4LnkiZjVWUyQyPS1svY5q3c2rAkHxx,9
8DaNJcxENMoSYDgpec1xWw1VoUs475LUKSXR47oWmWRi,9
9CAFKFP1o2NiASSu3kehdgPwFabH2TJpZSp3VijS2GM,6
BXR8GVZwcYikuLSxFfPceJKFqHF4aeFeoc1PTXCFgB5z,6
w99yUf4vMapJ3FHWBSN93vKhrt8UpC5ip5KgpRaSETY,5
6sYxGBdpzfABtHRrHERFvS92y9yv4Sxwo8EFCvjU2vv7,5
8xdciBmomDHhDf3uDCqHCbdcbseqCNcgaHcU5Xr3oUHt,5
8uBSCp3aHQffuwk269jzUC2YXsmRT5Z8JzrsZNdoYkKg,5
C8kNzYYPS4VFn51ftCbkLZ8sUm8CGSfR6WkVxVQmDk8t,5
7hzKQP5E6hBKE5oUrUWvo4PPoYZiG4tHdXiWhYNT7w8p,4
Dvnk9qJAWXv8fX3VHsNn4GstFzHwGuSSTsSUDCEVRjQL,4
