owner,nftmint
5VMTLr1tfN4C3Qxv9iKMVLBkUcVsrv8am4gUZgdJbZyF,JEDDHJTsdVkZo2ML5sTmRrgbRzCECyPSTuvQc2sHDy3t
4ZmThMYHMp2FpRtpm1DuqxHJ4V6iRrrxSkd85izoFDFF,JDnxbHwSotq3G6H7gCe5Gk1FWbAa9NhJhpqHJPoog4HT
3u7fXTwhzksyvU56faCpuV9pLzS3GLqvV4cpBybekF6r,JDnSPf5bQ95gb7q926grDRAVjCz6GNjwaDeWddY9JGEr
6Tfx4PUcRM6in5SssSgWeSZMbjR1RJsLsqzA4u1V36ky,JDa47mh2jf3yDrLzZFNuBFR1x1GGWRozyR1jG4uCUnsu
FjCCBRjfGEpdVZ5vm26pRiBsoyXFgWftidDMn3PstpVx,JCy3fJQVZz6Lj8x5SaKZtwnx9xQJkQxRgiyz7uexLudj
4YXeZ7jZgdZpZViBV591zfd5P9XUzmVuXdP27Ek19Gzg,JCVMcRstmyqC5yXcuHhioiuH19sBx765ZDM9dfv4AN8N
4CApaQ66ey4sL2RQQpNpvP1AmCyLbjCAHVuL85Hwpviu,JC2bJnC8MtKDFT8hGco6V3eodRfwUJeWt7YMVevgUmej
FhLy3CbnnU6nXgZvQQv545JiarnmThCRrimDikgaasPK,JBRkzf9bu614GVVi3mcWMqi6U8cf6QK7fS7EoLZbWhBG
6WsMeewe1qCY1ThcwYwksqfho85kuudm3htAFpkwvDEt,JASyDwTye357orZw7tB5bcmsQhxCqgvVFPFGCWtwduR8
4YXeZ7jZgdZpZViBV591zfd5P9XUzmVuXdP27Ek19Gzg,JAJTxEJ6VEHuMD6wvXAp7KWkYWFFzgxTkcFPc354hWpk
32kF3rvA6NpA8ZFam2mpca6axLKpggQ6XGq1y7pssPvJ,J9ypTsWRYmXaNnwHG5afnhiK6EsMRoK7FoqfvmAGBRSD
j4xfdhuWqu6LacEykBC82pAKLGWd3u3DMHUkegbM35D,J9oMBFPTEaucrufCLwKYioTiH4unQBk5587zcG3ouLt9
4YXeZ7jZgdZpZViBV591zfd5P9XUzmVuXdP27Ek19Gzg,J9Cq4yeV7mRdagst7bTf9htZBe7qxzKvssPc8SaqPyww
FnSLSAzyQkBtitfRWWoAGvmouy4HLwwimyy4R6F6xFHD,J8nErd5VKMQatdodFKk161vJxK56vPfkTAGHaVsGJEtd
8YvfF69PrC3uCgUwzjSwEYZjnkjBrWnFC4cznnYnmc7,J7phhdFhSuvnyvDerCMu5S79UicnBS4Wpfgy27Dta3gW
2DmZ7hhWrhJ3oy9YAbr1MBSjM9ckR3kCuCo3QBetD7qu,J6v7wTrzzPBMz162ZthMqswLZkiSc6AS9kxHsu2VPYKM
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,J6VJpEjNj3nAGdRCpRN2oLB7akBAU3vqhcVUdVagycTB
HmUxHzDPPYKiF4w2kyAMLypGvUXiPa7TnR6s3uXH9ojj,J6UPg7q9YHAh7hcmUZ9zZ2FSZPy5goZHdQUqcfiC9j3R
9KQmDggv7SRjuVtN31uFFRXVQgFRL7z2V8xYS4AVread,J5ou3iBghGbXoWNQ6quD4Te2DKSrczEr4XQB9LNjdMEa
BJTjKBQTQpurfpZifC286eitAUWbCUZ3oATYAbJvBwP8,J5cpgWDyxwJ6Qwi6J2pCdscW2fduacztWEG5KcPTwjJa
BJTjKBQTQpurfpZifC286eitAUWbCUZ3oATYAbJvBwP8,J58efx5KrivaLdfvV1GKLqepopB2tNW5eVNNrrvc6Kt1
JEJmLh1Z2yWRAQ6pWD5fEhYqsGU5ujGoHxT1biyr8kUJ,J4krPzW1JAPKhKV2Yv5MRo6fiTwU1jAyRWeyodh3j6DR
JAu7hEKtTEyiZ271BUskRjkNxcDuncoQwgd7gdXWGZos,J49mN9NoNhZtVfJ2LU3NzEk8QZz4DFXzTbZ91Gp5tYaU
25XH39711eKcqwaJ6kATSPxExQhrYfvxuR35KpDppXqS,J3xU7xMKSQ87gmWvLKyfVCpoQ6krHfi8QUvv2f9fXsrj
32kF3rvA6NpA8ZFam2mpca6axLKpggQ6XGq1y7pssPvJ,J3hR2m3o95i5Ch4g5QhaQgV3kfRQqXDxvXyBy8uvbo3D
6jpRZDwfZ48TysjHTdJHAeiyZfYg5N4G4MrFtidX2BCr,J3UYvxVnajWUhVk8LjBxqszjg5rpp5nSMv2oNYwXBHhV
BRSLDVFnvRUBPAZhDcgwZ4xGoUzM8QN1AbX4jP5zjGhs,J2U6QmgcuFAEdgF8XaK9t1PKidJ7QVYeSCdmYGybUzYo
AEQ4qTvKkV8BKgpYv2pRhwHHHNbKP34isp3bHZGSXUAq,J2FAyJCgoxzoLpxJxVDchjmgNZgkvjBGV8xqRVxxy7T6
34mtCsZ9U6V4KDQEqkKVLrjMxm55FTzeSPUYkbbpNPhq,J2B64tTuxDxvYgjY5PgJ36UtT7YzQAoaB3skePdAJiqs
9L1BkUns7ydLJDbQsADrStf2pcVV27gVNxU5kXTBxBkN,J1ZiAYbWP8W7KSHDaHiYxxnEL3mtJuDdH615iPLmRHnF
6T9MQ6MEtpsVKbV6TktWiCAXaTm2xbagCjpeNm6AecDJ,J1YxZEArmbvvnZpEP6vJBMwjtB476HJz8y9FsatNxucp
4og1CCHsVchttHQHfj4QGdvktYSnRYR9Y4CgzVYxK2oE,J1K43K8qiaT9EvWRNoeSu1VJhubA2hcYFzKbDXrq2Pgh
ALeJzTv8MiPBexXePpYMAhTnsxoiviH5nPBPjGbdYLnh,HzV4WnTky3vxJTYPz9uu5vmFNQGdTtovrtuDEkiUmcXN
