owner,count
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,111
BJTjKBQTQpurfpZifC286eitAUWbCUZ3oATYAbJvBwP8,81
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,55
4YXeZ7jZgdZpZViBV591zfd5P9XUzmVuXdP27Ek19Gzg,48
9KQmDggv7SRjuVtN31uFFRXVQgFRL7z2V8xYS4AVread,42
34mtCsZ9U6V4KDQEqkKVLrjMxm55FTzeSPUYkbbpNPhq,32
32kF3rvA6NpA8ZFam2mpca6axLKpggQ6XGq1y7pssPvJ,25
FnSLSAzyQkBtitfRWWoAGvmouy4HLwwimyy4R6F6xFHD,22
aiQoR8fge2ezVxkA8NE8hMR2iy4UWZjkqCvSnt4QrDW,20
BcfWHaPxv7fMJgwdM5SPoctFoyCCMEdw417bv5Zrxqe1,20
5VMTLr1tfN4C3Qxv9iKMVLBkUcVsrv8am4gUZgdJbZyF,19
6ytnmXxqJxT7k51gg7HCgTruXiQK2MsCp5rwfTT2Xu9h,16
8UJ6rGPvbjRTze9yetvUGTuUioz5UCErFRGKnKez545a,15
5CgA9UCf5AMA7sxXUqHFGNardYyay1SbugBBpLPAXQUg,14
3qJWXaRomwivnZrtZykwfLbeKYJyLZzUmu8yS7u4W6m1,14
E5oG9X4ZYiYgWovjy1vv8twandueMkKMERZHDQS5KdeZ,14
XCdKJ5F7ozrMbH6KubWYWC6hbUYwd9uPHMGuekUYMBa,13
FtS1svxFckXgfxMWYwEafJXTNpDEZ5oyNDmvjTReFTef,13
ATQ9vj9oRafkAXC2aKPpYtp45fpBF2iRyP1g7VAeDfY8,13
HL5EFzb1NYXEi1Xi3fdbM9TbzQ2ok7d8c4pQvU9nk9xA,12
2UyHw9vVsCUQtwkPwDUEB9hp3zwiDKv4b2u1u9GRVeUB,11
4ZmThMYHMp2FpRtpm1DuqxHJ4V6iRrrxSkd85izoFDFF,10
5spUuHreGH8nH6st6VujouLFj7fhXpQxdYBq9TWu6gqS,10
BJdSvc7BLp3Ae6ZMKi12P2UxZCB9P3KvaErsa93FCjgN,10
Fe5xkXbvbHHs1XE141Bu56ENcN4WnWt5sq3FRuMY7EFt,10
xEtrKicoipCxteqVeeLsYLmhQmqB9kwMiF5r8XzDCVT,10
AEQ4qTvKkV8BKgpYv2pRhwHHHNbKP34isp3bHZGSXUAq,9
8f9oRBwpFF3h92MRscJAz11Lzaf9QoyPHG9MzGcwPLcA,9
FjCCBRjfGEpdVZ5vm26pRiBsoyXFgWftidDMn3PstpVx,8
9vwVbQL9h4UEDJXfXtGZEkKMZyii6gG3EL68TSbVBHFK,8
GVhXFiqPDBotb3ZCYRz4DsmbUVjbJLPxFQZW349bcmuJ,7
8hTjx6zLoU6n8CAAeVJqceAQwPA5W7e18onJYdMmj6hj,7
A835Xf7MtaQqwpiKqLBhkPs3Lf2tR2j56S5BCjvJQqhE,7
j4xfdhuWqu6LacEykBC82pAKLGWd3u3DMHUkegbM35D,6
9SVTFo32tTdUk2VS6iY8wJtkYYdofsaacPNq47vdHS13,6
GEAgMQra6LACxw7A9XbwNZUtkJQWhoQYu2jYJmtRHdoM,6
Bv3sd5i9evicVbosCmEjUD1oAWSrcj49jmQ1cAJVQPC8,6
EhU3rsSCPtardymtJXaXAJjhYnYMQDdaevfR61bhuj5w,6
JCapwSzWyHkjuVrT5ZTyKwBHzV9oYrTNhZguAMc9PiEc,6
BBMRzqrFS3FQ7CDYesyjdKQV7mTLiBZwWJuj4wy3P68o,6
HmCJo8vMofrFa4dzsh3PXK6Boy4cXX5os9Bp1EB6Deo6,6
EXL18BzanMxQaRZcFkAGLvhdhfnzn6CDPHqhnAcbY1E3,6
9uPpS1aPzFDbPoTLGSS79AZCpiGKEyqUERgZaTC3FABf,6
8YvfF69PrC3uCgUwzjSwEYZjnkjBrWnFC4cznnYnmc7,5
JAu7hEKtTEyiZ271BUskRjkNxcDuncoQwgd7gdXWGZos,5
7P7GiuyWxRcGnpLpFD7F9zdvQQH2uFb6iCLM8Eq4fNpk,5
8QZQyodTsoHdEKuKAEgGs2z2bbKbZbJRFHQtKbhu9qi4,5
EppQRfVL8WZCbVQNmhbyE3ZF2T2Q5CLK4LVYcFb7oAPV,5
3Ak7cUpMBvj1YF4yZVvJ8yecBxaMGCbYQkM3qoibe7VT,5
2WatQSHvG5NpW9Bue8DFJxcJY97HESwuceHRaQFgSopb,5
G14pZL3RUstQGFNyuyUq7S98f5mGgHDJ8Qoh5F8njVnY,5
AA2ShBjUDH5n5kgD1vybW6tuaee87FrXNTHnrVtVvPMK,5
DkCnPWGbSozyQfP8Kqv4K5G15m3HcCYzmw4FN33FFXEZ,5
EVSnzJchhCdqiXqiy2SStuguodPZAtwft8DMZMYUaFx6,5
AbrYKGU36fKCdcua5VKVo2X6ABH96iynGj7pvmXxKD5C,5
AAzGW1hvTyx7vp4oGKxyrg3fS55CjM9ybJnRAPnbK7NF,5
Ho2Dvsuv39GCnVmYa7djyB85S6PboHbz6Dw3S4yUVfKD,5
sFUXAPCN1jtV1Jbn6X7JDiacuDPdNsBrvF3peMSyFDQ,5
EKRmmWMpW75esbgMop6uXmWLxwEWfBa4JxwH7zJsQJLc,5
5ycVUpjd4zxEpxWmAhzAt9sZgzWSbrbKDRcan8Zwu1me,4
3fjJdB7BQfsPyi9bGiGBggNdaALZUz23ezGWo9z9XMvu,4
AtDHrvgP2ZwD9PZfZAcHpbtkapDY3m6Q8FJXfYma9Ld8,4
AkGQxVK2FFRi9doFRx5gwGXBr6WKknvU3evZkDu3Yas4,4
HDic8tesxZppxtqr9qLsFaqxVm32emsoGFrqRXnw6CJz,4
DBTNnQQb4SE1aLftbFNBg4pKiAHRMHyw1bYK8G5ZMVMP,4
A71KABoQzjDXR6Y47uFKQQuBzzLmxarUNuNGcCLV4Pkw,4
75we4e2NWbtrkuCZqbPEsFZeo685dE8dLpBJddHXpTBa,4
F9xYBDaRcWpM9Ke9yJayxGgwAHfQxMSroGDNq7NKUgMj,4
AA1JKvYsmHEhPaws4xR8uH7MnwpK1iYh2EY6insDvwUX,4
Bzm5BCDS6L5q11aBVAQ2ZANzjFDHMX5X7WvWbhgfCXYs,4
6R3ULdQkoUbRWNVAiWpiYjyab6rnXzS8RbDemHwNTgwr,4
8bgxR2Vs3MeCTXaLnu1gA9gLcLk28ncHHqEViZeBsAhj,4
CHMmFSRXuKRWD3HsuVSmL2KngdLS7e934811tLpgxYmi,4
7K4SfJBcGjuin3FaQPihu4nbEBZR45LVXSHdLTkpVGme,4
2SrQfjWfwprifVxcUm2cBdWmimTr29YnwBhiJ3wT5pqs,4
49gYn6Gq4hAYcMBNHBLzmDV6ZFu8zaDHPnWgGJTgs8Ys,4
AqQd3e8YYGLwtsW9SeiKYF7Wjump8o51xMLCMKHYHZe9,4
D9SqJSRTQC4TG3dgyiWf6UkB6b7RkcnxGPfVYSWbi4rt,4
8d8CYjuy79LUtUow8UeToUs4Xo35LokYRkeukhJ6uriA,4
HSA2WDtuad8tzHQMrBuLg64eoprxVsoKrA4pKiq84qVq,4
Eq76oqw2ihTA32dFU5NinHMUWHdAYwd2UXpuSVpJKddJ,4
3Y3qqAn7XiE6tLayAFuAoxq4xA8D7poZvA3UBPfoofmJ,4
3rp4WPbNXi7APJryA9iXHRyQz1TWKMJtYvguQ6r6S2JK,4
3sysLszsNFn8H36ukHxGMwi4hpyw4FuBzebfxR5nr994,4
6Tfx4PUcRM6in5SssSgWeSZMbjR1RJsLsqzA4u1V36ky,3
6WsMeewe1qCY1ThcwYwksqfho85kuudm3htAFpkwvDEt,3
JEJmLh1Z2yWRAQ6pWD5fEhYqsGU5ujGoHxT1biyr8kUJ,3
9L1BkUns7ydLJDbQsADrStf2pcVV27gVNxU5kXTBxBkN,3
3fVKeXQEx9uo2nsGSW1kXzwj1YPBNtC9z3X3dU4LGN48,3
AUSz1astdLxDiCyrgUyEHLAjFF1bmf54GdLstFVUwmee,3
5UxtGvWcRK9amF4BaDF9LnH91qCCmJ4hQsuqLQUzgFXR,3
4FUYtX8jitfCcQbW9Vvjv7NNyTiDsMf1Kn37yuDGujBG,3
C6G6qp6hBWBFR8fE1UpMdj9QhMPQUkuYdvcDZA8vwFeN,3
HJrYczWnCWYRdvTEzHhrvNB7foHSjG58WEcHgPLBn4TT,3
DPjyzuhzPozewFVyNgi7dDxcFVHtEekmbWiZGVAEZxKE,3
7iGCFYLUJczcHwpUnCCK5QFBCvYwznnj82RoYQQnWu6d,3
5wf7kKwTnrS6jQsC5K5egPM9vECAi7v3AzVHY7HHie6s,3
BMU7FKnFT3CvjvfBMfXpFUdnEKi2a8PRGxm4Ea5TbtzU,3
2NC5xSUy2itXJAVMeJv5iteWUtPxFSgNKwDjExVuDXSe,3
3eSSDYzztYHfGVG6UaKK1ZRsw165aCmirUUEHwrhdbGH,3
7GpgjtsfDThuu9ShE1krJ6BpRpA413aTLEkt4f5duQjH,3
Gxca2VbLUwzYM1s7ZuN2MA46AKh4ytyr5Q2t2ncT569C,3
CLcmaiL7rDD3JhT7Ls9kWaNUwKt8FnSNfmPTP9CFCaLY,3
4ZjYSCH3Sib9iMSM3QN2sL2kwxNcXG2P4XCemSC2hsyb,3
Gm3KfULKPzTG4az9ugLQa7rJYmUH9HbzQSS1aCEeidH9,3
BUYPAZNJHi8ss5h6isVKDL3QGBcwPvMjZiCGXUXxXGFJ,3
5zizoqbNgmdgwGpmw6vHR4zMGk4cuUuuFt9USvKPLnn2,3
5M6GxTyxVeRBR2ngcW6kt41SuvJhFZ6LuYXdPyoDuA2g,3
5XWbfJeQFajvgBNDejBjeyyPgCgmzHsW4GtDqobu4sGz,3
7wPSiT972pajKEwzBgUF7rcLYqsLNfjS7BwH2XW2M9HB,3
8ghzssNzPatQPtqVxMWDcdjhFuVxQc7d84D7AnRdaq84,3
2GsEcTx37b6i8EHmLUWiWUX35fqKsyNFEegpHqNMFVWg,3
E15gD4or2pcgfn9gcbi1aiEyYPBzgaPvmkCSSrgNRKTv,3
3VGz1GX4m123ACUWScVRmYpBTHuGKiih78nnaJUPEXUa,3
52sDun8hQGAF3vDBcG3XLVMJkBL3vpXUpnhRsEsmyWUJ,3
CscfVynGt6z23oaULLsRfukiJWRkSKKZzMvk5JFX5wgo,3
yfUkk7NmNmimdSdLA4gjnnKd2bYuSbDRYQFLww9bPeq,3
GvEfr5iz81GM3i65xE5FnCeDZvYEhiHhgQ4bZDqrSUXh,3
8ecyM8Zwy5VSU4bD3dNX5QRdKrNrrrKUJkuzuRg8oBYT,3
4og1CCHsVchttHQHfj4QGdvktYSnRYR9Y4CgzVYxK2oE,2
6ZDWQSfHLr8bTeLaSU5wWwWdqmoUUGMy4NYaexySYzdY,2
HLpdCTQ925K7rAmTb3A5wJ9PLVSgeJj4YebLA5u4u7NS,2
BfPBpbJy1Mi9e5msPnWiu1yU6U4a4Gzyq6aDq5Wt3uVu,2
EAJpAsJFermfvrvoTaZ6SdJLL26W8De3kMvd53eKugUt,2
EvvVAaqrg43sSLUZvyHXmJnuX98WCgxXsnvfr3mf1icL,2
DRmyC9TWZrM6uNbBH1Jq73yD3zZNnLUDepMA9LoEN1D2,2
VqxRNsh915neweKaBDXAz8Xcxn6ofcFLgFqXwqRpGYt,2
9rDepoXYpo8Ee3W4mowGZTRw1SviDGCmYDav4VptP4Uz,2
BpU4mGJUBZD53JZxLUsCbzm9xQxp1S9Royx4Cjn7F1GD,2
42Y5A5djQxarDtz8oHTWxGUDbkR9LTrqFM64dJadeGFr,2
AUTJZs5G6qkP9m8iYDMPZAPsyJFzcXD8Tee6ZpuDhqJU,2
5to8Tu1q277UYk7976rX1aj5Dx5DwsA1EiC3PSbYViM8,2
4CTkZB8jGv8B3Co4Rog5DpYkJD2pbdQNnth3S4sbehLD,2
9pa8Yb6aMqwFpmny7D2X1wsPPHT6X6qYmrqxRcr5joZz,2
GvQuQt2NmUomFALC2TqYuhMPpXnNzHSrWn6bG519UCxL,2
2X2knq6T3icADuvnbNm4TCsK2BECYAcqHoAFU79wCzjN,2
2p9HMy5K4Xo69pBnuEv7LAjbGkJEWNCa9bXsRdkvsQet,2
ENzJW7akLJTYuDR3yCdwU6yWGRihXrqMd3C3PHkpprfz,2
BAg5SNJK6qmyzoNCDrqMHFxna7Cj4yXAPMR2AQNvYMY8,2
Nd4G68mVaDNyY5WzwBYBT9FR8Tb7UxPsgL6uoQMb5gN,2
J5H87VQvHwPeR4NZxvz9ak4aqcLdbott1fEkmJn8XfxC,2
6bQ3a4bpGNAuLCLjGmrraMfpyPDeo9w63ALJp7oSCkGi,2
ACk6HHLXcrsmR6unVrFSbpLHEX92KeEURZoQeSDx9YsS,2
2GGHhArJDZNCsstoxuw9j6Lh8uoUAmSYTM2Nh73ZXHjg,2
2fjgpMhiZUrtSd1FpMEqv65ZWD536DA8cgCJKSokyLYf,2
BjQp8HZp2tpfATAQarE3SbLVGpvJm3S8iMrdZLYvyJPj,2
9Ucj4Tg6Jn1TJk51qBBwhA6hmHFiKrAZrY2U1dNYvjy1,2
EYdNitfwbgvpEWt1Smj9bo7ANsvojYq1RTcXfCVBJ51q,2
6957NQzNUTvZ6DxYV4gcy52A61Y4j3TtmDZK4cBr4Kwr,2
3gS18kpmoDgeB9uftuYUxnPtqzQHdh1iRPf5VfoUbTTN,2
BgFg3ZEPZymyEHtNjZ7nTeccs8yPTFaazyLhCQoXJsFi,2
2zjsLbvQCDh9PaCpnnE382i6WMpYEnTbbzvfCVW1JWrZ,2
AMT7ajkYQDWj1vmoBPqx4guAxdupWYw5dcRV6yy7CPvQ,2
99erqFnxwq3xLvmz2c2sKaSjpNppmaRrXeZmFj8vQuCV,2
6so6mycpRfQPHDf38uMDw43hhGxzZHU6cXfUhF5CUVhx,2
AZhuTpkEPbtT4twi12Byxh9m9Tup6NZEwZudSAd9C2vb,2
6jf3aqELRnjpBpgS6YDt1tuPLw1xbSYdd7HsF8TMEKY1,2
5XETABZ27UoNYrzWwKj1q8vyAEPnYzTmSMVm19W1uEoN,2
6FeDsmcDe16XRGzDeFHasDxYiTPtGJbbwLmpAqLzux1f,2
7zFJuavRv8eHDVgAahYpZNEeFBR7ayC4siVHQf8cE11d,2
3dhpoLoTpcTrN7AbNx1mVGG7vbwbfvhuHgDEn786yDae,2
XGFZk186maEp6FtE2YMHNXiY2c9kTkUu88ofnnBm94j,2
8MXVZ5uoi4ipSNFw4WzfSw52vXNYpEPxCnQRmksDsfkZ,2
6pCs22raxzxVRqTehg46bVP3dopJ38XZQCS2zbKPKC45,2
FwsaNwq4JBANWPDfPNK3GmHoLVauStcyrX8fk12DnyBQ,2
ALsn12vcQbs9brfV8ZePm2nQDtT9EReuQQuCCZATmp8z,2
9MYSpAYoEeRP6aHFLPtxffxw1QnubTxTDXU9VoWymFJY,2
CpBDtNsgZGDqbvNtcHrRRzNu9VdKcoQaZBuipvEWKBU8,2
6uMAunUshwuvjcqe5HCDqdX13QnYM24W6M9w8ERcbJm6,2
8CRGA6XMCsitY93bEPG7zNyYaB5fZVQfauneadVyCRro,2
47BG9GWa7xMhN5f9sh7vCNTcdRHkKn34jnCz2YkvLL6d,2
E62Aq9dKX2YiujojCYG7J6aSMy8Kp7KUafoAMVAa5pRZ,2
3pabGLV6F1iL3KZyFE5rYmtBxjesFjzs37AnXoh5Kypr,2
2vW7o8cpWhV8pGCxfJtJncrdBXjaJHMivnoqXQHZ1xtg,2
7dNp88kqq6Wq74Ch5sRMHaZcpBie3oE7XwP9KnpASiF5,2
FUFSxoW2VMwCB7QyPKpU3uf4r7pYxj9CKtrkqbC5KYJN,2
8zpK86dHcDsu19KGt12CoprL6ECgCLQ1RNRxRixYHhEo,2
BxKkhh8bmxdzQscTvxskoetXaij1Jo4xNqMgxNUMotfN,2
8EgSxK5YPet5RK7vPnmSNDfZCM4WG8749NVXNeGwCGVh,2
