owner,nftmint
CVwcPrvkFnix3kxeNxWRJ5BG5FRuXo7vE2ajstzZtZGE,JE4VwFxutYyfpaxyuMVT8Qh2msSwxmrSpTXKpepV7gA4
BgKgd5R3mbLzwU5jDP1WBUGkBhjoaHMcPsP9hHsj6Lo2,JD5Mwi5LZ5sebrSdvx2ZBTdejiBsmBMWcygYikvtgoc8
GZJE5axGYx7YySL8ZJFqA2Jc2CBmVPMRvJDxrwvTr9GA,JBRFifVySdPkdvWs4iMoBmf3frsMjxVeNn8vZZfiAyhu
5VbN4aQi6CdkmNjzi4ptQXvEHAkAXM5z4zWr2tTgRdeK,JAnHozUfDkcHw6LMAKLWiazPxvtu854H7Jpt26HwTLuL
4JrDa258nSTnVXnCzDnAHMUWDa1hvTzbTrWdmgYbCxn7,J7g2C3Nro7UMpBtnYvRFwH937VVHh3eK95Sn25HiDoDL
4usYhX1DiWu4vQNmQEDsMYJeG5g4tafdUDTsEzhodPea,J7QCD1sENbjELUFsf4tQ7QojyvEQvmmyuSBZ7U2zZmP9
HJwA4PeUUPTbe3geyzi7WFcm8fgZFesArfiAiqhhrT9Z,J6rBbu7UT19pMqWR6DjJss69TPqjZdwaQn23fPUaLv9V
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,J517kJTBcruFy3dva38ECenZ6cTkZPNryC9gB77ERP9f
FczkGKbe8ZQFaXk4qnmcACXgafYVUKQxsgVnWLM7w8kk,J48XYomphsNHowy8maDGAUbu4EiRzDPDkvhTpMUztgRU
2s8MmEGqTczQocj93eqJy8KH2JRBJHaLWoyhcHJcjFXT,J3xreT1ExD47E7T3nvEzcvNH41NY9EdMJvy69WRKvRRg
DFQ5AfopH4YtRRuiDw6uVqS3khmi8cpLqmCnaW8rPsN6,J3nHdEtRUzyj9rjKmxaA1DqQj7U7nhjSCL1tDZCQ8ez1
FxH75gveqRNXJnsa2fN1GtTMiGjP1JxCRnUPU1d84Fvs,J3kJyAdnVE7c7WPqvPGfZurMmMuGZTJPndrxM79P2boj
DPXX4QHgQtdcb5ggiWjiuwGB2YyNwDjq3pBdAXXCJ9RB,J3bTRwBHbs7r9t3iQ5P8ETypEwxwC67vrK78n6G8KuqN
55CV6TvZjhSDn19mpfHYJ1UiMtF5C4WKjdmXjnmkgvax,J31RW9J13Lp7rsC6NNs8NegDHEsdESnWTZeudg3Rr91w
ELQmPzx4ZeqLofg2vVd2mcZjRi7TLvTzJFoD1WsPzkdr,J2si47BXaeURmerR8cwnkKHk5zjoci6t6CukFfzVgg9x
DKomGYdT1toUkztWGE2iiV7ZPon9oiFHEJ3cip5rzuCy,J2ntVqJ1eFVGWoXRnFwzdPRUY6iWpT93gt1EbtcgULxL
GZUZcUBwrHi196QjhqvnxRnSnVUKVkkNwW7HRjhTk3Nk,J2g6shCKPdKE4DPaXoLpMvLDx8mLK6cd4xPDuumL5geF
6Tfx4PUcRM6in5SssSgWeSZMbjR1RJsLsqzA4u1V36ky,J2eJfeSHzyyw3XrUzNqpruXJLfzqgSGqTXdXztXmKKDR
3KH3x6Nd4zDzegyJsyjy8nyQiem6XRuk4TbQbzd2b5v7,J1iZ6HVveudMd36MHnv6Mt798xtZuvNjTRNysQKdpuJm
BgKgd5R3mbLzwU5jDP1WBUGkBhjoaHMcPsP9hHsj6Lo2,HzxaZY3udekMqoi99AgwvAuDGLZwKsSyS1wyNzF1Rf9t
BXx9UP8rfRCkHVuTMn89zEKwt3n2nPPRxaPUFhycVuT9,HyK8qxbwjCzsyrSWPbFHA176pUHfKey6RNFoynWJvow4
3aCcDRXeApifmwSV1Xp7Vjut83CxeX8wtPXztA2qvMmG,HyGPrFai5xgbtRAhbSYVdDdGkSyKx6Qje2UWu3FSSGjP
AzmgakTxLAutgbcNkxi3S4M6MvuZvwcrzMc43ErMFk4h,HwzcBofPbq1WrvtHLesiccuBZ6fPXjGrANCLBGLqvrS7
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,HwTp3qRDoynqyGLYZ3sHBEYRTT7EWPRiozPvcuwk6B6b
FKpaYQvhZk8BQ5JP5QTx5CJW82frxHgRSQQJuJXY3xmy,HvuvevcriFpGbwx1mpQGPCDNwhy2VeM2bhnXnAmvwDdC
3D49QorJyNaL4rcpiynbuS3pRH4Y7EXEM6v6ZGaqfFGK,HuL1hrDKgRvzQpBDT1PTAGJ8F4HG5hfAz5dMgWyzENZB
EHsRiPkJ7TkLokiyDZp5eMSgP6NxVygC23HAowkKnAg7,HuJVo9TVs2cvFFRRMX6cTjzs44rvGeSVtwQrrVnAsoad
BNuq7HEovyEFvAQv38CoVWR7xj53UsV3RKXetzmDuQgF,HtMyE3VjkT9JBkrtJneTD1Awh5kXjN1tRRLKVYbxki7u
9kS5HNdR4EeFgyfoNQxtMPtYcLoDDa7LHA1ZMvssdxwf,HsAjXzkDTuhvpz11zSdkjTX3S8ttkac5n7Av47GmnFYQ
7Tb8B1x8sjaybrwGSV3Eer63cqEPNzBdoRqKKgUaUKTY,Hs9pB6SwwFWrUqsz8JWmKtD9PoV9CXUyRyeFQYVEyPP5
J5XMjwRNk8H6eBgnQWSYxnreeJEhyUbbD3XSscFfqF35,Hq9viYiqn29EyhKs5RVa8fo9i76rjgw5Kj7oekJkS7E9
