owner,count
4JrDa258nSTnVXnCzDnAHMUWDa1hvTzbTrWdmgYbCxn7,78
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,63
BgKgd5R3mbLzwU5jDP1WBUGkBhjoaHMcPsP9hHsj6Lo2,37
CgurL8SLVEbhYfPifQvkrVzVVXK22bz6by2XFcBMrtDx,37
3D49QorJyNaL4rcpiynbuS3pRH4Y7EXEM6v6ZGaqfFGK,26
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,22
55CV6TvZjhSDn19mpfHYJ1UiMtF5C4WKjdmXjnmkgvax,21
FczkGKbe8ZQFaXk4qnmcACXgafYVUKQxsgVnWLM7w8kk,15
HFPaT6WKk9SkwtYVZ5m5Sqw7ZbyehGu9GHjsctigm49S,11
HcrxYjDSAS3x3iWTcdZiSaMvEpPAw3w7ihw9V3VRzXXU,11
5wkVG83AWsW967w15fTg2dHmHR98ZE3Pns6PToYnq6s9,11
8boWNSmRM2PNLQRSsMrhE1AJHzw2eLcBvFskReHWSaCC,10
HGKoagSMRYutRnsAqraTLW5UpTzH3n3py98c31SmpvqX,9
2aehVLZrkCk8cfqnUHw5AHpoQis87QJYEkZkEGzbmAbL,8
Hoxv5vSDNXGNW2srH9aYeXMxY6zdLSB5fUWoUgdWUKGT,8
8VTAxkJawQ14rWa8ujapfw82UauqfPMkuzXVhsVs63g7,8
3aCcDRXeApifmwSV1Xp7Vjut83CxeX8wtPXztA2qvMmG,7
GPZFPk4BFuBsboL9QBuBzhu1TEJzFoYSarQZ8LbeJNNh,7
8WuD5bjFXDFYdVzi9wa2JXbQmcjcdoKFcnW7BAppwtZQ,7
28PYjqGrN7vi5c2kccYQrdhoFvqLnUGcuELPtDrYQTmb,7
DLz43nCvG6iCQkKH65zZdxZ8bD4aGwcfyuKJFsAFvnvh,6
D7SQCJWNttzF2v2qQWHYcW41x1dJdz5gWDxg5y98MfMi,6
E4Ls13fC3EwiodUziwsTuKWHSGq27eg2uU41Hk5UjdJe,6
6Tfx4PUcRM6in5SssSgWeSZMbjR1RJsLsqzA4u1V36ky,5
BXx9UP8rfRCkHVuTMn89zEKwt3n2nPPRxaPUFhycVuT9,5
5Dvxc4WgjqqYpB8FBPQzrBBWF8WXduJ4EP1LL5GFCwbB,5
6VahAq3uxLSsXLDzrcJUUmF66Zs3WhqT6eVHkgepzWVN,5
AUqbYAVvzaSMkChRz6rmbqZ3fF3T6Kb4KdPPdqkYwn3f,5
4zfZTHp1HAk5NqFJMwwkPB5yPts7J9SvmcrXgxg5TgU5,5
B8TKSNxGxwRX3ESkStkPKjuZGcRcfpFfs8SwxSZMvkwW,5
4usYhX1DiWu4vQNmQEDsMYJeG5g4tafdUDTsEzhodPea,4
B2xdWjEJ8gsfxXHW1AQ4WzHnB1TcPBDwf2qPPwgDB6Ut,4
13pJwcaj3Vd2i4NLKNfpm3vHpRuPyCR9FHRgkn4Ngudy,4
A46BXz2TeXCtivk38r4MKSF7RRLvg9scH4rTmFutQ85p,4
Bqf4tzg7i22JmyMt9qLwDm6gRfUEwsfq5rHWuRsJATqU,4
BWGcrWQH7z8bKgV66Aqk7hdwtQ56qtToNDAqrfBqXk2e,4
5HfPao51VVvBoccFy9epKPf8RfXQSaspzR79xDVyL4k1,4
EPhWVVFfyu2UbmowFUqqg7Htq2dt8rRjvDhq7mSLmKq1,4
FpyTe1g8AvAUx5tsfTCks3kdq7C5G2gmDxHNEDD3RkVA,4
HMCuUsfswf8ngtNg1E8RgpcthsnjakGfSptKNqyzBuYb,4
GCMs1kSSPRuaNAi4jZs8YrKjHFAdmv27iWqGkeyyPvk5,4
Hdf5yT5fwTPDKDtetMXQQGpwoc26Wudz4dRA2UJsR3ja,4
4YftFhBwbMbsWCHsBHQuB9B2WoX5GMvPT9utCWiqXrF5,4
HUphnTzW1KqfC6VstY3DoB5M8TXrLL5cSHbQo6qGgste,4
2XTtXiYLw9aHwg3XbA5Teu19ug3Pr5qzzHDtVS9nUCqt,4
DFQ5AfopH4YtRRuiDw6uVqS3khmi8cpLqmCnaW8rPsN6,3
ELQmPzx4ZeqLofg2vVd2mcZjRi7TLvTzJFoD1WsPzkdr,3
GZUZcUBwrHi196QjhqvnxRnSnVUKVkkNwW7HRjhTk3Nk,3
9SYnkfYZWLHh2quY1BoLS1Dm6pBnYnnQkZzeJ4TJcgp1,3
5S4yupCdT689ciGE6TZLqgLsW77t2qaUiEC8yFd1yGPh,3
HxfeAUBSopqkCyNJ8mYxakQNMEfU9tJbmhq1fYkVN5bn,3
ExRBMqRi4pHqbuTJHpSR9NbdY3MVuToaUWwTR6g9KHLk,3
54xmkNfdNYyvEN7w5Ja8Y6rZoZqCfzKKvRLbnDh11UGQ,3
6XyXZLuxEWVaxvpzx6kBCZotHNxh8GPSt9WS58rLhEqN,3
5xGTiYc8h8FUGeGGDWUmZH9B53Qu5FnBZsmFTHxgfQMk,3
BCptjFDf6bFhec7xD68HFWQeZYvoRRVD45ijtNYC5aU7,3
7XhG5bccreaK6xQT43prFYtdemNozjTbgSPTVWvMx68B,3
22LorqdZVZSr6kWJrLJ2GMgL5oxxW5pzJ1YEvfbnBESv,3
4W7WSf4cKMZFrex5kEh2enb3ZZJzh3pnL9tenV9BsaYN,3
394iV6GMbpAr1VFMQJuFyLfPg3iw54ZohBqUsY8mGRfL,3
2uA7ddxEwhevz5W6DrvRuJ6UHQuVtWbAERK1M6DboQpi,3
BD9F4fBe9rgb8ZvrbegvuJ4L4F1zj9zjN3WNzWsKckZt,3
Emctvfv7Nu151mzDtFAVMYg7somSK8P83B9TWrm7HpgF,3
BiEVqCBBYmDp2PdbCThMdTNJzSSWEdzoFhZKjsjLsKst,3
8jPJCtw7NmobqVQeJh3kxb3km6B8eULyTonBwMGZLYZ1,3
GZJE5axGYx7YySL8ZJFqA2Jc2CBmVPMRvJDxrwvTr9GA,2
5VbN4aQi6CdkmNjzi4ptQXvEHAkAXM5z4zWr2tTgRdeK,2
2s8MmEGqTczQocj93eqJy8KH2JRBJHaLWoyhcHJcjFXT,2
FKpaYQvhZk8BQ5JP5QTx5CJW82frxHgRSQQJuJXY3xmy,2
7Tb8B1x8sjaybrwGSV3Eer63cqEPNzBdoRqKKgUaUKTY,2
ARbMb7QA2xHqCcZo1ooWDzWCDPBvg6Vo5joTrjDVBPmu,2
FBtxAa48gjNCAex6eDbb2dNVKDvYK4gDM1fFAH7G1dSS,2
J51JZ8gZw2c8fojYGy3m6SUMbaUEuFyS1mT7yzfnNAD4,2
B1zSDzmejrXs4yFMGCkma7FPdKnh1AYn5NH1XJ6bJiXB,2
3syjCbUehkGA6j1iu4ZZ8DT5xDH8i6HDLw2AmDG44awt,2
GmmYztiJ5FUuXmw5JDwWAs6Lcu76gfnq6fJZv1PJBteV,2
6o9raR3UiDjzNPAivbF7CFVw6PYuCR791ZRVSun54MPk,2
GRLv3MJYUYxx5jc1ojZErjkp6TZ2PfVTEUC2Tu9XuEz3,2
8FWBR1bSyjJ6m6r29TJtFv1Jzai28uvetc6Co3SmB9vS,2
2wpBRyFvv7MHhMZxWK8ge7mpsqkWv89QTRMrhTBKA9SV,2
wLbeKQxqyHMq3GYvNLbvJaPk3jJU5ndY7UhZnJi6Jsq,2
A2oBKmxzLPik6U1NUFqeaS9EZqG1kdbZ7dneJGpURSJY,2
DEijxEfKJrR4g3ZHWpp9bxtowN5MnfR2XgXDAtBFMive,2
6j38RXuvsh4EECWuwAAaobXmEQazpVLzgitB3UJ5s4C5,2
