owner,count
GmWkoT59phqjdGXFeCAyjhR7MTnga9sdRCvC7j3w8K8a,155
HH33sE8iADZArhFauY98RVSnoedW77hfDEvzSG3yZvZB,125
8xjHAQZs9dxGmbLQmaoVr6Um39AEnBFxKpGdEukfweFo,112
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,96
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,91
FSGxEWUQ2xgdFJk3sWMDnqb86BkJNGHkXxKGn7TNvgmB,63
9sLKXbGiTmMjZnxu8B6oeVpKYenqWUv1Ea2iTcgZ9frf,56
Fzc3Kc757Ad5aLJ9j88k6VixsREBFZzZKuMybTi6df2w,55
GFdxZkjqfQNLycC5HJ5HUQRZJuWuqLBK2GNsx3BGwsgp,52
7hMXST9EvSUzmiifKKz6JWt5jHHTN3qQeemv61BSHZE6,48
CXmzMQhANAa1srcucYkVE78r6K1hLjZh9VukVewcA2Q4,45
EyxGM4QJm93hrJ25gHA3ttfWPExe5pERDdBM4YXYX6T4,41
6xehhcYdry75FziKj6bQMKy1qtGcQW7BnJaeLjczmGnq,40
Hp3uHMFi2NvLkwHpq6fFhKgiEjLMTBiHN3F7PTNjHXwE,33
C64rsyr5C5oFbWjhV72S3K5w8FbBbgrtXT38Ly69cD7E,33
4scCoQKHbS2U8YvvVsp7HskFtXuX8qSPzDTbmCw3FVmu,33
FS67X3CwYPFt8w8s9U1J2KqUq9BmDSg3QuEtz9U9HMMs,31
ArrL15JjF2HNRS2L66V7hkWRWRaGRCKLadCu27xHzVbD,29
2emuWKCNC7J343PVvWq65ddC7R1xPYZA5M48YFsnY7CW,29
4Ur6NCLCEe3KkGg1ogaPysibgTSJVgkyeh9W3XehPCax,26
3F21SJs4FMpsakrxmd8GjgfQZG6BN6MVsvXcm5Yc6Jcf,26
4KDdnqLb3mTLrmtfg3fjNK3TDSPPGVuhA4W1ovh8nkmk,23
7V3LXetSQWoyfhZgv8JLzLoYsRRAaNyD9y9sDNtPSdP4,22
tNYNMW1QoZtPS1mtVMSCoiEAnZFTZ9gcxEn97HmRH4m,21
5vHnk8WE7rTprqNEtdKdzBMpvy5j7TKgEVrUBVbyH79k,21
HXz8b8RhwuHwHw64bjooRMfieAUWG4VBA3du3KfbD7fJ,20
23d8s9D2wYR6PZCeUqGHSEK7jojhrz3szgcUjXhztDQc,20
81djFfoFySdwJKLWr3Ax7Yroa6XasC8Sqdnkv1o6d4ch,20
2oF1MiK79QeAUryEPUqyXS4h83C739maTTiYQkDq9Nbk,20
4hSKDqEfbNXoDYZ3G5izbYHQLsqp7u923BxUtjrsjmKh,18
Cr545NThz8GVy8vnN6cyaR79sAHTzK4dDZvdS2iM9gBB,18
9jvSv5ZqiCJwMNdt7LNP8Ls8QDXhMnCqdfaZbj3eEQZC,16
D3tprjgV9KcnLDhbmxcQMCgu9xCDSVbF3SC4Lx2ZLQvJ,15
6PA1f8o8hWfJKQVMfdzxHFMcApqwHZQK42TKEu7xKZZH,13
5MemmmAgeUsKu8i8uEjbTz7X3ebM5mANuFHsS9ca3tUy,12
5UBiv17A3vDiU5LuyvZznC6votZSCU5wL3vdneAKc4RY,12
53e1tj2xxJ9mizqnN6KeTDTMAXX31h4gJ9Ew1sjFy3N9,12
A6CGuSdh3YrVutgT8BakiesZDFHNW3W7UEfehum3rswr,12
87TAe54bdTbBQ96H8ChekMGrRMAq1WifgJfG4sH6ce2c,12
451Js5JLDSrRJdkjuaAK5KT6oF49kkGijTqeVTmEzbL7,12
7QG9ax7djns1HkazEfsQN2938i2Z5HMMxGhScJG7gCA2,11
2ztzMVVnsAEjWZYyH4orrCAmsBq56TgoGY9tkH6SgR3N,11
83gKxSCAk4yYuCwaBE4qsnHzJywW85zwopV3jiYMapn3,11
AvStKPD1bHKLbTLErXtsN347e7BEAXZWEyWC6XS6RX9R,10
9acPYYkQESAgpzbzjeNxNVWeMGDEof4H7qHcMzmHdhZf,10
8x7aP7vLgz1hSqPExesYuTUFZH8zjGBuTd6UuJJtqKVq,10
b29LMqa6GSSnHwpyx5px97qhp4FdVRnpfLxK9186Bj3,10
8f4ERBMJy7kguVsEt8A8RyJ6PqHA6jULN2GaqfDmppQz,10
AGBSXgWNSpgdDMxwgnEEW9c7LTdXx1kLGD4ubLeZuUa,10
8Pj6jcuHjkLVc6aEGz1cTPYkuJo1mGvZWSzeA4LRGL5p,10
39ki6H9itY6F89xJwgPvrE3uuTPKpyfzAgVs3jzqvDou,10
DmCatZmuYCGfUgHWGA5ePthSJLpgqzunRxNnuojFP83g,10
ASjriimQbwM9MREG2n8yq3a8HCbFfat19CwAEC9qeDdX,10
FqTQgcDEV8YeBkeC5jQ5fQ4U1EHZxdsHc9zdvPwtFHKw,10
GpGFAkigFPG6cbPUobccKAVVD9BDHNpGd38yAuQh7N7o,10
DEGUfWyArkqKAvZTiDarKhN9XQPDKiKSVhmJVgYNGfxo,10
A2tVvUf3gYks1RoaqdZ5todXWSKx4V8RoK9yo2aiEDTN,9
HAhePaD7T7QZAX8ruaMCrHDcNpdewRE8NYgRDybfff49,9
Gni4jXkHgYSArJCHFZ7MxAMwQzyjEF7oUZkj4Rb6EnLT,9
2uPY6mHfJrQZk2Km1dLpsjvyoDRJW48xCfBSwg36czzL,9
7WTyTmv8t8qyfKYE9SETu1kjmVsBVuSc6Tt5AbJ5CrsH,9
