owner,nftmint
8xjHAQZs9dxGmbLQmaoVr6Um39AEnBFxKpGdEukfweFo,JE7Aj2iMhuWf9M4oMSbmaDFX29utykTUB6e3n6Xhfw8y
3V3HyyBUSP3pkvn1iedVKsxRqBdMkYcgJtcxXdQpDBM3,JDWv1pkn7iVcLh175f4dSYAqeU5qXNqmeEX4ZHDCYyR2
GmWkoT59phqjdGXFeCAyjhR7MTnga9sdRCvC7j3w8K8a,JCVZr2jy7P1FSZccuRahUtskLm9bpxL8Lio1E9DSWq4h
9jvSv5ZqiCJwMNdt7LNP8Ls8QDXhMnCqdfaZbj3eEQZC,JCSokY3ZdTgySf4cMzj2h9nKNHjpa9gAuZEhssTmXdSK
AMJFzpQHCkoT2ZRBdGVhiEfBze2BSkTLZucvTxDE17Qj,JBciegykNwpGFcDPcpDUcJ5WoeVpWQgaYqECTR71ESmS
5MemmmAgeUsKu8i8uEjbTz7X3ebM5mANuFHsS9ca3tUy,JBTFo4oQb9ijFonV5c931sAskaaWYf779Kn4NyfdVTMj
9BYFGCBDowJh3i2KePzbyKy1ADh1G5W41gCqqn767H3V,JBMY6rGFFHjBTAzwhz5h2KL6WfenUJeTPUcXa9MrAhnZ
FKjyLNBEaio8TMRT4R5KvAm6viYHYLXPogZVsV23kmzc,JAq8z2DyYEXEHPqmRfpcE5AeHJ5go8yDNySed9wyYAKq
4u79co727oZSZZQtripQ6757U5ShE1qJuPibxfjirbWq,JAjT8EyZ3fLLpYu1j13M1x2Gwhb2rYpq8X3pv43EXqf3
AxWGpKQQkYekHipDK5Wdj9rE8vwPT1msgA1cekemC9Vv,J9eRAa4T5AGZVxEEg8soRT3ZEmaoXCRdN9TEfarnQeze
4Ur6NCLCEe3KkGg1ogaPysibgTSJVgkyeh9W3XehPCax,J9MbQqYmHKd5pkiYVNuFEoYppo33rkwQHG23vASRALgo
AvStKPD1bHKLbTLErXtsN347e7BEAXZWEyWC6XS6RX9R,J9JBywydU2pfJEfpPT4bHmzt1TRZby4ghmX6DS4dF5Ca
Edz2uYHJjyEukS1c3WMEpqW48LMfngRNxC189GHN4Bdv,J8mz7G4xw9w6jpMQLpWVFLyAk7WYq4UgGRQkgRJECvVL
7dFxuaS7pAMPSFxggYB8v7HkwfFeU9sPeRz6jnvSfx2i,J8mRhBm3fjLQtGWMd1hgb18uYuLrnjwWq5UcZNvkDwyS
