owner,count
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,85
EdnNu9pv28ccuTy9uJSXBkSXiaC6tBx2ehNihANgghVS,52
2YZAeT3tzDtpS2C57PSRxNdTs5y7D6VvEWqzk9Q4EBEQ,46
AedWuoLfkB83mSuzdMWkcTCWF9a3fhSgT7BCFw6nEMGU,41
AEAWTPiipWomXgoHc3Hc2ZcR8xvaSKkMEyQq8fBeZsx7,37
6juGn2fSQFFJ11MtFVADWV2ey11YKiJBS68emDBMCxB7,36
4HYpM7DvPyQMQdHomARD23vuMiC6oSu4KWQQUQyYW1f6,32
D7MSnTe1ffWsW6LKWGjDdceKtFh2HCcQHa4SN7TdCieu,30
98vJraBpTmT2hmFxfHchp1Bd7Wg5UN17ZKUuGQKfPi1r,28
Lo1a4Yhb6qdiJwWquoFDy8iKsA6RygubQsMkADpRRkq,27
Gw3FUhoNFoYP1Mzsopsreik33qDY7e4WJy2cLi2B3Y7N,25
AwVhxuokPUqzpmZcmn5suogHqtJmLXyHQsz3vwwuKkJN,23
4c8t2ogRxqscodnGBwAj4ZNBStyNR6HR1RiJmqGizy8v,22
83BYbjxKt9yT7jKcYX9q93uUDNptkDhSXboYfvkT3kG2,22
H9uctZUaJAsBL9tG3CeFGCX8siVx2MKoTW7dg2Ffhv2S,21
5cKUA3q5zkruadNEHVpLZAw3pvApq2Jj6nN7uiPWw354,21
eu4svNxJASxPanW8BMCRKJftUL1XQaJyBSuychYF6Bw,20
3R1f8yEXjaL1fdJwxrn4H9mZfFbgHBTeEywH3iBALp9o,20
2QMWb1bUw8Evw8LmqYYB8ngMTGmaPD2t4T5AZsDxvFDA,19
3c6pNTurLs7BVroJi9kkJWUtCKDooddcpBySTsk2Twu6,18
AppZG1JXBTmstBsu64dodpzoSdixzRxzEeYe2nK4nfXZ,18
DrkxyPXLtgL5YbdyFgM419pERpf3CaEQnCtTDa4x5pCi,18
ZGCUacVyhd1BujEbXSxk93M9iLL2jzx6T4U9TvafBWz,17
4UDUeEeBfEUMYbRD5ANUsTXKx3DsLGBJzHahFTwnAWUE,16
4e8mr7qa64wHGsqQqwohp9sHFp14coPxhhKrGhaoHTmJ,16
bpBvHQ7kk2bsvAdkPnBW64jWxXA6n3dTvLdvxji5DFS,15
DURwjWpxKqKPvP3akLVi6yyXVQTCYjGrtjL1AYhwHK5F,14
13iyUCKzT4Rp4EZPf8k1Jb3VRFV33wePyy2qox5Fpkz8,14
C9zb1pfeaNLPHC6qFvmZakX6UaMuHZjSfm7gZZLC2M7Z,13
23TjtBVWp65EcV8PNd88wdCmzJT8qg2LYUG5vj597GGF,13
D6DACvMvgPrYRaXtLPwXXGEDvpZKbtfcuDWodT2x8Aiy,13
3wm28dDjn7r11g75oowNpjRyZ8S2WcRgesNKETsprmPf,12
Ewa59Dr2SPYHjD7xbiqfCHhWo5ETTCbzBuNT6kyp3HAW,12
HayQrjnjVj5fsmY5Qg3WadMsjTh2ikdNDSK1wUcBrn6t,11
9z1ehRejxZC5UoCCTVwzKYQ2RfEUzdk7Xu3S1ACurqQY,11
FtN6kr458or2Tzms7bFsiAxcYDUviGk6htLxj1qRNy3d,11
75nqGfFe4QY2bBbVURoiFgVN6BmqYrcFke9PjhNCmhBY,10
fLMZF1xDi7kKAeYt2ibxcR8LYv4UTjXVncRz3FTBLyv,10
A4pCP6K2xXq2dxe7koXMDqR6r5rhff5hbQuVjxutb9aH,10
GgRibNBbAep1yg8aWzQ3JJgpod7eHn5EzB1PKQkvgM7t,10
zAxLzLhKaW3QvFR9T5LwnWg1hWu6mZzDKhpwmikKkkR,10
HVgr9o2zWzrWZd7ZAoNNj266t1iEBAyTiTLD9Pgkmn2P,9
GDt2CXQfNuHkeBz3CzHEATwH2ZfupdxLmwzP7AH8Utsh,9
2nijg2kME6Mycmp83Z4qoWUHAncP97n2DcXrtBSQ126j,9
412tJxCvqRD2ybYZoKZkV8wbmJZkPnkX2LJEtZYeatUv,9
CS7EPtTgVX6juiSwNMtNyZ8oJwm24RZKyc9sPk5Wyv6V,8
8DKYL7ogCsjAX4DdKtst3rWcbEekMfsgeuvY6zro7d2r,8
3KkcrzofSToVTV3ik5kQPjbJVbB9tF7UPZ7HmU8zrTtF,8
6Tvfmim8QTRRtpWGXqWdZsY7zzVHxt53nau4HKtAgxpk,8
FhzHyrgg2r8HmWCnKbi5DPG31BjgF1sg1DnbHHZeMjMj,7
94Q2QhtrLUxL1txrgSJeXMi8jdkVTQK4EZphfT9LYsmE,7
H1bN9iiJgU2Kn8jPqRcGTQTDShAm283BHoUJfKQ8kvJu,7
7pBN4L86BXhZE7RAoriw4bNRq5ZkKhV7YSjXapKRBj7S,7
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,7
Ep79tGPMBxxQRzDGHXSZDCpyRxFkE2H1dVEasQc9TL4B,7
4JQkoeARRGbMxetEWuXQ2JBytfapJPYicGDRktfFCYcs,7
EjhqkpFFwFVhfPN1ntbEA5EXyxsn6cjpLpfQ2wWe4ETY,7
2hXcZ7aqjhPGNueoDyxgN4LU1Ph3inQLo6fyEkK9Y3r5,7
Ekx6TVzHLJhnVrrhKNqDttaTZ2riwi73P58XmJWxECcy,6
6EYAom1L6eJzKfWPkGBVy6cJLFofQZBQ81kZ1o3mmspe,5
9bUk6wTDeZMj6ReQwYSdaq3RyKc8tB4hGDcHWMSsM1G4,5
e7omqNTdzkRMDc4Q5rjue5thP1xdrg7QfhHhMKFiLSF,5
EJm2fZu1Kg7q9eRP3eB8a8cYcG3giFaqQSHa5mvVGAcF,5
2fha8R6ErYAA9depJvC17FRjPU2si6xuGx1mH5Y6D8PM,5
E1buzg7HB26aC9fpXymaXNyF7UYhqderEwY9KkeHuHKX,5
ECuxi5BmJKNazR2ib4hbngrQtUFYN5wLGnChhER4JS6x,5
Ffhr16LKFsrEkaSzguuNC5ULGbZGLkHc4u2nbMjUevrm,5
DuTspaqrRx3A8vPdLLP5A7Xw7FsPXpUXCFqhwthX5dA2,4
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,4
BCyHegc1XdZnngYoZb38ot7UypZ35Ry62D4xK9ZP6tRX,4
5bvfixvnhCAaJb9Sw2uEbvhuXW4aMnYsEGNWtwVtV5eC,4
2PKLJNKbmVzoCDzta95wAnTwtqAvEq19HEn9Ts5Z6vjv,4
8Hvo2tBM83jDuBZ8snYKvhTjTNhdkFor2hc8oHWw8TaL,4
Gy9GAri9in5i7sPdqkyu9wUrnDZ3MqmT6PD1XNW3Kikv,4
BcUsxWDHneLK64hkzeUfvd3urMK5qMR1aPz33KE1SU4L,4
5ZH59LseN3RXey448Gb1K6ixW2da3cS2XAy3HHDxttjb,4
DDbS6Ai9qrS5jfoz4kgyakptyJPsqpHaVsHZXDK96tTW,4
HvMu6e4e7ea4hy1LfTuDknFiGXGaGDrnSWcAbEik71g1,3
HUvFh1z4DryWQMDsXAmLWk83ZtjmnumYtJtaYgn1rRkg,3
DjvDcvLzdDSUmuqicaGeDqepzeFMmJEgzqr8bJDdp9YE,3
GrdKBSetYHpyztAp5KfqUt4JDxtMCqBtRZmaGv1m45Uo,3
7mXJ8bfv8dLN3RTczdSPcpqMQNMXYEW6pyWgUVXPAs98,3
9dM23Zk96C9kWXE2eEErmsYbNoP4n6LLZfRWnGY5RELK,3
GUtLBoNTVmq48xfnXavVfRhrLbs3GxA7UD1uwCWEeNCk,3
7UnFUYKBtZGVx8goRNuKwuDFAx7gMqkVwyNKD6KoCjQ8,3
5puLkvdD7JN9VskGxHbBxBSyVzfbKEjz93C8fqVhZwhj,3
23UhXq3UY2YFDiFHmMXk26oruQkF7m7mcLJtbLjLvGLS,3
2s2aN6bedVPPYUJNXHyHPHdyz9ZGmeXHANBKSWZdNMbZ,3
CR7gVYbv7vgggsmM1iLoQZYfMiCEsgKcK6Me5ymXX8NC,3
5UcXwhJ4N2oNcinLZpFf2tLLh8hbf7W5FHtpiokX5SnW,3
ASF3M9SXSmuobEFg1uk2P6agRdkMWSeoCYkZu17rtnMt,3
HofmVweYuz28H4TWZpwrk38eBN6wNFtXnnAA9uEWHuG2,3
CGbyxaa9Nf5ZYrYeb75dXyAvv8N1vap4ovmrQMMaDJBi,2
755WcZLePjs5eaSAfHRdEaDj1ujweCZ6EjzaCkXhaM57,2
7sk8xkduaq7RFPaWFAvCzxaJpgxWfeMEnt7tSuxotsHy,2
3HpunBhpvBWuH3jhNCnLuJciCfuSjsQVs2z7oKQZigqA,2
29FxJnCYRKKhG7v8jCeLVjUJgRCfWhTXBpcJWz8dLX4a,2
HJdvsTBT9JXr1xkAQwgVYgP3zh9b9i5jkoCHoshUFEGj,2
9Stq5MLE4nwAKgc4Ybxar8ryJvZeEHmzRTQrLFTuwqQt,2
CyfXjR4WawraVDr3LGfycCSvnr4qf3uRnLboVLjD7t8L,2
Ap7W3b4cpZDTggsFFsaPcwzyEDLjKL38T45WTCLSEyf5,2
7qTb8j3qfag6iRgHS6dj4ecevZNVGXDyaEgZt7JcFvwY,2
Gh5kU8D4suTPaDuDQn3t78EYNCGN48NReRqfdKtpoaht,2
J8DNFKwRFdomHYTzT7XyzaaG2U8j4tBAqRJEpW8MZoBe,2
7DxAMJxVf8VjKfmZuLNvshyHCNAcMQA5QSTu4cFay98t,2
G1aZaVQYyCyTFGQXLW4qPz4vrXAx6WswyNKcSEVjuFEb,2
5UdQaq3ViizNAPpwystC82LoGLaTLhLjrGbdaXphYnhi,2
2BUB8nutkHqo9RBjiv5fYsVqf2AVeSL7KfiCf34wk4hL,2
GWWM1K8VpmusJUeiqf8Ujb9Qr1rrqRXZJp7bXbwXTd7n,2
5ZwkZ4ncCeo5gLKbcZjNFdYRF4Fer3majQnT4srtuVTu,2
CFqRN3pBBieXae6jyy3sTPTZVhUz5igisgYSrxDE3o2j,2
F6uTrz9TPsL3FuAXguZr7kCufpxUHnrChaqm257Txp9z,2
DoYna6xB9aTQkPHyLZuKLjeBYqSb7UmCK9ofvZYr1acU,2
Bst4CTHAEH96nt4gRLwGT3Ki3yJWDUVAtgGr4RkVvEvb,2
J68DChLj14wQtdMEAV1NmzvgnvMNzg923KX1ZCiYmBCL,2
HWYXxYxEi6V3Xp6xPveMEvLjJGSnqLnpqHRrQofZmNhz,2
B6bSedq1wi24Sr2TXELwUYNxAjpnNQhdHn7dSp8YcEwm,2
AgySqNKwZhsP4XdHGwu1JGk5HXGLJNSzQwxCr8rNJMDs,2
8UZ9ZLFebdbqzZekmpMj6c7GM2GbxH7TtjeZFRTMLNdE,2
2jrrJWS45DaiknJzP2sB3H4Rvrph9c2y1sJoRPH8FeCz,2
7VADLHTNf4H3GGPgmXWTbZAf1mYC8W28sbh41aC7s54L,2
13yFyyBzvqi1Xd31e6TJkv9kfJg6x3wavG61i8exTh5H,2
GNjsnttf1WfVHUutyBfuwzFtc1VHz9SCzYS5dej1qjSb,2
GbxW7WZZ2M2G1iSbUhJEFsU6DpeMJJNt7TeEVykssLSx,2
7HntgyPRMvWpGoFPudyC8JPd8Jwnubnfuq6DFtF4d9X6,2
8QdpDQXGGcPkBbMnRszM8hGwZq1LWo6Twis4aEWp88m4,2
HVDbpkYt6gJdmtZGN87qchPpHffn6w4AiXbaVJGBESgW,1
5qcQxwSSr7Sz56pUy5iWbE4rgrsX5Mc12WP7x8u8CFXi,1
Gqe41E6dQWP1hkyn4ncPR6ZN2xuJ43KBwQEBa6Fv5GKy,1
Cvsae737KvW6WtByymYBGsHc9avG3jEZjtpMwjssVhUA,1
2MPFWdDDHcT7akSHytuLAPuneen4a7964LHBNhoJQ42k,1
7EAw9dUnik5LzQKNKuVCu8saKFmwvti9SREp9BHWqDSt,1
HzdfpbeiTKqNWXrNZpnHdeoA1SHKo2iSujKVCAdVby6K,1
5GKNbAhYD9DPAyH9A6XRumPQmEg4NyCiC2cZFa1wnwX,1
6jqSx2Qb2JzNwnVdr3775ueih4kmZ2k6RFVRTpHPcuiQ,1
HHEGEJr5yKfFGqrTk933fXd6i35J1PzL6wgxybZgD3Lv,1
8ySqm7h4GgwPJQWKcPzHQv6XJ7JzUhVgpGnZRR2CqnY5,1
4uZpdkfw7xbq5Ben85zi8zfgfpSjU39VfDkHPP5WuR8q,1
7HYgNj67cA2RaNtytZ3pPQUTjNtLkG82Rzj5QNd9visd,1
GGP8bjmURy16jM7YKnjsPxWZXKytez17F13tmuSSsqqX,1
GHah8uD2YNvqb1nrryzttqurF1EaiQ6G7q1Ru6vKS4NS,1
3jnMCC7tKwwUcZXpanWB5i4xSpUz6x316UhviSQphkAB,1
3JTHbYekdinEkVkNHiWN53Sx2dKRf3xuw3yhu77PVqpT,1
2p3J84LcVPzFTRdKgj9Q2Ef8443fnDLyYVVjZgUtqvAk,1
EhcLVcBRWEdwN4eE2v4wFWntXKxxQGAEDCk7rSkBMNcY,1
GdKywYEjvARttv1DcHePhjGHFbtEXgUs43wtYRixLFE,1
ZqYPFWXzZhR3UVXtsPTexk8itjeEAmHkJJdsobb1Gbm,1
5tJCYB4odRQrADYyfBvNnP29z7zMCXC6DWuVbiSzm4Ap,1
qg7pNNZq7qDQuc6Xkd1x4NvS2VM3aHtCqHEzucZxRGA,1
AQcaDaLEjp4BQE7zheiasuNiXqSNgYCrST3wGvwgow9x,1
2AnKu7zp6iNb7FrEXSAbXmSg9qoWF6P5qiT6U5wgJwxp,1
2e65avHbxx5DJ6AZkcSfQkvcaBpZ6ZU7kBnPkxeTU8KA,1
26Jkt2XtTUzySoBUGWhWjFDd8Aj3bPpTaT9N3DKDmWb3,1
9HM4nYLACGaSFGKwTgMS2yTH3yBrz98PwvSi9q3HiUC4,1
